window_config_id,group_name,group_value,n_samples,sample_rmse_mean,sample_rmse_median,wrong_side_rate,severe_under_rate,large_response_recall,peak_amp_ratio_mean,tail_abs_error_mean,reversal_exact_rate
pre2_label2_old_main,event_type,curve_left_or_positive,37,0.3550907779182937,0.2536626160144806,0.1891891891891892,0.2702702702702703,0.2972972972972973,0.8079150060598231,0.47623803149405364,0.02702702702702703
pre2_label2_old_main,event_type,curve_right_or_negative,30,0.21296410535772642,0.16050225496292114,0.16666666666666666,0.3,0.03333333333333333,1.424169349962893,0.2590896490961313,0.03333333333333333
pre2_label2_old_main,event_level,extreme,53,0.3139206828936091,0.23495203256607056,0.20754716981132076,0.32075471698113206,0.1320754716981132,1.1634177143283522,0.44096122710209973,0.018867924528301886
pre2_label2_old_main,event_level,weak,14,0.20639183931052685,0.1899295151233673,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.7826283474069703,0.14446797155375993,0.07142857142857142
pre2_label2_old_main,gt_peak_abs_bin,0-0.25,18,0.1782473830713166,0.1473338007926941,0.2777777777777778,0.0,0.0,2.237193089360702,0.2984821879201465,0.0
pre2_label2_old_main,gt_peak_abs_bin,0.25-0.5,17,0.17536423684043043,0.16816608607769012,0.29411764705882354,0.29411764705882354,0.0,0.7804046496180554,0.2253157793379882,0.058823529411764705
pre2_label2_old_main,gt_peak_abs_bin,0.5-1.0,17,0.24541742749073925,0.24127160012722015,0.058823529411764705,0.35294117647058826,0.29411764705882354,0.6456825772999244,0.19104481608990362,0.058823529411764705
pre2_label2_old_main,gt_peak_abs_bin,1.0-2.0,13,0.5070672172766465,0.5146896243095398,0.0,0.46153846153846156,0.5384615384615384,0.5776768525430759,0.7226059054239438,0.0
pre2_label2_old_main,gt_peak_abs_bin,>=2.0,2,1.2868334650993347,1.2868334650993347,0.5,1.0,0.0,0.29758908697098574,1.7744051814079285,0.0
pre2_label2_old_main,gt_reversal_count_bin,0,7,0.2463888046996934,0.1712813675403595,0.14285714285714285,0.2857142857142857,0.0,1.451200265320503,0.4010135020528521,0.0
pre2_label2_old_main,gt_reversal_count_bin,1,23,0.25160376160689024,0.18133626878261566,0.17391304347826086,0.34782608695652173,0.13043478260869565,1.077649915822176,0.3038781207540761,0.08695652173913043
pre2_label2_old_main,gt_reversal_count_bin,2-3,24,0.2885563389087717,0.20532864332199097,0.25,0.16666666666666666,0.20833333333333334,1.2004470739672666,0.42837697942741215,0.0
pre2_label2_old_main,gt_reversal_count_bin,>=4,13,0.3915632046186007,0.31145286560058594,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.6817581559024831,0.40893521847633213,0.0
pre2_label2_old_main,is_large_response,0,45,0.1771367239455382,0.15766507387161255,0.2222222222222222,0.2,0.0,1.350582324265064,0.23692322936322954,0.044444444444444446
