model_name,best_val_rmse,best_epoch,feature_count,feature_names_count
torch_linear_vehicle_context,0.680645213146635,28,254,254
torch_mlp256_vehicle_context,0.6497315971378061,9,254,254
torch_mlp512_vehicle_context,0.6591733126861891,9,254,254
