subject,session_stamp,vehicle_raw_relative_path,mapping_status,sampled_point_count,t_start_rel_s,t_end_rel_s,median_nearest_dist_m,p90_nearest_dist_m,high_point_ratio,medium_or_better_point_ratio,dominant_instance_name
lx,2025_09_26_08_58_43,原始车辆数据/lx/Entity_Recording_2025_09_26_08_58_43_vehicle.csv,ok,2731,0.0,273.0,8.5,272.993,0.5529,0.5954,curve1
lx,2025_09_26_09_06_38,原始车辆数据/lx/Entity_Recording_2025_09_26_09_06_38_vehicle.csv,ok,3831,0.0,383.0,2164.079,4142.926,0.1895,0.2516,curve1
lx,2025_09_26_09_17_22,原始车辆数据/lx/Entity_Recording_2025_09_26_09_17_22_vehicle.csv,ok,6195,0.0,619.4,272.544,949.204,0.2161,0.2809,mu1
lxy,2025_09_28_17_55_52,原始车辆数据/lxy/Entity_Recording_2025_09_28_17_55_52_vehicle.csv,ok,5933,0.0,593.2,282.798,987.046,0.2205,0.251,mu1
lxy,2025_09_28_18_06_16,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_06_16_vehicle.csv,ok,5798,0.0,579.7,281.669,933.569,0.2275,0.2587,mu1
lxy,2025_09_28_18_16_26,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_16_26_vehicle.csv,ok,142,0.0,14.105,8.485,8.496,1.0,1.0,section1
lxy,2025_09_28_18_19_35,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_19_35_vehicle.csv,ok,5441,0.0,544.0,281.908,930.229,0.2319,0.267,mu1
rjy,2025_09_28_19_33_26,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_33_26_vehicle.csv,ok,6469,0.0,646.805,279.515,927.024,0.29,0.3223,mu1
rjy,2025_09_28_19_44_42,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_44_42_vehicle.csv,ok,1476,0.0,147.5,3.674,43.606,0.878,0.9458,curve1
rjy,2025_09_28_19_49_06,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_49_06_vehicle.csv,ok,608,0.0,60.705,3.112,4.947,1.0,1.0,section2
rjy,2025_09_28_19_51_44,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_51_44_vehicle.csv,ok,5839,0.0,583.805,280.455,918.773,0.2233,0.262,mu1
