instability_event_uid,subject,session_stamp,anchor_time_rel_s,recommended_decision,instability_role,instability_review_score,road_guided_instability_score,old_v400_min_abs_anchor_gap_s,old_v400_road_type_mode,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,road_design_nearest_dist_m,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,steering_delta_peak_post3s,nearest_module_boundary_time_rel_s,nearest_module_boundary_type,nearest_module_boundary_delta_s,active_module_name_at_old_anchor,active_instance_name_at_old_anchor,active_module_reliability_at_old_anchor,active_module_risk_class_cn,nearest_boundary_instance_name,nearest_boundary_reliability
vehicle_instability_onset__gf__2025_09_26_10_30_12__000138445,gf,2025_09_26_10_30_12,138.445,hybrid_accept_high,instability_ay_only,89.85,100.0,0.015,curve,curve1,design_curve_context,high,10.343616,10.0203,1.24501,0.519375,2.117607,166.805,exit,28.36,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000229440,gf,2025_09_26_10_30_12,229.44,hybrid_accept_medium,instability_ay_only,50.0,70.55,1.27,straight,fix_road,design_special_event_segment,low,272.44137,1.46049,0.244664,0.181626,0.413119,248.505,exit,19.065,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000277360,gf,2025_09_26_10_30_12,277.36,hybrid_accept_high,instability_ay_only,68.58,100.0,1.995,curve,section4,design_regular_road,low,272.801575,1.54273,0.438792,0.388595,0.722741,281.805,exit,4.445,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000295400,gf,2025_09_26_10_30_12,295.4,hybrid_accept_medium,instability_ay_only,60.48,76.28,0.07,curve,curve2,design_curve_context,low,242.824558,2.36478,0.217054,0.239593,0.313286,281.905,entry,-13.495,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000415300,gf,2025_09_26_10_30_12,415.3,hybrid_reject_low_evidence,instability_ay_only,31.05,37.64,0.47,straight,section6,design_regular_road,very_low,781.383465,2.43997,0.085942,0.088501,0.613483,430.2,exit,14.9,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000459735,gf,2025_09_26_10_30_12,459.735,hybrid_review_conflict_or_medium,instability_ay_only,41.81,49.21,0.015,straight,mu1,design_high_risk_surface,very_low,664.13933,2.53621,0.126639,0.113426,0.537038,430.305,entry,-29.43,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000465615,gf,2025_09_26_10_30_12,465.615,hybrid_accept_high,instability_ay_only,88.07,100.0,0.03,curve,mu1,design_high_risk_surface,very_low,639.550673,10.3643,0.77822,0.482486,0.760091,430.305,entry,-35.31,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000480570,gf,2025_09_26_10_30_12,480.57,hybrid_accept_high,instability_ay_only,64.47,100.0,0.955,curve,mu1,design_high_risk_surface,low,331.635937,4.15045,0.16338,0.194089,0.508938,430.305,entry,-50.265,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_30_12__000516475,gf,2025_09_26_10_30_12,516.475,hybrid_review_conflict_or_medium,instability_ay_only,34.94,46.21,0.545,straight,mu1,design_high_risk_surface,very_low,760.711831,2.38723,0.110976,0.080721,0.296008,562.0,exit,45.525,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000009715,gf,2025_09_26_10_40_59,9.715,hybrid_accept_medium,instability_roll_only,45.56,58.76,2.425,straight,section1,design_regular_road,high,8.49929,0.294292,1.00564,0.037915,0.385369,0.0,entry,-9.715,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__gf__2025_09_26_10_40_59__000059775,gf,2025_09_26_10_40_59,59.775,hybrid_accept_medium,instability_ay_only,43.02,61.57,0.8,straight,longstraight,design_regular_road,high,2.705958,3.17948,0.14092,0.158529,0.616625,64.605,exit,4.83,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__gf__2025_09_26_10_40_59__000071575,gf,2025_09_26_10_40_59,71.575,hybrid_review_conflict_or_medium,instability_ay_only,35.72,46.01,0.79,straight,section2,design_regular_road,high,3.232632,1.46405,0.140945,0.158529,0.467399,64.7,entry,-6.875,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__gf__2025_09_26_10_40_59__000136605,gf,2025_09_26_10_40_59,136.605,hybrid_accept_high,instability_ay_only,84.98,100.0,0.59,straight,curve1,design_curve_context,medium,41.439147,15.1243,1.16844,0.457698,2.259152,164.0,exit,27.395,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000279540,gf,2025_09_26_10_40_59,279.54,hybrid_reject_low_evidence,instability_ay_only,19.0,25.5,0.17,straight,section4,design_regular_road,low,272.982263,1.35787,0.066837,0.051673,0.321839,296.305,exit,16.765,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000338625,gf,2025_09_26_10_40_59,338.625,hybrid_reject_low_evidence,instability_ay_only,25.7,15.7,,none,curve2,design_curve_context,very_low,827.187242,1.47749,0.070481,0.06352,0.372104,348.905,exit,10.28,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000448375,gf,2025_09_26_10_40_59,448.375,hybrid_reject_low_evidence,instability_ay_only,37.16,41.48,0.335,straight,section6,design_regular_road,very_low,776.375249,2.25411,0.127489,0.118438,0.362156,461.5,exit,13.125,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000490510,gf,2025_09_26_10_40_59,490.51,hybrid_accept_medium,instability_ay_only,57.75,75.59,0.01,curve,mu1,design_high_risk_surface,very_low,655.525754,8.70971,0.112014,0.167899,0.39523,461.605,entry,-28.905,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000537100,gf,2025_09_26_10_40_59,537.1,hybrid_reject_low_evidence,instability_ay_only,31.97,39.97,,none,mu1,design_high_risk_surface,low,492.938876,1.43443,0.056802,0.050457,0.410851,591.305,exit,54.205,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000545680,gf,2025_09_26_10_40_59,545.68,hybrid_reject_low_evidence,instability_ay_only,29.27,29.27,,none,mu1,design_high_risk_surface,very_low,701.590377,1.72217,0.080222,0.071686,0.367391,591.305,exit,45.625,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_40_59__000562120,gf,2025_09_26_10_40_59,562.12,hybrid_accept_high,instability_ay_only,67.4,87.94,0.045,straight,mu1,design_high_risk_surface,very_low,1103.662234,14.7976,0.102225,0.282847,0.578576,591.305,exit,29.185,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000008090,gf,2025_09_26_10_52_57,8.09,hybrid_review_conflict_or_medium,instability_roll_only,45.66,52.41,,none,section1,design_regular_road,high,8.494964,0.423737,1.01211,0.038897,0.191463,0.0,entry,-8.09,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__gf__2025_09_26_10_52_57__000062700,gf,2025_09_26_10_52_57,62.7,hybrid_accept_medium,instability_ay_only,54.54,76.31,1.905,straight,longstraight,design_regular_road,high,5.222593,1.70807,0.283028,0.256709,0.487383,63.905,exit,1.205,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__gf__2025_09_26_10_52_57__000137045,gf,2025_09_26_10_52_57,137.045,hybrid_accept_high,instability_ay_only,88.49,100.0,1.32,straight,curve1,design_curve_context,medium,51.976474,9.18391,2.30109,1.84223,0.564963,100.805,entry,-36.24,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,300.87,hybrid_accept_medium,instability_ay_only,55.92,74.15,0.625,straight,section4,design_regular_road,low,272.402797,5.1206,0.152235,0.204365,0.46705,306.105,exit,5.235,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000467540,gf,2025_09_26_10_52_57,467.54,hybrid_accept_medium,instability_ay_only,37.7,60.44,0.815,straight,section6,design_regular_road,very_low,755.928337,1.4728,0.128604,0.142146,0.462076,475.505,exit,7.965,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000471160,gf,2025_09_26_10_52_57,471.16,hybrid_accept_medium,instability_ay_only,44.91,72.2,0.94,straight,section6,design_regular_road,very_low,748.307309,3.54924,0.132955,0.142146,1.030093,475.505,exit,4.345,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000510895,gf,2025_09_26_10_52_57,510.895,hybrid_review_conflict_or_medium,instability_ay_only,42.14,47.19,0.82,curve,mu1,design_high_risk_surface,very_low,655.637794,2.6023,0.118276,0.102171,0.40701,475.6,entry,-35.295,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000517730,gf,2025_09_26_10_52_57,517.73,hybrid_accept_high,instability_ay_only,65.57,94.76,3.435,curve,mu1,design_high_risk_surface,very_low,612.543942,5.75507,0.123037,0.260157,0.257436,475.6,entry,-42.13,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000544565,gf,2025_09_26_10_52_57,544.565,hybrid_review_conflict_or_medium,instability_ay_only,37.03,45.28,,none,mu1,design_high_risk_surface,high,3.825927,2.07651,0.063893,0.083985,0.474031,475.6,entry,-68.965,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000593110,gf,2025_09_26_10_52_57,593.11,hybrid_accept_medium,instability_ay_only,46.65,57.24,0.26,curve,mu1,design_high_risk_surface,very_low,1142.684548,1.5423,0.068281,0.178975,0.185354,618.305,exit,25.195,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gf__2025_09_26_10_52_57__000611540,gf,2025_09_26_10_52_57,611.54,hybrid_reject_low_evidence,instability_ay_only,31.47,44.12,0.2,straight,mu1,design_high_risk_surface,very_low,1404.463353,1.95976,0.06755,0.112311,0.485376,618.305,exit,6.765,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_38_49__000015135,gzj,2025_09_27_11_38_49,15.135,hybrid_reject_low_evidence,instability_ay_only,30.48,37.79,4.435,straight,section1,design_regular_road,high,5.556786,1.74662,0.132674,0.112752,0.368614,0.0,entry,-15.135,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__gzj__2025_09_27_11_38_49__000027565,gzj,2025_09_27_11_38_49,27.565,hybrid_reject_low_evidence,instability_ay_only,19.45,20.95,3.2,straight,section1,design_regular_road,high,5.705281,0.524801,0.070124,0.055217,0.397325,38.805,exit,11.24,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__gzj__2025_09_27_11_38_49__000056735,gzj,2025_09_27_11_38_49,56.735,hybrid_accept_high,instability_ay_only,70.88,87.73,,none,section2,design_regular_road,high,5.783323,1.75479,0.576957,0.393093,0.335278,51.105,entry,-5.63,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000058350,gzj,2025_09_27_11_41_47,58.35,hybrid_accept_high,instability_ay_only,83.04,100.0,0.045,straight,longstraight,design_regular_road,high,4.647768,3.3569,0.597931,0.406674,0.676839,52.605,entry,-5.745,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000221595,gzj,2025_09_27_11_41_47,221.595,hybrid_accept_medium,instability_ay_only,43.5,65.07,0.12,straight,fix_road,design_special_event_segment,low,281.97018,1.61252,0.215229,0.164524,0.758346,235.805,exit,14.21,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000230770,gzj,2025_09_27_11_41_47,230.77,hybrid_reject_low_evidence,instability_ay_only,21.28,25.28,,none,fix_road,design_special_event_segment,low,283.638112,1.52955,0.063173,0.051445,0.24295,235.805,exit,5.035,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000435290,gzj,2025_09_27_11_41_47,435.29,hybrid_accept_medium,instability_ay_only,43.61,62.35,1.11,straight,section6,design_regular_road,very_low,771.87317,1.87848,0.47737,0.204635,0.124617,399.405,entry,-35.885,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000457080,gzj,2025_09_27_11_41_47,457.08,hybrid_accept_high,instability_ay_only,83.87,100.0,0.675,straight,section6,design_regular_road,very_low,761.411699,9.03166,1.28719,3.71657,0.99379,492.605,exit,35.525,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000543750,gzj,2025_09_27_11_41_47,543.75,hybrid_accept_medium,instability_ay_only,54.47,76.85,0.815,curve,mu1,design_high_risk_surface,very_low,631.017226,4.90538,0.135265,0.199374,0.70616,492.705,entry,-51.045,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000559305,gzj,2025_09_27_11_41_47,559.305,hybrid_accept_medium,instability_ay_only,45.46,62.11,,none,mu1,design_high_risk_surface,low,347.999476,1.63222,0.132875,0.182029,0.121824,492.705,entry,-66.6,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000565080,gzj,2025_09_27_11_41_47,565.08,hybrid_reject_low_evidence,instability_ay_only,23.76,21.76,,none,mu1,design_high_risk_surface,low,219.834019,1.62546,0.054201,0.080402,0.185877,492.705,entry,-72.375,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000592750,gzj,2025_09_27_11_41_47,592.75,hybrid_accept_medium,instability_ay_only,50.77,78.56,0.03,straight,mu1,design_high_risk_surface,low,413.474763,4.46815,0.193703,0.176853,1.032014,641.505,exit,48.755,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_41_47__000630130,gzj,2025_09_27_11_41_47,630.13,hybrid_accept_high,instability_ay_only,82.23,100.0,,none,mu1,design_high_risk_surface,very_low,1370.292716,1.2495,1.81644,0.545393,0.262584,641.505,exit,11.375,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000166145,gzj,2025_09_27_11_53_25,166.145,hybrid_accept_high,instability_ay_only,81.87,100.0,0.195,curve,curve1,design_curve_context,medium,92.145379,5.52278,1.1327,0.495219,1.198348,190.6,exit,24.455,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000252940,gzj,2025_09_27_11_53_25,252.94,hybrid_reject_low_evidence,instability_ay_only,20.24,26.32,0.955,straight,fix_road,design_special_event_segment,low,283.89985,1.15167,0.11023,0.050383,0.178198,231.8,entry,-21.14,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000308745,gzj,2025_09_27_11_53_25,308.745,hybrid_accept_medium,instability_ay_only,63.74,79.19,0.075,straight,section4,design_regular_road,low,281.319502,2.03095,0.096949,0.338745,0.4482,314.8,exit,6.055,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000380535,gzj,2025_09_27_11_53_25,380.535,hybrid_accept_medium,instability_ay_only,55.3,81.28,0.03,straight,section5,design_regular_road,very_low,963.794132,4.06564,0.198356,0.162133,0.934274,391.0,exit,10.465,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000506990,gzj,2025_09_27_11_53_25,506.99,hybrid_accept_medium,instability_ay_only,58.07,77.74,1.215,curve,mu1,design_high_risk_surface,very_low,643.678436,5.66042,0.178696,0.183115,0.704938,465.8,entry,-41.19,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000525070,gzj,2025_09_27_11_53_25,525.07,hybrid_accept_medium,instability_ay_only,47.26,69.31,1.045,curve,mu1,design_high_risk_surface,low,312.923911,2.13744,0.181786,0.157065,0.150448,465.8,entry,-59.27,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_11_53_25__000577015,gzj,2025_09_27_11_53_25,577.015,hybrid_accept_high,instability_ay_only,84.31,100.0,2.705,curve,mu1,design_high_risk_surface,very_low,1128.694983,15.0467,1.48009,0.596959,1.491822,594.4,exit,17.385,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000061235,gzj,2025_09_27_12_04_23,61.235,hybrid_reject_low_evidence,instability_ay_only,22.41,30.78,0.11,straight,longstraight,design_regular_road,high,5.937549,1.57643,0.077396,0.072755,0.259966,63.7,exit,2.465,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000104230,gzj,2025_09_27_12_04_23,104.23,hybrid_accept_medium,instability_ay_only,46.44,57.9,1.005,straight,curve1,design_curve_context,high,4.75371,1.50368,0.165006,0.154703,0.349939,102.0,entry,-2.23,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000132070,gzj,2025_09_27_12_04_23,132.07,hybrid_reject_low_evidence,instability_ay_only,23.42,14.09,,none,curve1,design_curve_context,high,3.116107,1.74117,0.051119,0.065262,0.24967,102.0,entry,-30.07,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000190120,gzj,2025_09_27_12_04_23,190.12,hybrid_review_conflict_or_medium,instability_ay_only,36.27,52.38,1.005,straight,section3,design_regular_road,low,279.753394,2.38445,0.115384,0.113042,0.612261,171.9,entry,-18.22,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000244015,gzj,2025_09_27_12_04_23,244.015,hybrid_reject_low_evidence,instability_ay_only,31.3,38.27,4.205,straight,fix_road,design_special_event_segment,low,278.84529,1.44224,0.12143,0.114041,0.182475,262.2,exit,18.185,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000251045,gzj,2025_09_27_12_04_23,251.045,hybrid_review_conflict_or_medium,instability_ay_only,36.94,46.29,1.41,straight,fix_road,design_special_event_segment,low,281.449399,1.62028,0.147383,0.109943,0.926595,262.2,exit,11.155,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000266635,gzj,2025_09_27_12_04_23,266.635,hybrid_accept_medium,instability_ay_only,43.29,72.98,0.885,straight,section4,design_regular_road,low,281.896497,1.4288,0.177652,0.161599,0.970228,262.305,entry,-4.33,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,297.385,hybrid_accept_high,instability_ay_only,70.6,92.47,2.545,curve,section4,design_regular_road,low,280.354688,4.96109,0.322684,0.35514,0.826587,300.6,exit,3.215,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000007360,gzj,2025_09_27_12_17_12,7.36,hybrid_reject_low_evidence,instability_roll_only,33.83,37.37,,none,section1,design_regular_road,high,8.442762,0.203216,0.53155,0.018197,0.263807,0.0,entry,-7.36,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000131720,gzj,2025_09_27_12_17_12,131.72,hybrid_accept_medium,instability_ay_only,48.44,72.76,0.04,straight,curve1,design_curve_context,high,5.931572,3.22265,0.174646,0.129788,0.681376,113.4,entry,-18.32,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000294070,gzj,2025_09_27_12_17_12,294.07,hybrid_accept_high,instability_ay_only,83.48,100.0,0.39,straight,section4,design_regular_road,low,283.866122,3.99933,1.16354,0.401144,0.549429,299.605,exit,5.535,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,362.46,hybrid_accept_high,instability_ay_only,76.06,100.0,0.155,straight,curve2,design_curve_context,very_low,958.202261,1.61998,0.689223,0.420766,0.808786,364.805,exit,2.345,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000489775,gzj,2025_09_27_12_17_12,489.775,hybrid_accept_high,instability_ay_only,66.14,100.0,0.64,straight,mu1,design_high_risk_surface,very_low,708.056719,1.31023,0.791602,0.205768,1.09659,475.5,entry,-14.275,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,518.18,hybrid_accept_medium,instability_ay_only,53.62,77.94,0.125,curve,mu1,design_high_risk_surface,very_low,634.248439,3.96506,0.160208,0.167046,0.742289,475.5,entry,-42.68,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000535880,gzj,2025_09_27_12_17_12,535.88,hybrid_accept_medium,instability_ay_only,58.45,80.46,,none,mu1,design_high_risk_surface,low,289.100654,2.5707,0.208204,0.194721,0.473769,475.5,entry,-60.38,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000546730,gzj,2025_09_27_12_17_12,546.73,hybrid_accept_medium,instability_ay_only,40.82,71.15,2.145,straight,mu1,design_high_risk_surface,medium,33.559509,1.93301,0.147304,0.172514,1.073552,614.7,exit,67.97,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,585.94,hybrid_accept_medium,instability_ay_only,63.18,76.18,,none,mu1,design_high_risk_surface,very_low,891.775679,1.37474,0.332209,0.320399,0.25953,614.7,exit,28.76,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000001740,gzj,2025_09_27_12_28_14,1.74,hybrid_reject_low_evidence,instability_ay_only,24.56,28.56,,none,section1,design_regular_road,high,8.493223,0.491518,0.528274,0.023159,0.565661,0.0,entry,-1.74,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000101220,gzj,2025_09_27_12_28_14,101.22,hybrid_accept_high,instability_ay_only,65.34,95.82,3.17,straight,section2,design_regular_road,high,5.598928,1.48001,0.478656,0.320574,0.193819,109.805,exit,8.585,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000190505,gzj,2025_09_27_12_28_14,190.505,hybrid_review_conflict_or_medium,instability_ay_only,41.81,51.24,,none,section3,design_regular_road,low,282.250295,1.39639,0.175464,0.180906,0.204204,182.2,entry,-8.305,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000209290,gzj,2025_09_27_12_28_14,209.29,hybrid_accept_medium,instability_ay_only,57.74,73.47,0.635,straight,section3,design_regular_road,low,282.800705,1.40854,0.366047,0.26005,0.197572,216.605,exit,7.315,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000393180,gzj,2025_09_27_12_28_14,393.18,hybrid_accept_high,instability_ay_only,62.21,94.8,2.225,straight,section5,design_regular_road,very_low,1003.733725,1.41821,0.465228,0.292701,1.247213,391.5,entry,-1.68,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000431900,gzj,2025_09_27_12_28_14,431.9,hybrid_review_conflict_or_medium,instability_ay_only,43.55,54.33,1.125,straight,stop,design_special_event_segment,very_low,904.925586,2.15362,0.195945,0.150229,0.350986,420.5,entry,-11.4,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000454860,gzj,2025_09_27_12_28_14,454.86,hybrid_reject_low_evidence,instability_ay_only,32.09,32.99,,none,stop,design_special_event_segment,very_low,845.314526,1.42077,0.202343,0.108333,0.181165,457.605,exit,2.745,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000486975,gzj,2025_09_27_12_28_14,486.975,hybrid_accept_high,instability_ay_only,63.67,100.0,0.36,straight,section6,design_regular_road,very_low,762.464616,0.649106,0.36793,0.348473,1.001212,495.605,exit,8.63,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000515000,gzj,2025_09_27_12_28_14,515.0,hybrid_accept_medium,instability_ay_only,55.19,70.59,0.95,straight,mu1,design_high_risk_surface,very_low,698.88274,1.38996,0.237863,0.252545,0.440696,495.7,entry,-19.3,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__gzj__2025_09_27_12_28_14__000600040,gzj,2025_09_27_12_28_14,600.04,hybrid_reject_low_evidence,instability_ay_only,23.43,27.23,1.805,straight,mu1,design_high_risk_surface,very_low,776.229474,1.41282,0.089273,0.073457,0.266251,627.4,exit,27.36,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000001105,hzh,2025_09_26_20_50_27,1.105,manual_confirmed_accept,instability_roll_only,38.86,72.0,,none,section1,design_regular_road,high,8.504256,0.198666,0.533214,0.041108,0.134215,0.0,entry,-1.105,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000034500,hzh,2025_09_26_20_50_27,34.5,manual_confirmed_accept,instability_ay_only,41.08,72.0,0.045,straight,section1,design_regular_road,high,4.692008,2.45002,0.111522,0.099597,0.530405,46.9,exit,12.4,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000061190,hzh,2025_09_26_20_50_27,61.19,manual_confirmed_accept,instability_ay_only,45.48,72.0,0.835,straight,section2,design_regular_road,high,3.552915,3.46922,0.169528,0.152331,0.742463,60.6,entry,-0.59,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000102590,hzh,2025_09_26_20_50_27,102.59,manual_confirmed_accept,instability_ay_only,47.74,75.06,0.99,straight,curve1,design_curve_context,high,6.65455,2.93724,0.204038,0.154875,0.771435,102.2,entry,-0.39,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000128690,hzh,2025_09_26_20_50_27,128.69,manual_confirmed_accept,instability_ay_only,57.94,92.1,0.11,straight,curve1,design_curve_context,high,5.662557,5.10314,0.235087,0.175999,0.945449,102.2,entry,-26.49,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,148.635,manual_confirmed_accept,instability_ay_only,89.36,100.0,0.06,straight,curve1,design_curve_context,high,8.41187,9.20779,1.44469,0.472965,1.55422,176.5,exit,27.865,curve1,curve1,low,弯道路段,curve1,low
