instability_event_uid,subject,session_stamp,anchor_time_rel_s,recommended_decision,instability_role,instability_review_score,road_guided_instability_score,old_v400_min_abs_anchor_gap_s,old_v400_road_type_mode,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,road_design_nearest_dist_m,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,steering_delta_peak_post3s,nearest_module_boundary_time_rel_s,nearest_module_boundary_type,nearest_module_boundary_delta_s,active_module_name_at_old_anchor,active_instance_name_at_old_anchor,active_module_reliability_at_old_anchor,active_module_risk_class_cn,nearest_boundary_instance_name,nearest_boundary_reliability
vehicle_instability_onset__byx__2025_09_28_17_05_51__000366800,byx,2025_09_28_17_05_51,366.8,hybrid_accept_medium,instability_ay_only,59.58,72.57,,none,section5,design_regular_road,very_low,956.381265,1.44323,0.282903,0.232093,0.259531,374.9,exit,8.1,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000390400,byx,2025_09_28_17_05_51,390.4,hybrid_accept_medium,instability_ay_only,49.75,72.04,0.205,straight,stop,design_special_event_segment,very_low,891.725964,3.64036,0.135675,0.133229,0.418268,375.0,entry,-15.4,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000443995,byx,2025_09_28_17_05_51,443.995,hybrid_accept_medium,instability_ay_only,43.24,69.36,0.31,straight,section6,design_regular_road,very_low,747.673335,3.43457,0.118227,0.134878,0.606153,447.0,exit,3.005,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000459350,byx,2025_09_28_17_05_51,459.35,hybrid_reject_low_evidence,instability_ay_only,22.31,23.12,,none,mu1,design_high_risk_surface,very_low,705.582506,1.59353,0.062871,0.062883,0.249408,447.1,entry,-12.25,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000484195,byx,2025_09_28_17_05_51,484.195,hybrid_accept_high,instability_ay_only,87.7,100.0,0.63,curve,mu1,design_high_risk_surface,very_low,616.25103,6.99362,0.839722,0.303284,1.182457,447.1,entry,-37.095,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000532715,byx,2025_09_28_17_05_51,532.715,hybrid_reject_low_evidence,instability_ay_only,33.58,41.42,1.7,straight,mu1,design_high_risk_surface,very_low,732.173931,2.20689,0.10285,0.074851,0.419141,565.4,exit,32.685,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000540335,byx,2025_09_28_17_05_51,540.335,hybrid_reject_low_evidence,instability_ay_only,29.05,31.02,,none,mu1,design_high_risk_surface,very_low,971.002808,1.97179,0.076806,0.087518,0.266512,565.4,exit,25.065,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_05_51__000546280,byx,2025_09_28_17_05_51,546.28,hybrid_accept_medium,instability_ay_only,61.09,76.71,4.365,curve,mu1,design_high_risk_surface,very_low,1124.792092,2.29687,0.066931,0.322989,0.112835,565.4,exit,19.12,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000000675,byx,2025_09_28_17_15_52,0.675,hybrid_reject_low_evidence,instability_roll_only,36.4,41.88,,none,section1,design_regular_road,high,8.425973,0.25635,0.549085,0.071705,0.885668,0.0,entry,-0.675,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_15_52__000015940,byx,2025_09_28_17_15_52,15.94,hybrid_reject_low_evidence,instability_ay_only,22.36,30.36,0.665,straight,section1,design_regular_road,high,6.499505,1.35252,0.055852,0.064313,0.292604,0.0,entry,-15.94,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_15_52__000028650,byx,2025_09_28_17_15_52,28.65,hybrid_accept_high,instability_ay_only,54.97,82.08,0.24,straight,section1,design_regular_road,high,2.435806,4.13728,0.18298,0.159401,0.645597,44.705,exit,16.055,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_15_52__000067995,byx,2025_09_28_17_15_52,67.995,hybrid_reject_low_evidence,instability_ay_only,29.67,30.38,,none,section2,design_regular_road,high,2.986428,1.52725,0.134328,0.080626,0.265988,57.705,entry,-10.29,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__byx__2025_09_28_17_15_52__000103655,byx,2025_09_28_17_15_52,103.655,hybrid_review_conflict_or_medium,instability_ay_only,36.97,48.84,0.17,straight,curve1,design_curve_context,high,3.541311,2.22947,0.131135,0.103904,0.476999,92.0,entry,-11.655,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000109890,byx,2025_09_28_17_15_52,109.89,hybrid_reject_low_evidence,instability_ay_only,32.07,34.42,,none,curve1,design_curve_context,high,3.366968,1.3532,0.131135,0.103904,0.246528,92.0,entry,-17.89,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000204695,byx,2025_09_28_17_15_52,204.695,hybrid_accept_medium,instability_ay_only,45.9,64.08,2.61,straight,fix_road,design_special_event_segment,low,284.008497,3.21589,0.096728,0.120561,0.571596,191.5,entry,-13.195,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000263885,byx,2025_09_28_17_15_52,263.885,hybrid_accept_high,instability_ay_only,64.42,99.63,0.015,curve,section4,design_regular_road,low,279.716554,4.49339,0.242154,0.285065,1.157324,267.105,exit,3.22,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000287425,byx,2025_09_28_17_15_52,287.425,hybrid_accept_high,instability_ay_only,86.54,100.0,1.16,straight,curve2,design_curve_context,low,353.98697,1.70166,0.737563,0.462711,0.297055,267.205,entry,-20.22,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000319770,byx,2025_09_28_17_15_52,319.77,hybrid_accept_high,instability_ay_only,75.13,100.0,0.655,straight,curve2,design_curve_context,very_low,991.400551,1.86847,0.591924,0.406753,0.329867,320.405,exit,0.635,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000327430,byx,2025_09_28_17_15_52,327.43,hybrid_accept_high,instability_ay_only,82.68,100.0,0.01,straight,section5,design_regular_road,very_low,990.56345,2.36081,0.591924,0.406753,0.46164,320.5,entry,-6.93,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000349680,byx,2025_09_28_17_15_52,349.68,hybrid_accept_medium,instability_ay_only,50.83,74.33,0.405,straight,stop,design_special_event_segment,very_low,929.029311,2.86523,0.2134,0.15834,0.731816,347.905,entry,-1.775,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000364965,byx,2025_09_28_17_15_52,364.965,hybrid_reject_low_evidence,instability_ay_only,30.61,34.02,0.79,straight,stop,design_special_event_segment,very_low,889.272375,2.20447,0.097688,0.068022,0.385019,347.905,entry,-17.06,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000375625,byx,2025_09_28_17_15_52,375.625,hybrid_reject_low_evidence,instability_ay_only,20.82,27.32,1.635,straight,stop,design_special_event_segment,very_low,858.034143,1.44845,0.047881,0.050954,0.201935,382.305,exit,6.68,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000404400,byx,2025_09_28_17_15_52,404.4,hybrid_review_conflict_or_medium,instability_ay_only,33.87,48.72,1.06,straight,section6,design_regular_road,very_low,772.865712,2.65363,0.207249,0.091601,0.812276,415.5,exit,11.1,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000441115,byx,2025_09_28_17_15_52,441.115,hybrid_reject_low_evidence,instability_ay_only,21.62,18.12,3.155,straight,mu1,design_high_risk_surface,very_low,671.748301,1.38587,0.060602,0.059853,0.358665,415.605,entry,-25.51,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000444400,byx,2025_09_28_17_15_52,444.4,hybrid_reject_low_evidence,instability_ay_only,23.87,20.37,0.13,straight,mu1,design_high_risk_surface,very_low,662.184593,1.6485,0.060602,0.062556,0.190764,415.605,entry,-28.795,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
