old_event_uid,subject,session_stamp,old_anchor_time_rel_s,old_phase_type,old_event_level,old_road_type_anchor,old_trigger_type,old_curvature_anchor,nearest_road_curvature_event_uid,nearest_road_curvature_time_rel_s,nearest_road_curvature_delta_s,nearest_nonsteering_dynamic_event_uid,nearest_nonsteering_dynamic_time_rel_s,nearest_nonsteering_dynamic_delta_s,nearest_nonsteering_dynamic_type,nearest_road_guided_event_uid,nearest_road_guided_time_rel_s,nearest_road_guided_delta_s,nearest_module_boundary_time_rel_s,nearest_module_boundary_type,nearest_module_boundary_delta_s,active_module_name_at_old_anchor,active_instance_name_at_old_anchor,active_module_reliability_at_old_anchor,active_module_risk_class_cn,nearest_boundary_instance_name,nearest_boundary_reliability,within_1s_road_curvature,within_1s_nonsteering_dynamic,within_1s_module_boundary,old_anchor_audit_bucket
old_v400_context__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,12.655,primary,weak,straight,context_residual,0.0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,145.88,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00001,1.1,-11.555,roll_rate,vehicle_instability_onset__byx__2025_09_28_17_05_51__000001100,1.1,-11.555,0.0,entry,-12.655,middle_section,section1,high,普通连接段,section1,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,34.295,secondary,weak,straight,context_residual,-1.50798e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,124.24,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,1.535,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,1.535,46.7,exit,12.405,middle_section,section1,high,普通连接段,section1,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,37.17,primary,weak,straight,context_residual,-4.0256e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,121.365,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,-1.34,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,-1.34,46.7,exit,9.53,middle_section,section1,high,普通连接段,section1,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,60.725,primary,extreme_active,straight,context_residual,3.76996e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,97.81,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,-24.895,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,-24.895,59.2,entry,-1.525,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,67.0,secondary,weak,straight,context_residual,6.19805e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,91.535,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,-31.17,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,-31.17,59.2,entry,-7.8,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00006,byx,2025_09_28_17_05_51,87.665,secondary,strong_active,straight,context_residual,-1.74528e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,70.87,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,99.815,12.15,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,12.15,110.1,exit,22.435,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00007,byx,2025_09_28_17_05_51,90.8,primary,extreme_active,straight,context_residual,-9.19255e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,67.735,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,99.815,9.015,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,9.015,110.1,exit,19.3,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00008,byx,2025_09_28_17_05_51,96.55,secondary,strong_active,straight,context_residual,-1.76082e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,61.985,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,99.815,3.265,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,3.265,110.1,exit,13.55,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00009,byx,2025_09_28_17_05_51,109.39,secondary,strong_active,straight,context_residual,1.77636e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,49.145,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-4.73,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-9.575,110.1,exit,0.71,middle_section,section2,high,普通连接段,section2,high,False,False,True,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00010,byx,2025_09_28_17_05_51,111.205,primary,strong_active,straight,context_residual,1.55386e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,47.33,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-6.545,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-11.39,110.2,entry,-1.005,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00011,byx,2025_09_28_17_05_51,113.485,secondary,extreme_active,straight,context_residual,3.10773e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,45.05,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-8.825,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-13.67,110.2,entry,-3.285,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00012,byx,2025_09_28_17_05_51,124.67,primary,weak,straight,context_residual,0.0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,33.865,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-20.01,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-24.855,110.2,entry,-14.47,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00013,byx,2025_09_28_17_05_51,135.43,primary,weak,straight,context_residual,-2.88311e-08,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,23.105,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-30.77,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-35.615,110.2,entry,-25.23,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00014,byx,2025_09_28_17_05_51,158.565,secondary,strong_active,straight,context_residual,2.71907e-08,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-0.03,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,45.165,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,45.165,186.7,exit,28.135,curve1,curve1,medium,弯道路段,curve1,medium,True,False,False,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00015,byx,2025_09_28_17_05_51,160.505,secondary,strong_active,curve,context_residual,0.00869885,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-1.97,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,43.225,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,43.225,186.7,exit,26.195,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00016,byx,2025_09_28_17_05_51,165.9,secondary,medium_active,curve,context_residual,-0.00699177,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-7.365,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,37.83,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,37.83,186.7,exit,20.8,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00017,byx,2025_09_28_17_05_51,170.03,secondary,weak,curve,context_residual,-0.00699174,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-11.495,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,33.7,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,33.7,186.7,exit,16.67,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00018,byx,2025_09_28_17_05_51,171.855,secondary,strong_active,curve,context_residual,-0.00699169,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-13.32,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,31.875,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,31.875,186.7,exit,14.845,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00019,byx,2025_09_28_17_05_51,176.01,secondary,medium_active,curve,context_residual,-0.00699163,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-17.475,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,27.72,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,27.72,186.7,exit,10.69,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00020,byx,2025_09_28_17_05_51,177.82,primary,extreme_active,curve,context_residual,-0.000145178,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-19.285,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,25.91,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,25.91,186.7,exit,8.88,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00021,byx,2025_09_28_17_05_51,179.75,secondary,extreme_active,curve,context_residual,-8.87507e-05,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-21.215,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,23.98,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,23.98,186.7,exit,6.95,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00022,byx,2025_09_28_17_05_51,182.66,secondary,weak,straight,context_residual,-3.16517e-06,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-24.125,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,21.07,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,21.07,186.7,exit,4.04,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00023,byx,2025_09_28_17_05_51,187.7,secondary,weak,straight,context_residual,-6.21546e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-29.165,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,16.03,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,16.03,186.805,entry,-0.895,middle_section,section3,low,普通连接段,section3,low,False,False,True,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00024,byx,2025_09_28_17_05_51,190.06,secondary,strong_active,straight,context_residual,0.0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-31.525,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,13.67,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,13.67,186.805,entry,-3.255,middle_section,section3,low,普通连接段,section3,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00025,byx,2025_09_28_17_05_51,193.5,secondary,medium_active,straight,context_residual,-6.21546e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-34.965,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,10.23,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,10.23,186.805,entry,-6.695,middle_section,section3,low,普通连接段,section3,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00026,byx,2025_09_28_17_05_51,196.24,secondary,extreme_active,straight,context_residual,0.0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-37.705,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,7.49,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,7.49,186.805,entry,-9.435,middle_section,section3,low,普通连接段,section3,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00027,byx,2025_09_28_17_05_51,198.05,secondary,extreme_active,straight,context_residual,7.94946e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-39.515,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,203.73,5.68,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,203.73,5.68,186.805,entry,-11.245,middle_section,section3,low,普通连接段,section3,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00028,byx,2025_09_28_17_05_51,212.07,secondary,weak,straight,context_residual,-9.1617e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-53.535,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00017,211.665,-0.405,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000211665,211.665,-0.405,220.7,exit,8.63,middle_section,section3,low,普通连接段,section3,low,False,True,False,old_close_to_body_only
old_v400_context__byx__2025_09_28_17_05_51__00029,byx,2025_09_28_17_05_51,219.335,secondary,weak,straight,context_residual,-1.5403e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-60.8,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00017,211.665,-7.67,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000211665,211.665,-7.67,220.7,exit,1.365,middle_section,section3,low,普通连接段,section3,low,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00030,byx,2025_09_28_17_05_51,221.25,secondary,extreme_active,straight,context_residual,6.52128e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-62.715,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00017,211.665,-9.585,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000211665,211.665,-9.585,220.805,entry,-0.445,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,True,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00031,byx,2025_09_28_17_05_51,223.055,primary,extreme_active,straight,context_residual,-2.72051e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-64.52,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,231.405,8.35,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,231.405,8.35,220.805,entry,-2.25,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00032,byx,2025_09_28_17_05_51,226.745,secondary,strong_active,straight,context_residual,1.77634e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,-68.21,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,231.405,4.66,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,231.405,4.66,220.805,entry,-5.94,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00033,byx,2025_09_28_17_05_51,238.165,secondary,weak,straight,context_residual,1.5403e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,60.36,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,231.405,-6.76,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,231.405,-6.76,220.805,entry,-17.36,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00034,byx,2025_09_28_17_05_51,242.95,secondary,medium_active,straight,context_residual,-2.24843e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,55.575,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,231.405,-11.545,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,231.405,-11.545,220.805,entry,-22.145,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00035,byx,2025_09_28_17_05_51,244.755,primary,strong_active,straight,context_residual,0.0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,53.77,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,231.405,-13.35,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,231.405,-13.35,220.805,entry,-23.95,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00036,byx,2025_09_28_17_05_51,255.275,secondary,weak,straight,context_residual,4.59628e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,43.25,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,22.205,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,22.205,270.0,exit,14.725,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00037,byx,2025_09_28_17_05_51,257.865,secondary,strong_active,straight,context_residual,-3.10773e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,40.66,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,19.615,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,19.615,270.0,exit,12.135,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00038,byx,2025_09_28_17_05_51,260.82,primary,strong_active,straight,context_residual,9.19255e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,37.705,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,16.66,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,16.66,270.0,exit,9.18,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00039,byx,2025_09_28_17_05_51,263.43,secondary,strong_active,straight,context_residual,-3.10773e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,35.095,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,14.05,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,14.05,270.0,exit,6.57,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00040,byx,2025_09_28_17_05_51,265.905,secondary,extreme_active,straight,context_residual,-8.88178e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,32.62,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,11.575,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,11.575,270.0,exit,4.095,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00041,byx,2025_09_28_17_05_51,268.67,secondary,strong_active,straight,context_residual,6.28512e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,29.855,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,8.81,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,8.81,270.0,exit,1.33,fix_road,fix_road,low,特殊道路段,fix_road,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00042,byx,2025_09_28_17_05_51,299.27,secondary,weak,curve,context_residual,-0.000501492,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,-0.745,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,277.48,-21.79,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,277.48,-21.79,302.4,exit,3.13,middle_section,section4,low,普通连接段,section4,low,True,False,False,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00043,byx,2025_09_28_17_05_51,302.425,secondary,medium_active,curve,context_residual,-0.00333391,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,-3.9,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,20.12,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,20.12,302.4,exit,-0.025,,,,,section4,low,False,False,True,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00044,byx,2025_09_28_17_05_51,304.23,primary,extreme_active,curve,context_residual,-0.00607315,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,298.525,-5.705,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,18.315,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,18.315,302.5,entry,-1.73,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00045,byx,2025_09_28_17_05_51,308.79,secondary,strong_active,curve,context_residual,0.00664553,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,8.74,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,13.755,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,13.755,302.5,entry,-6.29,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00046,byx,2025_09_28_17_05_51,311.645,secondary,weak,curve,context_residual,0.00649445,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,5.885,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,10.9,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,10.9,302.5,entry,-9.145,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00047,byx,2025_09_28_17_05_51,312.83,secondary,weak,curve,context_residual,0.00664556,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,4.7,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,9.715,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,9.715,302.5,entry,-10.33,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00048,byx,2025_09_28_17_05_51,315.01,secondary,medium_active,curve,context_residual,0.000267239,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,2.52,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,7.535,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,7.535,302.5,entry,-12.51,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00049,byx,2025_09_28_17_05_51,323.385,secondary,weak,straight,context_residual,-1.58654e-07,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-5.855,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,-0.84,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,-0.84,302.5,entry,-20.885,curve2,curve2,low,弯道路段,curve2,low,False,True,False,old_close_to_body_only
old_v400_context__byx__2025_09_28_17_05_51__00050,byx,2025_09_28_17_05_51,328.29,secondary,strong_active,straight,context_residual,-4.44089e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-10.76,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,322.545,-5.745,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,322.545,-5.745,351.0,exit,22.71,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00051,byx,2025_09_28_17_05_51,330.81,secondary,strong_active,straight,context_residual,8.88178e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-13.28,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,338.94,8.13,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,338.94,8.13,351.0,exit,20.19,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00052,byx,2025_09_28_17_05_51,333.785,secondary,strong_active,straight,context_residual,-4.44089e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-16.255,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,338.94,5.155,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,338.94,5.155,351.0,exit,17.215,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00053,byx,2025_09_28_17_05_51,335.595,primary,strong_active,straight,context_residual,-8.72639e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-18.065,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,338.94,3.345,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,338.94,3.345,351.0,exit,15.405,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00054,byx,2025_09_28_17_05_51,345.26,secondary,weak,straight,context_residual,-6.21548e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-27.73,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,338.94,-6.32,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,338.94,-6.32,351.0,exit,5.74,curve2,curve2,low,弯道路段,curve2,low,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00055,byx,2025_09_28_17_05_51,350.15,secondary,extreme_active,straight,context_residual,2.57625e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,317.53,-32.62,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00032,356.42,6.27,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000356420,356.42,6.27,351.0,exit,0.85,curve2,curve2,low,弯道路段,curve2,low,False,False,True,old_close_to_road_only
