sample_id,event_uid,subject,session_stamp,window_config_id,gt_peak_abs,gt_reversal_count,gt_multi_segment,is_large_response,is_difficult_peak_top20,sample_rmse__keypoint_residual_vehicle_transformer_no_subject,sample_rmse__rbf_kernel_ridge_context_no_subject,wrong_side__keypoint_residual_vehicle_transformer_no_subject,wrong_side__rbf_kernel_ridge_context_no_subject,large_response_recalled__keypoint_residual_vehicle_transformer_no_subject,large_response_recalled__rbf_kernel_ridge_context_no_subject,severe_amp_under__keypoint_residual_vehicle_transformer_no_subject,severe_amp_under__rbf_kernel_ridge_context_no_subject,peak_amp_abs_error__keypoint_residual_vehicle_transformer_no_subject,peak_amp_abs_error__rbf_kernel_ridge_context_no_subject,peak_time_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,peak_time_abs_error_s__rbf_kernel_ridge_context_no_subject,onset_delay_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,onset_delay_abs_error_s__rbf_kernel_ridge_context_no_subject,tail_abs_error__keypoint_residual_vehicle_transformer_no_subject,tail_abs_error__rbf_kernel_ridge_context_no_subject,tail_drift_risk__keypoint_residual_vehicle_transformer_no_subject,tail_drift_risk__rbf_kernel_ridge_context_no_subject,zero_crossing_mismatch__keypoint_residual_vehicle_transformer_no_subject,zero_crossing_mismatch__rbf_kernel_ridge_context_no_subject,reversal_count_exact__keypoint_residual_vehicle_transformer_no_subject,reversal_count_exact__rbf_kernel_ridge_context_no_subject,pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,pred_multi_segment__rbf_kernel_ridge_context_no_subject,sample_rmse__delta_keypoint_minus_rbf,wrong_side__delta_keypoint_minus_rbf,large_response_recalled__delta_keypoint_minus_rbf,severe_amp_under__delta_keypoint_minus_rbf,peak_amp_abs_error__delta_keypoint_minus_rbf,peak_time_abs_error_s__delta_keypoint_minus_rbf,onset_delay_abs_error_s__delta_keypoint_minus_rbf,tail_abs_error__delta_keypoint_minus_rbf,tail_drift_risk__delta_keypoint_minus_rbf,zero_crossing_mismatch__delta_keypoint_minus_rbf,reversal_count_exact__delta_keypoint_minus_rbf,pred_multi_segment__delta_keypoint_minus_rbf,rmse_change,direction_change,large_recall_change,tail_drift_change,amp_under_change,peak_time_change,onset_change
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,0.1583000421524047,0,0,0,0,0.108291283249855,0.1723215728998184,0.0,1.0,0.0,0.0,0.0,0.0,0.1209073662757873,0.0637898296117782,0.7849999666213989,0.2250000238418579,1.1349999606609344,0.4000000059604645,0.2982686460018158,0.144241920672357,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.06403028964996339,-1.0,0.0,0.0,0.057117536664009094,0.559999942779541,0.73499995470047,0.1540267253294588,0.0,0.0,0.0,0.0,improved,fixed_wrong_side,unchanged,unchanged,unchanged,degraded_peak_time,degraded_onset
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350__pre3_label3_response_coverage,vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350,zxy,2025_09_28_15_57_38,pre3_label3_response_coverage,0.5749120116233826,6,1,0,0,0.2720176875591278,0.3201940357685089,0.0,0.0,0.0,0.0,1.0,0.0,0.2936972379684448,0.4217650890350342,1.4299999475479126,0.3549998998641968,1.0799999758601189,0.005000002682209,0.0920194387435913,0.1964994645677507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.048176348209381104,0.0,0.0,1.0,-0.12806785106658936,1.0750000476837158,1.0749999731779099,-0.1044800258241594,0.0,1.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,new_under_amp,degraded_peak_time,degraded_onset
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470,yyl,2025_09_28_09_49_11,pre3_label3_response_coverage,0.7447320222854614,5,1,0,0,0.2593529522418976,0.2895223498344421,0.0,0.0,0.0,0.0,0.0,0.0,0.0858967900276184,0.0465372204780578,0.2899999618530273,0.5099999904632568,0.1799999475479126,0.6449999809265137,0.1957394536584615,0.074629008769989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0301693975925445,0.0,0.0,0.0,0.039359569549560595,-0.22000002861022955,-0.4650000333786011,0.12111044488847249,0.0,0.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,unchanged,improved_peak_time,improved_onset
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,pre3_label3_response_coverage,1.1232937574386597,7,1,0,0,0.2174941450357437,0.2432198077440261,0.0,0.0,0.0,0.0,0.0,0.0,0.0791414976119995,0.3064603805541992,0.0699999332427978,0.2649999856948852,0.5300000309944153,0.20499999076128,0.1629786156117916,0.1189790787175297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.025725662708282387,0.0,0.0,0.0,-0.2273188829421997,-0.1950000524520874,0.3250000402331353,0.043999536894261906,0.0,1.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,pre3_label3_response_coverage,1.4929579496383667,2,1,0,0,0.401835024356842,0.4272091090679168,0.0,0.0,0.0,0.0,0.0,1.0,0.4413157701492309,0.8355430364608765,0.1000000238418579,0.2799999713897705,0.8750000074505806,0.0700000002980232,0.296778991818428,0.2808642499148845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.02537408471107483,0.0,0.0,-1.0,-0.39422726631164556,-0.1799999475479126,0.8050000071525574,0.015914741903543472,0.0,0.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,fixed_under_amp,improved_peak_time,degraded_onset
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,1.016481637954712,2,1,0,0,0.9347946643829346,0.9599702954292296,1.0,1.0,0.0,0.0,1.0,0.0,0.7583462595939636,0.2561107277870178,0.8199999332427979,1.565000057220459,1.5949999690055847,0.0300000011920928,0.1698220670223236,0.1322385221719741,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.025175631046295055,0.0,0.0,1.0,0.5022355318069458,-0.7450001239776611,1.5649999678134918,0.03758354485034951,0.0,0.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,new_under_amp,improved_peak_time,degraded_onset
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655,tyy,2025_09_28_14_44_09,pre3_label3_response_coverage,0.7096503973007202,3,1,0,0,0.5541832447052002,0.5553957223892212,0.0,0.0,0.0,0.0,0.0,0.0,0.7353278398513794,0.4431772232055664,0.6749999523162842,0.4199999570846557,0.7200000286102295,1.2750000208616257,0.0446347221732139,0.0595348561182618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.001212477684020996,0.0,0.0,0.0,0.292150616645813,0.2549999952316285,-0.5549999922513962,-0.014900133945047897,0.0,1.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,improved_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,2.594604015350342,5,1,1,1,1.0947296619415283,1.0713049173355105,0.0,0.0,0.0,0.0,1.0,1.0,1.491088628768921,1.5137481689453125,0.1150000095367431,0.1499999761581421,0.9350000619888306,0.8450000286102295,0.7070476934313774,0.7766449600458145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.023424744606017844,0.0,0.0,0.0,-0.0226595401763916,-0.034999966621398995,0.09000003337860107,-0.0695972666144371,0.0,1.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,unchanged,similar,similar
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,0.9915213584899902,5,1,0,0,0.3869825601577759,0.3613468110561371,0.0,0.0,0.0,0.0,0.0,0.0,0.3090606927871704,0.3796424269676208,0.4300000667572021,0.0600000619888305,0.8249999955296516,0.6449999883770943,0.0451092282310128,0.0778843984007835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.025635749101638794,0.0,0.0,0.0,-0.07058173418045038,0.3700000047683716,0.18000000715255737,-0.0327751701697707,0.0,1.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,degraded_onset
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,1.1740800142288208,3,1,0,0,0.2697616815567016,0.2360097914934158,0.0,0.0,0.0,0.0,0.0,0.0,0.0753074884414672,0.1543581485748291,0.1050000190734863,0.1049998998641967,0.6599999964237213,0.0,0.0115813538432121,0.0207082517445087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0337518900632858,0.0,0.0,0.0,-0.0790506601333619,1.192092896062924e-07,0.6599999964237213,-0.009126897901296602,0.0,1.0,0.0,-1.0,similar,unchanged,unchanged,unchanged,unchanged,similar,degraded_onset
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,1.983918070793152,2,1,1,1,0.5560033917427063,0.5038022994995117,0.0,0.0,1.0,1.0,0.0,0.0,0.6012439727783203,0.663231372833252,0.2949999570846557,0.0699999332427978,0.6649999767541885,0.7849999815225601,0.3316976688802242,0.3106708410196006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05220109224319458,0.0,0.0,0.0,-0.06198740005493164,0.2250000238418579,-0.12000000476837158,0.021026827860623598,0.0,1.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,improved_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,1.2020080089569092,4,1,0,0,0.5331162214279175,0.4786141812801361,0.0,0.0,0.0,0.0,0.0,0.0,0.0382380485534668,0.3318999409675598,0.7050000429153442,0.8950001001358032,0.6500000357627869,0.020000010728836,0.1687876340001821,0.1716369483619928,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05450204014778137,0.0,0.0,0.0,-0.293661892414093,-0.19000005722045898,0.6300000250339509,-0.002849314361810712,0.0,1.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,pre3_label3_response_coverage,1.5163418054580688,3,1,0,0,0.5045560002326965,0.4370953738689422,0.0,0.0,0.0,0.0,0.0,0.0,0.3745222091674804,0.4851374626159668,0.1349999904632568,0.4650000333786011,0.819999985396862,0.0599999949336051,0.173672454431653,0.2603420913219452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06746062636375433,0.0,0.0,0.0,-0.11061525344848638,-0.33000004291534424,0.759999990463257,-0.0866696368902922,0.0,0.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000467085__pre3_label3_response_coverage,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000467085,zxy,2025_09_28_16_35_30,pre3_label3_response_coverage,0.0811600685119628,1,0,0,0,0.3094654083251953,0.2413583099842071,0.0,0.0,0.0,0.0,0.0,0.0,0.7554450035095215,0.4684171080589294,0.9250000715255736,0.4399999380111694,0.9799999594688416,0.0500000119209289,0.1869232803583145,0.0131142046302557,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06810709834098821,0.0,0.0,0.0,0.2870278954505921,0.48500013351440424,0.9299999475479126,0.1738090757280588,1.0,1.0,1.0,-1.0,degraded,unchanged,unchanged,new_tail_drift,unchanged,degraded_peak_time,degraded_onset
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,1.124341607093811,5,1,0,0,0.5331200361251831,0.4462907612323761,1.0,1.0,0.0,0.0,1.0,0.0,0.6619498133659363,0.3444459438323974,1.2100000381469729,1.0099999904632568,1.3600000590085983,0.010000005364418,0.0473497360944747,0.2298744320869445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.086829274892807,0.0,0.0,1.0,0.3175038695335389,0.20000004768371604,1.3500000536441803,-0.1825246959924698,0.0,0.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,new_under_amp,degraded_peak_time,degraded_onset
