sample_id,event_uid,subject,session_stamp,window_config_id,gt_peak_abs,gt_reversal_count,gt_multi_segment,is_large_response,is_difficult_peak_top20,sample_rmse__keypoint_residual_vehicle_transformer_no_subject,sample_rmse__rbf_kernel_ridge_context_no_subject,wrong_side__keypoint_residual_vehicle_transformer_no_subject,wrong_side__rbf_kernel_ridge_context_no_subject,large_response_recalled__keypoint_residual_vehicle_transformer_no_subject,large_response_recalled__rbf_kernel_ridge_context_no_subject,severe_amp_under__keypoint_residual_vehicle_transformer_no_subject,severe_amp_under__rbf_kernel_ridge_context_no_subject,peak_amp_abs_error__keypoint_residual_vehicle_transformer_no_subject,peak_amp_abs_error__rbf_kernel_ridge_context_no_subject,peak_time_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,peak_time_abs_error_s__rbf_kernel_ridge_context_no_subject,onset_delay_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,onset_delay_abs_error_s__rbf_kernel_ridge_context_no_subject,tail_abs_error__keypoint_residual_vehicle_transformer_no_subject,tail_abs_error__rbf_kernel_ridge_context_no_subject,tail_drift_risk__keypoint_residual_vehicle_transformer_no_subject,tail_drift_risk__rbf_kernel_ridge_context_no_subject,zero_crossing_mismatch__keypoint_residual_vehicle_transformer_no_subject,zero_crossing_mismatch__rbf_kernel_ridge_context_no_subject,reversal_count_exact__keypoint_residual_vehicle_transformer_no_subject,reversal_count_exact__rbf_kernel_ridge_context_no_subject,pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,pred_multi_segment__rbf_kernel_ridge_context_no_subject,sample_rmse__delta_keypoint_minus_rbf,wrong_side__delta_keypoint_minus_rbf,large_response_recalled__delta_keypoint_minus_rbf,severe_amp_under__delta_keypoint_minus_rbf,peak_amp_abs_error__delta_keypoint_minus_rbf,peak_time_abs_error_s__delta_keypoint_minus_rbf,onset_delay_abs_error_s__delta_keypoint_minus_rbf,tail_abs_error__delta_keypoint_minus_rbf,tail_drift_risk__delta_keypoint_minus_rbf,zero_crossing_mismatch__delta_keypoint_minus_rbf,reversal_count_exact__delta_keypoint_minus_rbf,pred_multi_segment__delta_keypoint_minus_rbf,rmse_change,direction_change,large_recall_change,tail_drift_change,amp_under_change,peak_time_change,onset_change
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,pre3_label3_response_coverage,0.559203028678894,4,1,0,0,0.595128059387207,0.151004672050476,0.0,1.0,0.0,0.0,0.0,0.0,0.420408546924591,0.17950239777565,0.6299999952316284,1.034999966621399,0.2649999856948852,0.3199999928474426,0.198306837119162,0.1401531957089901,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.44412338733673107,-1.0,0.0,0.0,0.240906149148941,-0.4049999713897705,-0.05500000715255743,0.0581536414101719,0.0,1.0,0.0,-1.0,degraded,fixed_wrong_side,unchanged,unchanged,unchanged,improved_peak_time,similar
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,0.969879984855652,3,1,0,0,0.933291792869568,0.6568683981895447,0.0,1.0,0.0,0.0,0.0,1.0,0.1920304298400879,0.5673658847808838,0.75,0.2350000143051147,0.6749999970197678,0.8249999731779099,0.1573820887133479,0.060832567512989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2764233946800233,-1.0,0.0,-1.0,-0.3753354549407959,0.5149999856948853,-0.1499999761581421,0.09654952120035891,0.0,0.0,0.0,-1.0,degraded,fixed_wrong_side,unchanged,unchanged,fixed_under_amp,degraded_peak_time,improved_onset
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,1.791234016418457,2,1,1,1,0.5034570693969727,0.2645749747753143,0.0,0.0,1.0,1.0,0.0,0.0,0.470848798751831,0.3003212213516235,0.1099998950958252,0.2750000953674316,0.6299999952316284,0.0450000017881393,0.4061546325683594,0.2805266603827476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.23888209462165838,0.0,0.0,0.0,0.17052757740020752,-0.1650002002716064,0.5849999934434891,0.12562797218561178,0.0,1.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680,yyl,2025_09_28_09_49_11,pre3_label3_response_coverage,1.7699379920959473,4,1,1,1,0.4322919547557831,0.2068372964859008,0.0,0.0,1.0,1.0,0.0,0.0,0.3156847953796386,0.0634368658065795,0.2049999237060547,0.1349999904632568,0.7050000131130219,0.0499999970197677,0.3607866186648607,0.3177754562348127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22545465826988229,0.0,0.0,0.0,0.2522479295730591,0.06999993324279788,0.6550000160932542,0.043011162430048044,0.0,0.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,similar,degraded_onset
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,1.6784822940826416,2,1,1,0,0.8675374984741211,0.6606977581977844,0.0,0.0,1.0,1.0,0.0,0.0,0.6194294691085815,0.3838350772857666,0.0750000476837158,0.2450000047683715,0.7850000113248825,0.0049999952316284,0.3634440191090107,0.3114977888762951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20683974027633667,0.0,0.0,0.0,0.23559439182281494,-0.1699999570846557,0.7800000160932541,0.05194623023271561,0.0,0.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,0.2288129925727844,2,1,0,0,0.4591287672519684,0.2965598702430725,0.0,0.0,0.0,0.0,0.0,0.0,0.9656147360801696,0.4986426830291748,0.690000057220459,0.440000057220459,0.0799999833106994,0.5849999934434891,0.235365629196167,0.2777132242918014,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16256889700889587,0.0,0.0,0.0,0.46697205305099476,0.25,-0.5050000101327897,-0.042347595095634405,0.0,0.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,improved_onset
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,2025_09_28_09_49_11,pre3_label3_response_coverage,1.095893383026123,3,1,0,0,0.6230232119560242,0.465895801782608,0.0,1.0,0.0,0.0,1.0,0.0,0.8929840922355652,0.4282919764518738,0.4250000715255737,0.9200000762939452,2.92000000178814,0.0350000038743019,0.1662177555263042,0.0667962282896041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1571274101734162,-1.0,0.0,1.0,0.4646921157836914,-0.4950000047683715,2.884999997913838,0.09942152723670009,0.0,0.0,0.0,-1.0,degraded,fixed_wrong_side,unchanged,unchanged,new_under_amp,improved_peak_time,degraded_onset
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,1.3761889934539795,4,1,0,0,0.606500506401062,0.4599531888961792,0.0,0.0,0.0,0.0,0.0,0.0,0.2060475349426269,0.1709731817245483,0.2350000143051147,0.0699999332427978,0.5250000059604645,0.1950000077486038,0.2364168670028448,0.2568064294755459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1465473175048828,0.0,0.0,0.0,0.035074353218078586,0.1650000810623169,0.32999999821186066,-0.020389562472701073,0.0,0.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,degraded_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,2.043076992034912,2,1,1,1,0.6648286581039429,0.5194991827011108,0.0,0.0,1.0,1.0,0.0,0.0,0.547865629196167,0.5476994514465332,0.0949999094009399,0.1150000095367431,0.6599999815225601,0.0450000017881393,0.1812723644543439,0.2298114113509655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14532947540283203,0.0,0.0,0.0,0.00016617774963378906,-0.020000100135803195,0.6149999797344208,-0.04853904689662161,0.0,1.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,similar,degraded_onset
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,1.102524995803833,2,1,0,0,0.4953833222389221,0.357629120349884,0.0,0.0,0.0,0.0,0.0,0.0,0.0312561988830566,0.2058472633361816,0.3550000190734863,0.2350000143051147,0.734999991953373,0.089999996125698,0.1832779496908188,0.1777519788593053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.13775420188903814,0.0,0.0,0.0,-0.174591064453125,0.12000000476837158,0.644999995827675,0.005525970831513488,0.0,1.0,0.0,-1.0,degraded,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,degraded_onset
