sample_id,model_name,split,subject,session_stamp,v0_3_category,v0_3_category_cn,condition_context_cn,sample_rmse,gt_peak_signed,pred_peak_signed,gt_peak_abs,pred_peak_abs,large_response,wrong_side_large,severe_amp_under_large
V03_cwh_2025_09_26_19_35_47_0002,zero_delta,train,cwh,2025_09_26_19_35_47,weak_or_conservative,弱响应/保守响应,低附着,0.017182478015256904,-0.02757599949836731,0.0,0.02757599949836731,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0003,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.37798190680223065,0.8063420057296753,0.0,0.8063420057296753,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0004,zero_delta,train,cwh,2025_09_26_19_35_47,manual_review,待人工复核,低附着,0.07191471655909268,-0.17749999463558197,0.0,0.17749999463558197,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0005,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.26768417762744884,-0.4803139865398407,0.0,0.4803139865398407,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0006,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.400261425479502,0.6525789499282837,0.0,0.6525789499282837,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0007,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.3419285983623207,-0.7079060077667236,0.0,0.7079060077667236,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0008,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.44096448617025,-0.7941209673881531,0.0,0.7941209673881531,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0009,zero_delta,train,cwh,2025_09_26_19_35_47,weak_or_conservative,弱响应/保守响应,低附着,0.026853090961268918,-0.07051199674606323,0.0,0.07051199674606323,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0010,zero_delta,train,cwh,2025_09_26_19_35_47,weak_or_conservative,弱响应/保守响应,弯道/曲率,0.4197262330406746,0.8403750061988831,0.0,0.8403750061988831,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0011,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.255635418318184,0.4162610173225403,0.0,0.4162610173225403,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0012,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.1637546398328132,-0.24556811153888702,0.0,0.24556811153888702,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0013,zero_delta,train,cwh,2025_09_26_19_35_47,weak_or_conservative,弱响应/保守响应,低附着,0.37822370895920826,0.7799869775772095,0.0,0.7799869775772095,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0014,zero_delta,train,cwh,2025_09_26_19_35_47,weak_or_conservative,弱响应/保守响应,低附着,0.023964863357831274,0.03263699263334274,0.0,0.03263699263334274,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0015,zero_delta,train,cwh,2025_09_26_19_35_47,delayed_or_no_steer,延迟或无明显转向响应,低附着,0.4328478333961751,0.6691589951515198,0.0,0.6691589951515198,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0016,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.23578842265934397,-0.4604179859161377,0.0,0.4604179859161377,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0018,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.24062089142450035,-0.3483681082725525,0.0,0.3483681082725525,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0019,zero_delta,train,cwh,2025_09_26_19_35_47,excluded,排除样本,低附着,0.24475433271204627,0.5522220134735107,0.0,0.5522220134735107,0.0,False,False,False
V03_cwh_2025_09_26_19_35_47_0020,zero_delta,train,cwh,2025_09_26_19_35_47,manual_review,待人工复核,弯道/曲率,0.18053126222657645,-0.30054500699043274,0.0,0.30054500699043274,0.0,False,False,False
V03_cwh_2025_09_26_19_45_40_0000,zero_delta,train,cwh,2025_09_26_19_45_40,manual_review,待人工复核,低附着,0.055021198170943204,-0.13089999556541443,0.0,0.13089999556541443,0.0,False,False,False
V03_cwh_2025_09_26_19_45_40_0001,zero_delta,train,cwh,2025_09_26_19_45_40,manual_review,待人工复核,低附着,0.10257589496126363,-0.2605770230293274,0.0,0.2605770230293274,0.0,False,False,False
V03_cwh_2025_09_26_19_45_40_0002,zero_delta,train,cwh,2025_09_26_19_45_40,manual_review,待人工复核,低附着,0.05439430216222219,0.11449359357357025,0.0,0.11449359357357025,0.0,False,False,False
V03_cwh_2025_09_26_19_45_40_0003,zero_delta,train,cwh,2025_09_26_19_45_40,excluded,排除样本,低附着,0.18856004239909396,0.2886779010295868,0.0,0.2886779010295868,0.0,False,False,False
