v1_2_decision,subject,count
control_normal_or_curve,lxy,1
control_normal_or_curve,txj,2
defer_long_merged,byx,2
defer_long_merged,cwh,3
defer_long_merged,gf,3
defer_long_merged,gzj,1
defer_long_merged,hzh,5
defer_long_merged,jy,6
defer_long_merged,lx,1
defer_long_merged,rjy,3
defer_long_merged,txj,2
defer_long_merged,xst,2
defer_long_merged,yyl,3
defer_long_merged,yzy,2
defer_long_merged,zdq,5
defer_long_merged,zx,4
defer_long_merged,zxy,5
defer_offroad_recovery,byx,6
defer_offroad_recovery,cwh,1
defer_offroad_recovery,gf,3
defer_offroad_recovery,gzj,3
defer_offroad_recovery,hzh,6
defer_offroad_recovery,jy,4
defer_offroad_recovery,lxy,5
defer_offroad_recovery,rjy,2
defer_offroad_recovery,txj,8
defer_offroad_recovery,tyy,2
defer_offroad_recovery,yyl,5
defer_offroad_recovery,yzy,3
defer_offroad_recovery,zdq,1
defer_offroad_recovery,zx,15
defer_offroad_recovery,zxy,2
defer_offroad_recovery_long,byx,8
defer_offroad_recovery_long,cwh,5
defer_offroad_recovery_long,gf,3
defer_offroad_recovery_long,gzj,4
defer_offroad_recovery_long,hzh,3
defer_offroad_recovery_long,jy,5
defer_offroad_recovery_long,lx,2
defer_offroad_recovery_long,lxy,5
defer_offroad_recovery_long,rjy,4
defer_offroad_recovery_long,txj,5
defer_offroad_recovery_long,tyy,4
defer_offroad_recovery_long,xst,2
defer_offroad_recovery_long,yyl,1
defer_offroad_recovery_long,yzy,9
defer_offroad_recovery_long,zdq,8
defer_offroad_recovery_long,zt,1
defer_offroad_recovery_long,zx,8
defer_offroad_recovery_long,zxy,6
discard_prior_review,byx,32
discard_prior_review,cwh,23
discard_prior_review,gf,23
discard_prior_review,gzj,27
discard_prior_review,hzh,27
discard_prior_review,jy,29
discard_prior_review,lx,7
discard_prior_review,lxy,22
discard_prior_review,rjy,15
discard_prior_review,txj,30
discard_prior_review,tyy,12
discard_prior_review,xst,2
discard_prior_review,yyl,16
discard_prior_review,yzy,18
discard_prior_review,zdq,26
discard_prior_review,zt,5
discard_prior_review,zx,41
discard_prior_review,zxy,25
review_duration_15_20s,byx,5
review_duration_15_20s,cwh,6
review_duration_15_20s,gf,5
review_duration_15_20s,gzj,8
review_duration_15_20s,hzh,8
review_duration_15_20s,jy,5
review_duration_15_20s,lx,2
review_duration_15_20s,lxy,3
review_duration_15_20s,rjy,8
review_duration_15_20s,txj,6
review_duration_15_20s,tyy,2
review_duration_15_20s,xst,1
review_duration_15_20s,yyl,9
review_duration_15_20s,yzy,7
review_duration_15_20s,zdq,7
review_duration_15_20s,zt,3
review_duration_15_20s,zx,13
review_duration_15_20s,zxy,8
train_conservative_extreme,byx,26
train_conservative_extreme,cwh,40
train_conservative_extreme,gf,19
train_conservative_extreme,gzj,19
train_conservative_extreme,hzh,51
train_conservative_extreme,jy,29
train_conservative_extreme,lx,12
train_conservative_extreme,lxy,13
train_conservative_extreme,rjy,17
train_conservative_extreme,txj,24
train_conservative_extreme,tyy,12
train_conservative_extreme,xst,5
train_conservative_extreme,yyl,20
train_conservative_extreme,yzy,24
train_conservative_extreme,zdq,19
train_conservative_extreme,zt,7
train_conservative_extreme,zx,17
train_conservative_extreme,zxy,32
train_target_extreme,byx,42
train_target_extreme,cwh,34
train_target_extreme,gf,37
train_target_extreme,gzj,69
train_target_extreme,hzh,70
train_target_extreme,jy,22
train_target_extreme,lx,13
train_target_extreme,lxy,34
train_target_extreme,rjy,43
train_target_extreme,txj,38
train_target_extreme,tyy,39
train_target_extreme,xst,7
train_target_extreme,yyl,43
train_target_extreme,yzy,40
train_target_extreme,zdq,18
train_target_extreme,zt,10
train_target_extreme,zx,90
train_target_extreme,zxy,46
