episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path
rec_v1_lxy_2025_09_28_18_06_16_0007,lxy,2025_09_28_18_06_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_06_16_vehicle.csv,7,152.35,153.47,1.1200000000000043,152.67,,152.41,153.1,152.67,缺少一方起点,,弱,0,0.1206366217137194,2.4000000000000004,3.2,方向盘快速操作,正常,False,True,False,False,1.0,1.951059558823529,0.2505182352941176,0.0216231147058823,0.0145906411764705,0.0027563120588235,1.437520911764706,5.620198788925766,0.3980323705882352,3.457136470588235,0.0307939117647059,150.35,155.47,,,149.405,-3.5049999999999955,normal_or_curve,正常弯道或普通操控,更像正常过弯/普通控制,对照或分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\normal_or_curve_正常弯道或普通操控\rec_v1_lxy_2025_09_28_18_06_16_0007.png,,True,False,保留为对照样本，不进入主训练,正常弯道或普通操控可用于对照，但不作为极限工况主训练样本,False,True,False,True,0.010720000000000063,0.04850000000010368,0.02500395,0.0891379,0.030921500000000046,3.49348,0.42744899999999997,0.0024573715,0.325731,0.0218244,False,False,False,False,False,False,False,control_normal_or_curve,正常弯道或普通操控，仅保留为对照样本,正常弯道或普通操控，仅保留为对照样本,False,False,True,False,
rec_v1_txj_2025_09_27_08_40_46_0028,txj,2025_09_27_08_40_46,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_40_46_vehicle.csv,28,709.23,709.85,0.6200000000000045,709.43,,709.24,709.365,709.43,缺少一方起点,,弱,0,0.3049070085680619,2.4000000000000004,3.2,制动为主,事件很短,False,True,False,False,1.0,61.51983823529412,1.1153188235294118,0.0637834676470588,0.0374559558823529,0.0171913676470588,0.2975273823529412,0.8043389273363731,0.3276301529411765,8.197652941176472,0.1938121764705881,707.23,711.85,,,689.031,-20.50900000000001,normal_or_curve,正常弯道或普通操控,更像正常过弯/普通控制,对照或分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\normal_or_curve_正常弯道或普通操控\rec_v1_txj_2025_09_27_08_40_46_0028.png,,True,False,保留为对照样本，不进入主训练,正常弯道或普通操控可用于对照，但不作为极限工况主训练样本,False,True,False,True,0.0127000000000006,0.07000000000016371,0.035996810000000004,0.118444,0.19421049999999995,8.220899999999993,0.34674855,0.0112297,1.116155,0.06392185,False,False,False,False,False,False,False,control_normal_or_curve,正常弯道或普通操控，仅保留为对照样本,正常弯道或普通操控，仅保留为对照样本,False,False,True,False,
rec_v1_txj_2025_09_27_08_40_46_0029,txj,2025_09_27_08_40_46,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_40_46_vehicle.csv,29,712.745,715.915,3.169999999999959,714.725,,713.975,714.665,714.725,缺少一方起点,,弱,0,0.7231438520795513,3.2,3.2,制动为主,正常,False,True,False,False,1.0,51.95897794117647,3.2047485294117646,0.2348948529411764,0.0551313235294117,0.044283194117647,0.6578960588235295,1.2414498269897498,0.3869129999999999,14.505861764705884,0.5925605,710.745,717.915,,,689.031,-25.29899999999997,normal_or_curve,正常弯道或普通操控,更像正常过弯/普通控制,对照或分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\normal_or_curve_正常弯道或普通操控\rec_v1_txj_2025_09_27_08_40_46_0029.png,,True,False,保留为对照样本，不进入主训练,正常弯道或普通操控可用于对照，但不作为极限工况主训练样本,False,True,False,True,0.009999999999999787,0.049999999999954525,0.0324181,0.0979181,0.5928654999999999,14.515900000000002,0.38691299999999995,0.026034300000000003,3.21852,0.234977,False,False,False,False,False,False,False,control_normal_or_curve,正常弯道或普通操控，仅保留为对照样本,正常弯道或普通操控，仅保留为对照样本,False,False,True,False,
