subject,session_stamp,read_status,read_error,duration_s,grid_rows,raw_relative_path,raw_sha256
byx,2025_09_28_17_05_51,ok,,565.4350000000001,113088,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c
byx,2025_09_28_17_15_52,ok,,533.76,106753,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75
byx,2025_09_28_17_25_18,ok,,585.39,117079,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3
byx,2025_09_28_17_35_43,ok,,585.865,117174,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b
byx,2025_09_28_17_46_00,ok,,547.415,109484,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463
cwh,2025_09_26_19_23_28,ok,,164.04500000000002,32810,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,c9ae8b2b55355449f073e1a9de5f1f183c1d5d3b724dad0ea8b7dce9a77d1812
cwh,2025_09_26_19_27_21,ok,,433.93,86787,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63
cwh,2025_09_26_19_35_47,ok,,549.41,109883,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f
cwh,2025_09_26_19_45_40,ok,,538.98,107797,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4
cwh,2025_09_26_19_56_16,ok,,525.975,105196,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5
cwh,2025_09_26_20_06_19,ok,,504.48,100897,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc
gf,2025_09_26_10_03_00,ok,,659.27,131855,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,1e4232604e33cbf98c8e524d44c86abf65e3f9c0068e3630f80dfb47e73c793f
gf,2025_09_26_10_18_49,ok,,583.83,116767,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,6ee51bd1c9b8e8386372885e569d42d78b31b4e7c26984fe3b746e99da155494
gf,2025_09_26_10_30_12,ok,,565.995,113200,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,aa606fb1ecf71feef1f564dd422c382295247b323dd5beda17fc393f502341b6
gf,2025_09_26_10_40_59,ok,,591.325,118266,原始车辆数据/gf/Entity_Recording_2025_09_26_10_40_59_vehicle.csv,04caf01ecb8979b76d4bb15ba69d9b5f7c6a2ea75953dfdd03bdef8780487989
gf,2025_09_26_10_52_57,ok,,618.3100000000001,123663,原始车辆数据/gf/Entity_Recording_2025_09_26_10_52_57_vehicle.csv,8cf27411f644ff61566465ffb0071cb331cc4f0775effb4ef2b6f6a57628faa4
gzj,2025_09_27_11_38_49,ok,,86.18,17237,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,2d4cad799d77f98918a1c812fd09c6e76e5162a9f6d1c35864615069858fde16
gzj,2025_09_27_11_41_47,ok,,641.57,128315,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf
gzj,2025_09_27_11_53_25,ok,,594.44,118889,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_53_25_vehicle.csv,d089b40a99b8a75d5f3fca1452967be18332a03fa89fd2e37d875a45d6db761e
gzj,2025_09_27_12_04_23,ok,,314.13,62827,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_04_23_vehicle.csv,0e0ffdd2fc8910a27b145000413d474d45e672895117bbd5b52ba21501236ae6
gzj,2025_09_27_12_17_12,ok,,614.75,122951,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,d13252a729d8fc94d0d11982947c1b07540e6ec3a83114fcee6b4e5de0483d30
gzj,2025_09_27_12_28_14,ok,,627.485,125498,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_28_14_vehicle.csv,4f0c93c6426234284e4be5038f0b87afc03f9cb28eaf25e6b30d2c098b0f7016
hzh,2025_09_26_20_50_27,ok,,731.16,146233,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv,70145aac303ef29c2fc4760ca0b819dd5240b13b5c685826daece1d0713c8c33
hzh,2025_09_26_21_03_19,ok,,598.58,119717,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,f3431bc9e0df50a1c77345636371d9e9117dedd56076f5d609f1ae697470342d
hzh,2025_09_26_21_17_02,ok,,664.59,132919,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_17_02_vehicle.csv,3f29be6faacf4866df22a866363d9fee1ed6c01b1ec827193044c011637766cd
hzh,2025_09_27_19_22_27,ok,,576.95,115391,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_22_27_vehicle.csv,a4c313d8f9707d2fd12bcc4421c179cdba5fc8d2e0656371f297b76fe104c6d3
hzh,2025_09_27_19_33_25,ok,,565.455,113092,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_33_25_vehicle.csv,188a8b4e059622f849519c23a5d2203be2916dd2d73a463c329e8140ad2cb786
hzh,2025_09_27_19_44_05,ok,,546.66,109333,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_44_05_vehicle.csv,fb116d2c865919069210f7acf249cd516840389724bb34d7b882351568741bce
jy,2025_09_26_17_17_11,ok,,676.225,135246,原始车辆数据/jy/Entity_Recording_2025_09_26_17_17_11_vehicle.csv,b34a48da97fd55e0916d9a604e9f6b1021ef6fbe2809dea1ea9e93abe1c65941
jy,2025_09_26_17_29_44,ok,,639.01,127803,原始车辆数据/jy/Entity_Recording_2025_09_26_17_29_44_vehicle.csv,35d4c3cb2d1a37f82def814bfd3531823ab7a7d6025dc3a1b44643f25e66376a
jy,2025_09_26_17_40_51,ok,,549.58,109917,原始车辆数据/jy/Entity_Recording_2025_09_26_17_40_51_vehicle.csv,8cdc2a8316610e6519cb65c8da03ebe31072d5934d25309b863c566da5e2c4eb
jy,2025_09_26_17_51_46,ok,,564.895,112980,原始车辆数据/jy/Entity_Recording_2025_09_26_17_51_46_vehicle.csv,9be6b671a8518dcfd7d9faf6184dda1816dfdf52303d86a8f8d0c0f92123e130
jy,2025_09_26_18_01_40,ok,,522.6850000000001,104538,原始车辆数据/jy/Entity_Recording_2025_09_26_18_01_40_vehicle.csv,4cec057f18b8e18b438e62a5356aac62e02d69f2b03c2e67e5bdf8490d92a5d2
lx,2025_09_26_08_58_43,ok,,273.045,54610,原始车辆数据/lx/Entity_Recording_2025_09_26_08_58_43_vehicle.csv,dc5ccad13b3e382773e3079623cd82934f4cb025c460f92fab3bad8af0290a5d
lx,2025_09_26_09_06_38,ok,,383.045,76610,原始车辆数据/lx/Entity_Recording_2025_09_26_09_06_38_vehicle.csv,8ebcfdac8a5463e90a020cd6622eb6e2df9f7bd5b5000dbbce29a0cf8f2edbc1
lx,2025_09_26_09_17_22,ok,,619.49,123899,原始车辆数据/lx/Entity_Recording_2025_09_26_09_17_22_vehicle.csv,0de154f51319f69f4e2c9c2ec1ea1ce284954418e3b9c6ebaf936fb1573a198f
lxy,2025_09_28_17_55_52,ok,,593.205,118642,原始车辆数据/lxy/Entity_Recording_2025_09_28_17_55_52_vehicle.csv,d90ab0cfa5c21e51e410d89a6ace5d3c1ffc2848207d57886468a273fc1d3f01
lxy,2025_09_28_18_06_16,ok,,579.715,115944,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_06_16_vehicle.csv,cd3480403bb284dc392305cb7c6f6bc74fe724d2c11fa8cd916fd86b2e6d1938
lxy,2025_09_28_18_19_35,ok,,544.03,108807,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_19_35_vehicle.csv,1735d287d37c5f3b5ef292385010787581b3864457b61b1ccb7002f4fb47158a
rjy,2025_09_28_19_33_26,ok,,646.9,129381,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_33_26_vehicle.csv,01436a5bdee52567619ced49be5980032c8fe3c36e01f1ac42fee70dcf8a6f21
rjy,2025_09_28_19_44_42,ok,,147.59,29519,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_44_42_vehicle.csv,5b5abba83d45b9ab931f971a3e31909a3e683748b21a57a708cc039986cd1337
rjy,2025_09_28_19_51_44,ok,,583.8050000000001,116762,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_51_44_vehicle.csv,321490a10177e5c7ad5a2f27b679df1230aed32a58b20343e3b5a221e415a954
rjy,2025_09_28_20_02_20,ok,,727.875,145576,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_02_20_vehicle.csv,33ef0d599b2ccd1b84d498caffb5fff7666013196faaaa8a9934cfdc57e22346
rjy,2025_09_28_20_15_42,ok,,598.9350000000001,119788,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_15_42_vehicle.csv,ec20c18f4693dd1c278921d576601c0c8d734912a407db081977d5da990e7817
txj,2025_09_27_08_40_46,ok,,736.73,147347,原始车辆数据/txj/Entity_Recording_2025_09_27_08_40_46_vehicle.csv,038a1a948db349e9c2765b83e4de7766c763c2bf68c487b92fc9fb83e56d8f83
txj,2025_09_27_08_53_44,ok,,678.045,135610,原始车辆数据/txj/Entity_Recording_2025_09_27_08_53_44_vehicle.csv,45dd2a65495e9fa1bc4319913c4d3559c3fa9fccb8be5b136ce4ceb8ce397910
txj,2025_09_27_09_06_19,ok,,629.865,125974,原始车辆数据/txj/Entity_Recording_2025_09_27_09_06_19_vehicle.csv,9dc9b2b49d4887358c963988e6783766b6807729011f0d48f6fe857180b0dd86
txj,2025_09_27_09_17_11,ok,,618.27,123655,原始车辆数据/txj/Entity_Recording_2025_09_27_09_17_11_vehicle.csv,35314d52e160ca04cc923db50d18ecae69cc095b4f372529e93a8c17fc54a61d
