instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,vehicle_read_status,vehicle_read_error,event_index_in_session,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,manual_label_match_type,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons,event_uid,event_type,event_level,road_type_anchor,curvature_anchor,is_curve,anchor_idx_oldcode,future_rows_available_oldcode,history_full_3s_oldcode,future_full_2s_oldcode,oldcode_usable,oldcode_drop_reason,random_event_split,session_key,session_level_split,subject_level_split
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,60.84,60.84,67.06,6.22,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,1,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00003;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00004,roll_rate;ay,extreme;weak,1.6657,7.449524,ok,,3,2601,1245,5.20337,5.20337,5.20337,0.372476,0.29898,2.77016,0.0,109.498002,-0.143641,1.561721,1.561721,76.37,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,1,3.083067,14.428,4,extreme_active,straight,primary,0.115,old_v400_context__byx__2025_09_28_17_05_51__00004,ok,middle_section,section2,1661.516895,0.0,3.763653,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=76.37; ay_support=+6.4; roll_rate_support=+2.5; yaw_rate_support=+5; lateral_support=+0.3; post_steering_response=+4.6; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+1.9,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,instability_ay_roll,extreme_active,straight,0.0,0,12168,100919.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,87.745,87.745,94.47,6.725,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00005,roll_rate,extreme,0.77988,15.597607,ok,,4,2601,1346,9.897419,9.897419,9.897419,0.77988,1.81476,22.07512,0.0,113.255001,-0.135263,1.948833,1.948833,94.15,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,2,10.046859,22.4,4,extreme_active,straight,secondary,0.08,old_v400_context__byx__2025_09_28_17_05_51__00006,ok,middle_section,section2,2584.516895,-0.0,7.04707,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=94.15; ay_support=+8.0; roll_rate_support=+5.2; yaw_rate_support=+5; lateral_support=+6.0; post_steering_response=+5.0; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+5.0,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,instability_ay_roll,extreme_active,straight,-0.0,0,17549,95538.0,True,True,True,,test,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,99.815,99.815,115.085,15.27,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,3,4,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00006;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00007;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00008;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00009,ay;roll_rate;roll_rate;roll_rate,weak;extreme;strong;extreme,2.816509,56.330183,ok,,5,2601,3055,12.1978,12.1978,12.1978,0.842305,1.23614,21.938079,0.0,14.473899,-3.06829,0.07139,0.07139,93.06,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section2,2727.516895,-0.0,22.502461,0.0,medium,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=93.06; ay_support=+8.0; roll_rate_support=+5.6; yaw_rate_support=+5; lateral_support=+6.0; multi_second_dynamic_episode=+4,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,instability_ay_roll,instability_extreme,design_regular_road,-0.0,0,19963,93124.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,158.49,158.49,182.395,23.905,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00011;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00012,roll_rate;roll_rate,extreme;extreme,0.47053,9.410599,ok,,7,2601,4782,6.415099,6.415099,6.71268,0.394759,0.396939,3.38936,0.01090981,83.4676,-0.26337,2.33455,-2.33455,83.9,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,2,4.665234,14.78,3,strong_active,straight,secondary,0.075,old_v400_context__byx__2025_09_28_17_05_51__00014,ok,curve1,curve1,4180.140164,-0.00729802,0.947119,0.0,high,design_curve_context,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=83.90; ay_support=+8.0; roll_rate_support=+2.6; yaw_rate_support=+5; lateral_support=+1.1; post_steering_response=+5.0; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+2.9; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,instability_ay_roll,strong_active,straight,-0.00729802,1,31698,81389.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,187.815,187.815,199.71,11.895,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00013;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00014,roll_rate;roll_rate,medium;extreme,0.379766,7.595328,ok,,8,2601,2380,4.18782,4.18782,5.3184,0.208582,0.150211,3.46166,0.00015981,112.325999,-0.172962,0.63914,-0.63914,60.71,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,1,2.325386,16.057,3,strong_active,straight,secondary,0.115,old_v400_context__byx__2025_09_28_17_05_51__00023,ok,middle_section,section3,4621.57442,0.0,281.06582,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,89.48,hybrid_accept_high,base_dynamic_score=60.71; ay_support=+4.4; yaw_rate_support=+5; lateral_support=+1.2; post_steering_response=+0.8; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+1.5,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,instability_ay_roll,strong_active,straight,0.0,0,37563,75524.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,219.32,219.32,228.1,8.78,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00017;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00018,roll_rate;roll_rate,medium;extreme,0.703788,14.075769,ok,,11,2601,1757,8.03359,8.03359,8.03359,0.703788,0.520831,3.27656,0.0,124.504,-0.193732,1.702922,1.702922,91.84,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,3,3,1,2,5.878551,27.657213,4,extreme_active,straight,secondary,0.015,old_v400_context__byx__2025_09_28_17_05_51__00029,ok,middle_section,section3,5697.57442,-0.0,279.992062,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=91.84; ay_support=+8.0; roll_rate_support=+4.7; yaw_rate_support=+5; lateral_support=+0.9; post_steering_response=+5.0; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+3.7,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,instability_ay_roll,extreme_active,straight,-0.0,0,43864,69223.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,243.065,243.065,246.25,3.185,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00020,roll_rate,strong,0.245202,4.904036,ok,,13,2601,638,4.4116,4.4116,4.4116,0.245202,0.320094,1.127574,0.0,83.329301,-0.278205,1.824045,-1.824045,68.95,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,2,4.475836,28.739667,3,strong_active,straight,secondary,0.115,old_v400_context__byx__2025_09_28_17_05_51__00034,ok,fix_road,fix_road,6456.199113,0.0,283.465886,0.0,low,design_special_event_segment,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=68.95; ay_support=+4.8; yaw_rate_support=+5; post_steering_response=+5.0; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+2.8; design_special_segment=+4,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,instability_ay_roll,strong_active,straight,0.0,0,48613,64474.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,257.595,257.595,270.23,12.635,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,2,3,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00021;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00022;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00023,ay;roll_rate;roll_rate,weak;extreme;medium,1.38762,5.285911,ok,,14,2600,2528,4.56984,-4.56984,4.91931,0.264296,0.178149,2.95307,0.0,110.012,-0.357618,1.237788,1.237788,65.86,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,2,3.613043,13.846,3,strong_active,straight,secondary,0.27,old_v400_context__byx__2025_09_28_17_05_51__00037,ok,fix_road,fix_road,6797.199113,-0.0,279.645128,0.0,low,design_special_event_segment,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=65.86; ay_support=+5.1; yaw_rate_support=+5; lateral_support=+0.5; post_steering_response=+3.3; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+2.3; design_special_segment=+4,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,instability_ay_roll,strong_active,straight,-0.0,0,51519,61568.0,True,True,True,,test,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,299.3,299.3,339.7,40.4,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,5,5,5,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00025;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00026;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00027;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00028;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00029,roll_rate;roll_rate;roll_rate;roll_rate;ay,extreme;medium;extreme;extreme;weak,1.64097,18.751368,ok,,16,2601,8081,11.823797,-11.823797,11.823797,0.937568,0.453681,2.62716,0.00806163,115.157,-0.043982,0.668984,0.668984,93.59,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,3,3,1,2,7.067773,18.153333,4,extreme_active,curve,secondary,0.03,old_v400_context__byx__2025_09_28_17_05_51__00042,ok,middle_section,section4,8253.25558,-0.0,279.694296,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=93.59; ay_support=+8.0; roll_rate_support=+6.3; yaw_rate_support=+5; lateral_support=+0.2; post_steering_response=+0.9; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+4.4; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,instability_ay_roll,extreme_active,curve,-0.0,0,59860,53227.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,343.9,343.9,345.535,1.635,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00030,roll_rate,weak,0.071232,1.424632,ok,,17,2601,328,4.594909,4.594909,1.62224,0.755629,0.152704,2.372721,0.0,133.072,-0.107163,0.275762,-0.275762,76.49,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,0,0,0.802711,18.966,1,weak,straight,secondary,1.36,old_v400_context__byx__2025_09_28_17_05_51__00054,ok,curve2,curve2,9386.880274,-0.0,836.380636,0.0,very_low,design_curve_context,0,none,,,,,nearest_or_exact,93.22,hybrid_accept_high,base_dynamic_score=76.49; ay_support=+5.2; roll_rate_support=+5.0; yaw_rate_support=+5; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,instability_ay_roll,weak,straight,-0.0,1,68780,44307.0,True,True,True,,train,byx__2025_09_28_17_05_51,train,test
