raw_vehicle_file,clean_vehicle_file,subject,status,rows,duration_s,source_map,missing_required_outputs,nan_after_clean
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,cwh,ok,100897,504.4800000190735,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,gf,ok,131855,659.2699999809265,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_18_49_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gf\Entity_Recording_2025_09_26_10_18_49_vehicle.csv,gf,ok,116767,583.829999923706,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_30_12_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gf\Entity_Recording_2025_09_26_10_30_12_vehicle.csv,gf,ok,113200,565.9949996471405,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_40_59_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gf\Entity_Recording_2025_09_26_10_40_59_vehicle.csv,gf,ok,118266,591.3249998092651,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,gf,ok,123663,618.3099999427795,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,gzj,ok,17237,86.17999982833862,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,gzj,ok,128315,641.5699996948242,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_53_25_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gzj\Entity_Recording_2025_09_27_11_53_25_vehicle.csv,gzj,ok,118889,594.4400000572205,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_04_23_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gzj\Entity_Recording_2025_09_27_12_04_23_vehicle.csv,gzj,ok,62827,314.1300001144409,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
