sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,checkpoint_tag
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,1.0341198444366455,1.944647192955017,0.8416993618011475,1.1029478311538696,0.43282882614924656,1,0,0.34499990940093994,0.07499999832361937,0.28185439109802246,0,1,3,3,1,1,1,1,0,1,1,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,1.0876957178115845,1.9746613502502441,0.6318069696426392,1.342854380607605,0.31995712559147005,1,0,0.08000004291534424,0.19500000309199095,0.9927118420600891,1,1,4,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.3292411267757416,0.05166006088256836,0.34942296147346497,0.2977629005908966,6.7638898503770575,1,0,0.16499996185302734,0.3600000096485019,0.29763540625572205,1,1,2,0,0,1,0,0,0,0,0,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,1.0091667175292969,2.112717866897583,1.7351202964782715,0.3775975704193115,0.8212740203812475,1,0,1.7449999749660492,0.330000008456409,0.3736400604248047,0,0,3,1,0,1,0,1,1,0,1,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.3305851221084595,0.9306089878082275,0.3358927369117737,0.5947162508964539,0.3609386340689327,1,0,1.475000023841858,0.759999985806644,0.5971258282661438,1,1,1,0,0,0,0,0,0,1,0,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.32792073488235474,0.7374014258384705,0.17781589925289154,0.5595855265855789,0.2411385346193276,1,0,0.16999995708465576,0.15499999653548002,0.5610804557800293,1,1,3,0,0,1,0,0,0,1,0,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.6135107278823853,0.9133307933807373,0.08160492777824402,0.8317258656024933,0.08934870954715049,1,0,1.4700000286102295,1.844999998807907,0.8381088674068451,1,1,3,3,1,1,1,0,0,1,0,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.5433850884437561,1.2873549461364746,0.31293609738349915,0.9744188487529755,0.24308454969832716,1,0,0.16999995708465576,0.4000000013038516,0.9757899343967438,1,1,5,0,0,1,0,0,0,1,0,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.6524025797843933,0.5049239993095398,0.34861934185028076,0.15630465745925903,0.6904392390280549,0,1,0.7699999762699008,0.07000000309199095,0.5029839873313904,1,0,2,0,0,1,0,0,0,0,0,active_legacy_best
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,byx,2025_09_28_17_05_51,pre2_label2_old_main,session_level_split,train,active_legacy_best,0.49966105818748474,0.5319759845733643,0.6613826751708984,0.12940669059753418,1.243256640055502,1,0,0.2250000238418579,1.0399999571964145,0.13020509481430054,0,1,0,0,1,0,0,0,0,0,0,active_legacy_best
