subject_alias,et_transformer_residual,extra_trees,hold,linear,transformer,reference_simple_model,extra_trees_improvement_pct_vs_simple,extra_trees_benefited_vs_simple,transformer_improvement_pct_vs_simple,transformer_benefited_vs_simple,et_transformer_residual_improvement_pct_vs_simple,et_transformer_residual_benefited_vs_simple,fusion_reference_single_model,fusion_improvement_pct_vs_best_single,fusion_benefited_vs_best_single
S001,1.0905567804972331,1.1319846709569295,1.3156449794769287,2.053194284439087,1.1350644032160442,hold,13.959716442122444,True,13.725631084206269,True,17.108581911602446,True,transformer,3.921153953265118,True
S002,0.5803907513618469,0.619021991888682,0.6582157611846924,1.0450860261917114,0.621052106221517,hold,5.954547369918233,True,5.646120490382403,True,11.823632069030342,True,transformer,6.547172846261461,True
S003,0.6544787287712097,0.6804867585500082,0.6784265637397766,1.070919632911682,0.6970040003458658,hold,-0.30367248576985123,False,-2.738312088442186,False,3.5299082094539775,True,transformer,6.101151722738224,True
S004,0.9689016342163086,1.0299240350723267,1.1484582424163818,1.8577630519866943,0.9794418017069498,hold,10.321159530768533,True,14.716812023902378,True,15.634578739430886,True,transformer,1.076140253792728,True
S005,0.7122871279716492,0.7479409376780192,0.785600483417511,1.2733465433120728,0.7225951155026754,hold,4.793727414176944,True,8.02002662227883,True,9.332142353952587,True,transformer,1.4265232783722126,True
S006,1.1252096891403198,1.1513893206914265,1.2454967498779297,2.04544997215271,1.1460379362106323,hold,7.555814914468992,True,7.9854735612152545,True,9.657757898557271,True,transformer,1.8174134042352015,True
S007,0.42615847786267597,0.4560869336128235,0.4535797834396362,0.7580232620239258,0.4683207372824351,hold,-0.5527473367915153,False,-3.2499142115668644,False,6.045530814670783,True,transformer,9.002859805956428,True
S008,0.4947819411754608,0.5067158540089926,0.5799383521080017,0.9965953826904296,0.5334234237670898,hold,12.6259106390972,True,8.020667743706905,True,14.683700538687988,True,transformer,7.244054323437654,True
S009,0.9030891259511312,0.9538683493932089,1.003738522529602,1.5825861692428589,0.9149534503618876,hold,4.968442678747785,True,8.845438346229862,True,10.027451803365702,True,transformer,1.2967134454833424,True
S010,1.0333066781361897,1.1042770544687908,1.1666653156280518,1.7326351404190063,1.0295292536417644,hold,5.347571434887089,True,11.754533210963146,True,11.430753593636322,True,transformer,-0.3669079320537406,False
S011,0.7925828695297241,0.8307188351949056,0.9146694540977478,1.4194806814193726,0.8270948926607767,hold,9.178246690839051,True,9.574449113243508,True,13.347617986046432,True,transformer,4.172679995644383,True
S012,0.6409956614176432,0.6642760634422302,0.6901466846466064,1.1367381811141968,0.6737226843833923,hold,3.748568497090357,True,2.3797839834040664,True,7.121822696885275,True,transformer,4.8576400534445,True
S013,0.681976854801178,0.7043214440345764,0.7634204626083374,1.309100866317749,0.70516969760259,hold,7.741345885836039,True,7.630233646963719,True,10.66825056390229,True,transformer,3.288973261367038,True
S014,0.4698443114757538,0.4899701277414958,0.4847752153873443,0.8601769208908081,0.4976375997066498,hold,-1.0716126132811166,False,-2.6532677230679367,False,3.079964370633192,True,transformer,5.58504587420238,True
S015,0.798080583413442,0.8453248540560404,0.9486256837844848,1.5376445055007937,0.7938549319903055,hold,10.889524866787491,True,16.31526053318846,True,15.86981071084352,True,transformer,-0.5322951653826936,False
S016,1.1925328969955444,1.2373921473821003,1.3709194660186768,2.097454786300659,1.2261478503545125,hold,9.739982686536402,True,10.56018382207376,True,13.01218440943066,True,transformer,2.7415089745701575,True
S017,0.8270377119382223,0.8745206991831461,0.8491815328598022,1.1647495031356812,0.8586617112159729,hold,-2.983951645534349,False,-1.1163900755406333,False,2.607666331014743,True,transformer,3.682940425160807,True
