model,模型,reference,drivers,benefited_drivers,benefit_fraction,median_improvement_pct
extra_trees,ExtraTrees,hold,38,31,0.8157894736842105,6.061245349427292
transformer,小型Transformer,hold,38,31,0.8157894736842105,7.405991686057967
et_transformer_residual,ExtraTrees+Transformer残差,hold,38,38,1.0,9.851509836817478
et_transformer_residual_vs_best_single,残差融合相对较强单模型,transformer,38,36,0.9473684210526315,2.932197309328772
