subject,sample_count,road_module_count,top_road_share,road_entropy,road_entropy_norm,top_road_module
xst,1,1,1.0,-0.0,,curve1
lx,4,2,0.75,0.8112781244591328,0.8112781244591328,middle_section
gzj,29,5,0.6896551724137931,1.506482739958237,0.648806801242188,middle_section
gf,8,2,0.625,0.954434002924965,0.954434002924965,middle_section
yyl,15,3,0.6,1.3382689280764644,0.8443536850036222,middle_section
yzy,22,7,0.5909090909090909,2.000080876099379,0.7124431828639084,middle_section
zxy,7,2,0.5714285714285714,0.9852281360342515,0.9852281360342515,middle_section
lxy,16,5,0.5625,1.8419171866886992,0.7932705542193164,middle_section
byx,16,5,0.5,1.9056390622295665,0.8207140722512383,middle_section
hzh,23,6,0.4782608695652174,2.1077566165206125,0.8153915640681781,middle_section
rjy,17,5,0.47058823529411764,1.96981578242681,0.8483534812142263,middle_section
cwh,15,4,0.4666666666666667,1.746465798504072,0.873232899252036,middle_section
zx,39,7,0.46153846153846156,2.2347663986864728,0.7960398527196333,middle_section
jy,15,3,0.4,1.5219280948873621,0.9602297178607612,differentmu_road
zdq,11,4,0.36363636363636365,1.8676338909712122,0.9338169454856061,middle_section
txj,16,6,0.3125,2.251614471810182,0.8710433792296886,middle_section
tyy,12,7,0.25,2.6258145836939115,0.9353340267248305,fix_road
zt,4,4,0.25,2.0,1.0,curve1
