feature,split_strategy,fit_scope,train_value_count,train_mean,train_std,scaler_status
prefix_until_guard3__style_duration_s,session_level_split,train_only,188,304.76882878723404,171.76947995296328,usable
prefix_until_guard3__style_row_count,session_level_split,train_only,188,90292.28191489361,61362.70429593981,usable
prefix_until_guard3__style_sampling_rate_est_hz,session_level_split,train_only,188,294.6771846207194,99.85456535842279,usable
prefix_until_guard3__speed_kmh_valid_ratio,session_level_split,train_only,188,0.5309932066648753,0.12259618945620167,usable
prefix_until_guard3__speed_kmh_mean,session_level_split,train_only,188,97.3554521896586,15.606533390261626,usable
prefix_until_guard3__speed_kmh_std,session_level_split,train_only,188,34.616215009780994,8.993772314563838,usable
prefix_until_guard3__speed_kmh_p10,session_level_split,train_only,188,45.17649911066729,29.385901847647037,usable
prefix_until_guard3__speed_kmh_p50,session_level_split,train_only,188,108.35627776595746,16.738560122477057,usable
prefix_until_guard3__speed_kmh_p90,session_level_split,train_only,188,130.67418585106384,12.03703163123902,usable
prefix_until_guard3__speed_kmh_abs_mean,session_level_split,train_only,188,97.3554521896586,15.606533390261626,usable
prefix_until_guard3__speed_kmh_abs_p95,session_level_split,train_only,188,133.85374502659576,11.890268540121566,usable
prefix_until_guard3__speed_kmh_rms,session_level_split,train_only,188,104.07926783245773,12.973983390747549,usable
prefix_until_guard3__steering_valid_ratio,session_level_split,train_only,188,0.5328365805691673,0.12211536965131439,usable
prefix_until_guard3__steering_mean,session_level_split,train_only,188,-0.09569804678961623,0.07101061746288274,usable
prefix_until_guard3__steering_std,session_level_split,train_only,188,0.5643868828536674,0.2955471373035512,usable
prefix_until_guard3__steering_p10,session_level_split,train_only,188,-0.4751910860106383,0.3014258618109361,usable
prefix_until_guard3__steering_p50,session_level_split,train_only,188,-0.12588510106382977,0.021919365852322865,usable
prefix_until_guard3__steering_p90,session_level_split,train_only,188,0.39817007952127687,0.41416497938059127,usable
prefix_until_guard3__steering_abs_mean,session_level_split,train_only,188,0.340007038272315,0.1441038498510628,usable
prefix_until_guard3__steering_abs_p95,session_level_split,train_only,188,1.3522162481382973,0.7642019045293814,usable
prefix_until_guard3__steering_rms,session_level_split,train_only,188,0.5796059872618808,0.29006583285108123,usable
prefix_until_guard3__longitudinal_accel_valid_ratio,session_level_split,train_only,188,0.5328365805691673,0.12211536965131439,usable
prefix_until_guard3__longitudinal_accel_mean,session_level_split,train_only,188,0.2382371707696484,0.15121617531208434,usable
prefix_until_guard3__longitudinal_accel_std,session_level_split,train_only,188,0.9661432299585375,0.26336010173728464,usable
prefix_until_guard3__longitudinal_accel_p10,session_level_split,train_only,188,-0.5506915443640424,0.32157089168848124,usable
prefix_until_guard3__longitudinal_accel_p50,session_level_split,train_only,188,0.29424132989627666,0.12598358169461701,usable
