subject,n_rows,n_events,mean_sample_rmse,high_rmse_top20_rate,wrong_side_rate,severe_amp_under_rate,tail_drift_rate,reversal_mismatch_rate,multi_segment_mismatch_rate
xst,5,1,0.9887420535087585,0.6,0.4,0.8,0.8,1.0,0.0
txj,65,13,0.861238097686034,0.5076923076923077,0.38461538461538464,0.5384615384615384,0.4153846153846154,0.9076923076923077,0.2
lx,10,2,0.6951528638601303,0.4,0.5,0.5,0.9,1.0,0.0
gf,135,14,0.5802967636949486,0.37777777777777777,0.23703703703703705,0.28888888888888886,0.6148148148148148,0.9851851851851852,0.07407407407407407
tyy,135,14,0.5688286507571185,0.32592592592592595,0.4222222222222222,0.23703703703703705,0.5925925925925926,0.9629629629629629,0.2740740740740741
gzj,620,78,0.5650772209129026,0.2532258064516129,0.13548387096774195,0.267741935483871,0.4870967741935484,0.9693548387096774,0.13548387096774195
zxy,140,16,0.6548917400251542,0.21428571428571427,0.2642857142857143,0.35714285714285715,0.5357142857142857,0.9785714285714285,0.12142857142857143
zx,225,34,0.5450095529026455,0.2088888888888889,0.24444444444444444,0.3333333333333333,0.5244444444444445,0.9733333333333334,0.19555555555555557
zdq,10,2,0.4892626773566008,0.2,0.0,0.0,0.6,1.0,0.0
hzh,1035,88,0.45483362074617456,0.17004830917874397,0.15458937198067632,0.26666666666666666,0.45893719806763283,0.9603864734299516,0.3497584541062802
byx,550,73,0.41130672007799146,0.14545454545454545,0.19454545454545455,0.21272727272727274,0.5381818181818182,0.9545454545454546,0.3690909090909091
yzy,40,8,0.45426663421094415,0.125,0.25,0.275,0.575,0.95,0.3
yyl,145,16,0.3981701357611294,0.11724137931034483,0.30344827586206896,0.2896551724137931,0.5172413793103449,0.9586206896551724,0.25517241379310346
lxy,45,9,0.4203931424352858,0.1111111111111111,0.17777777777777778,0.1111111111111111,0.5777777777777777,0.9333333333333333,0.5111111111111111
rjy,60,12,0.45191221684217453,0.1,0.18333333333333332,0.21666666666666667,0.45,0.9833333333333333,0.15
zt,5,1,0.4661312967538834,0.0,0.0,0.0,0.8,1.0,0.0
cwh,5,1,0.373144605755806,0.0,0.0,0.6,0.0,0.8,0.0
jy,35,7,0.31458353368299347,0.0,0.2,0.17142857142857143,0.5428571428571428,1.0,0.3142857142857143
