event_uid,subject,high_rmse_top20_count,random_main::direction_gated_knn_template_no_subject,random_main::formal_ridge_vehicle_context_no_subject,random_main::knn_template_context_no_subject,random_main::peak_scaled_template_context_no_subject,random_main::rbf_kernel_ridge_context_no_subject,session_pre1::direction_gated_knn_template_no_subject,session_pre1::formal_ridge_vehicle_context_no_subject,session_pre1::knn_template_context_no_subject,session_pre1::peak_scaled_template_context_no_subject,session_pre1::rbf_kernel_ridge_context_no_subject,session_pre3::direction_gated_knn_template_no_subject,session_pre3::formal_ridge_vehicle_context_no_subject,session_pre3::knn_template_context_no_subject,session_pre3::peak_scaled_template_context_no_subject,session_pre3::rbf_kernel_ridge_context_no_subject,subject_main::direction_gated_knn_template_no_subject,subject_main::formal_ridge_vehicle_context_no_subject,subject_main::knn_template_context_no_subject,subject_main::peak_scaled_template_context_no_subject,subject_main::rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005,tyy,10,,,,,,1.198,0.84,1.014,1.178,0.877,0.977,1.097,1.019,1.013,0.985,,,,,
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,10,,,,,,0.986,1.031,1.054,1.002,1.196,0.841,0.859,0.841,0.793,0.967,,,,,
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,10,0.834,1.011,0.972,0.78,0.933,,,,,,,,,,,0.776,1.12,1.008,0.904,1.129
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,9,,,,,,,1.026,0.757,,0.6,,0.883,,,,1.395,0.931,1.275,1.339,0.672
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,9,,,,,,,,1.106,,1.014,,0.929,0.868,0.711,1.089,,1.093,0.837,,1.011
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680,zx,9,,,,,,0.718,,0.721,0.75,0.703,0.999,0.856,0.968,0.977,0.93,,,,,
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000151555,gzj,8,2.056,1.32,1.424,1.962,1.411,,,,,,,,,,,,1.268,1.163,,1.314
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505,hzh,8,,,,,,,,0.822,,0.965,,0.874,0.764,,0.926,,1.111,0.724,,0.962
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,8,,,,,,,1.01,0.656,0.726,0.594,,0.952,0.698,,0.705,,1.108,,,
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,7,,,,,,0.905,,,0.735,0.661,0.866,,0.792,0.837,0.916,,,,,
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490,gf,6,,,,,,,1.173,1.139,,0.783,,1.242,0.755,,0.831,,,,,
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,6,,,,,,,1.049,0.662,,0.601,,0.988,,,,,1.169,,0.661,
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195,tyy,6,,,,,,0.825,0.916,,0.826,,1.16,1.142,,1.011,,,,,,
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000134810,gf,6,,,,,,0.902,,,0.805,,1.097,,0.818,1.017,0.827,,,,,
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000337550,hzh,5,,,,,,,,,,,,,,,,3.135,3.246,3.641,3.393,3.916
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000231185,gzj,5,,,,,,,,,,,,,,,,2.931,2.656,2.336,2.786,2.54
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000353715,gzj,5,,,,,,,,,,,,,,,,2.374,2.362,1.71,2.176,1.275
