recurrence_rank,event_uid,subject,session_stamp,possible_config_model_count,high_rmse_top20_count,high_rmse_top20_rate,mean_sample_rmse,max_sample_rmse,mean_gt_peak_abs,is_large_response_any,wrong_side_count,severe_amp_under_count,tail_drift_count,zero_crossing_mismatch_count,reversal_mismatch_count,multi_segment_mismatch_count,large_response_missed_count,peak_time_large_error_count,onset_delay_large_error_count,configs_in_bad_top20,models_in_bad_top20
38,vehicle_instability_allraw__txj__2025_09_27_08_40_46__000481115,txj,2025_09_27_08_40_46,5,5,1.0,1.2629369020462036,1.5434342622756958,3.2128028869628897,1,0,5,0,0,4,0,5,0,4,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
39,vehicle_instability_allraw__txj__2025_09_27_08_53_44__000440380,txj,2025_09_27_08_53_44,5,5,1.0,1.2574951648712158,1.4820008277893066,2.7464520931243896,1,0,4,0,0,5,0,4,1,3,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
40,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000618525,gzj,2025_09_27_11_41_47,5,5,1.0,1.2642665147781371,1.4596529006958008,0.8768490552902222,0,5,1,5,5,5,0,0,0,0,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
41,vehicle_instability_allraw__txj__2025_09_27_08_40_46__000275545,txj,2025_09_27_08_40_46,5,5,1.0,1.2277899503707885,1.3449416160583496,5.185723781585693,1,0,5,5,5,5,2,5,1,0,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
42,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265,byx,2025_09_28_17_25_18,5,5,1.0,1.1865566492080688,1.3339309692382812,2.4600415229797363,1,0,3,4,0,5,0,3,0,2,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
43,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,byx,2025_09_28_17_05_51,5,5,1.0,1.0523986220359802,1.248520016670227,1.795423984527588,1,3,5,1,2,4,0,5,2,5,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
44,vehicle_instability_allraw__tyy__2025_09_28_14_57_17__000158715,tyy,2025_09_28_14_57_17,5,5,1.0,1.030844223499298,1.2380223274230957,1.2934600114822388,0,3,2,5,1,4,0,0,2,3,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
45,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,5,5,1.0,0.9256243109703064,1.222360610961914,2.17851996421814,1,0,1,2,0,5,0,1,0,2,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
46,vehicle_instability_allraw__zx__2025_09_27_16_46_13__000501045,zx,2025_09_27_16_46_13,5,5,1.0,1.023617398738861,1.110182285308838,2.5766286849975586,1,1,5,5,3,5,4,5,2,5,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
47,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000475005,gzj,2025_09_27_12_28_14,5,5,1.0,0.9896519780158997,1.0560448169708252,2.185153007507324,1,0,5,0,4,5,0,5,0,3,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
48,vehicle_instability_allraw__tyy__2025_09_28_14_57_17__000402875,tyy,2025_09_28_14_57_17,5,5,1.0,0.9186339735984802,1.040646195411682,1.750911951065064,1,5,1,1,0,5,0,1,5,2,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
49,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000128910,hzh,2025_09_27_19_44_05,15,5,0.3333333333333333,0.5634219129880269,1.0378706455230713,1.6465442975362141,1,0,4,6,1,15,0,4,5,3,session_pre1;session_pre3;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject
50,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000160880,hzh,2025_09_26_21_03_19,15,5,0.3333333333333333,0.5447084407011668,1.034475326538086,1.528148929278056,1,0,3,9,0,14,10,3,7,7,session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
51,vehicle_instability_allraw__zx__2025_09_27_18_17_48__000096340,zx,2025_09_27_18_17_48,5,5,1.0,0.796587097644806,1.0018984079360962,1.7685450315475464,1,0,2,0,0,4,0,2,0,3,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
52,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000110425,byx,2025_09_28_17_35_43,5,5,1.0,0.9395693659782409,0.9942092299461364,2.1146390438079834,1,0,2,4,0,5,0,2,0,2,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
53,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,5,5,1.0,0.8141327142715454,0.9908963441848756,1.944647192955017,1,0,4,0,0,5,0,4,3,4,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
54,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000701035,hzh,2025_09_26_20_50_27,20,5,0.25,0.5621848791837692,0.8846195340156555,1.3410199582576752,1,0,10,17,0,20,20,5,6,8,session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
55,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000489775,gzj,2025_09_27_12_17_12,15,5,0.3333333333333333,0.6084871192773184,0.7660169005393982,0.8840090036392212,0,0,3,12,0,15,0,0,12,0,session_pre1;subject_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject
56,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000132845,gzj,2025_09_27_11_41_47,5,4,0.8,0.8244087100028992,1.531734824180603,2.7082221508026123,1,0,4,4,1,4,0,4,1,1,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject
57,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000132045,gf,2025_09_26_10_30_12,10,4,0.4,0.561755383014679,1.32806396484375,0.5552765727043152,0,7,4,9,4,9,0,0,8,0,session_pre1;session_pre3,direction_gated_knn_template_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
58,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,byx,2025_09_28_17_15_52,5,4,0.8,0.9231315970420837,1.305091142654419,1.257859230041504,0,4,1,4,2,5,0,0,2,1,subject_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
59,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000119290,zx,2025_09_27_18_00_08,10,4,0.4,0.6847342073917388,1.1952829360961914,0.24024449288845062,0,5,0,10,0,10,0,0,5,0,session_pre1;session_pre3,knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
60,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000268875,gzj,2025_09_27_11_53_25,5,4,0.8,0.8203748106956482,1.1876896619796753,0.9435250163078308,0,0,0,5,0,5,0,0,4,0,subject_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
61,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000170900,byx,2025_09_28_17_46_00,15,4,0.26666666666666666,0.5762505799531936,1.1386115550994873,0.9599321484565736,0,6,7,12,0,15,0,0,4,7,subject_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
62,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000263130,lx,2025_09_26_09_17_22,5,4,0.8,0.9181836485862732,1.1189087629318235,0.9936151504516602,0,5,1,5,0,5,0,0,0,1,random_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
63,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000194205,byx,2025_09_28_17_35_43,5,4,0.8,0.8632012367248535,1.0746570825576782,0.7435100078582764,0,5,2,5,5,5,4,0,5,2,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject
64,vehicle_instability_allraw__yzy__2025_09_27_14_26_04__000094120,yzy,2025_09_27_14_26_04,5,4,0.8,0.8685774564743042,1.0324172973632812,0.6085970401763916,0,5,0,5,5,5,0,0,5,0,random_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
65,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,5,4,0.8,0.8309243559837342,1.029041051864624,1.388583421707153,1,0,5,5,2,5,0,5,1,1,subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
66,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000645790,hzh,2025_09_26_20_50_27,15,4,0.26666666666666666,0.42050680667161944,1.0142788887023926,0.725882371266683,0,6,4,10,5,15,0,0,3,8,session_pre1;session_pre3,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject
67,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000250730,lxy,2025_09_28_18_06_16,5,4,0.8,0.854702889919281,0.9790338277816772,1.521754026412964,1,0,2,3,5,5,0,2,2,5,random_main,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
68,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,15,4,0.26666666666666666,0.5969460984071095,0.9389042854309082,1.4929579496383667,1,3,7,3,1,15,0,4,4,5,session_pre1;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;rbf_kernel_ridge_context_no_subject
69,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,gzj,2025_09_27_12_28_14,10,4,0.4,0.687967962026596,0.9385446310043336,1.5514259338378906,1,0,4,2,0,10,0,4,0,6,random_main;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject
