robustness_config_id,model_name,n_samples,mean_sample_rmse,high_rmse_top20_count,high_rmse_top20_rate,wrong_side_flag_count,wrong_side_flag_rate,severe_amp_under_flag_count,severe_amp_under_flag_rate,tail_drift_flag_count,tail_drift_flag_rate,zero_crossing_mismatch_flag_count,zero_crossing_mismatch_flag_rate,reversal_mismatch_flag_count,reversal_mismatch_flag_rate,multi_segment_mismatch_flag_count,multi_segment_mismatch_flag_rate,large_response_missed_flag_count,large_response_missed_flag_rate,peak_time_large_error_flag_count,peak_time_large_error_flag_rate,onset_delay_large_error_flag_count,onset_delay_large_error_flag_rate
random_main,direction_gated_knn_template_no_subject,136,0.5515853848363108,28,0.20588235294117646,31,0.22794117647058823,18,0.1323529411764706,69,0.5073529411764706,24,0.17647058823529413,134,0.9852941176470589,32,0.23529411764705882,16,0.11764705882352941,31,0.22794117647058823,38,0.27941176470588236
random_main,formal_ridge_vehicle_context_no_subject,136,0.5753437323660097,28,0.20588235294117646,33,0.2426470588235294,89,0.6544117647058824,88,0.6470588235294118,30,0.22058823529411764,116,0.8529411764705882,37,0.27205882352941174,39,0.2867647058823529,40,0.29411764705882354,76,0.5588235294117647
random_main,knn_template_context_no_subject,136,0.5022989112116835,28,0.20588235294117646,25,0.18382352941176472,31,0.22794117647058823,59,0.4338235294117647,26,0.19117647058823528,133,0.9779411764705882,31,0.22794117647058823,19,0.13970588235294118,34,0.25,37,0.27205882352941174
random_main,peak_scaled_template_context_no_subject,136,0.5396891601164552,28,0.20588235294117646,31,0.22794117647058823,23,0.16911764705882354,60,0.4411764705882353,27,0.19852941176470587,134,0.9852941176470589,38,0.27941176470588236,15,0.11029411764705882,33,0.2426470588235294,37,0.27205882352941174
random_main,rbf_kernel_ridge_context_no_subject,136,0.49911931606338306,28,0.20588235294117646,22,0.16176470588235295,41,0.3014705882352941,66,0.4852941176470588,21,0.15441176470588236,136,1.0,32,0.23529411764705882,25,0.18382352941176472,37,0.27205882352941174,27,0.19852941176470587
session_pre1,direction_gated_knn_template_no_subject,139,0.4702684493373624,28,0.2014388489208633,23,0.16546762589928057,8,0.05755395683453238,64,0.460431654676259,17,0.1223021582733813,127,0.9136690647482014,48,0.34532374100719426,8,0.05755395683453238,30,0.2158273381294964,27,0.19424460431654678
session_pre1,formal_ridge_vehicle_context_no_subject,139,0.5063023216379203,28,0.2014388489208633,31,0.22302158273381295,78,0.5611510791366906,82,0.5899280575539568,24,0.17266187050359713,128,0.920863309352518,47,0.3381294964028777,22,0.15827338129496402,32,0.2302158273381295,67,0.48201438848920863
session_pre1,knn_template_context_no_subject,139,0.4211438477253742,28,0.2014388489208633,25,0.17985611510791366,38,0.2733812949640288,67,0.48201438848920863,17,0.1223021582733813,139,1.0,47,0.3381294964028777,14,0.10071942446043165,34,0.2446043165467626,30,0.2158273381294964
session_pre1,peak_scaled_template_context_no_subject,139,0.4396538883447647,28,0.2014388489208633,23,0.16546762589928057,13,0.09352517985611511,66,0.4748201438848921,26,0.18705035971223022,138,0.9928057553956835,46,0.33093525179856115,9,0.06474820143884892,33,0.23741007194244604,21,0.1510791366906475
session_pre1,rbf_kernel_ridge_context_no_subject,139,0.4145330598631458,28,0.2014388489208633,27,0.19424460431654678,48,0.34532374100719426,73,0.5251798561151079,16,0.11510791366906475,132,0.9496402877697842,40,0.28776978417266186,12,0.08633093525179857,35,0.2517985611510791,35,0.2517985611510791
session_pre3,direction_gated_knn_template_no_subject,139,0.5354412187346451,28,0.2014388489208633,31,0.22302158273381295,15,0.1079136690647482,67,0.48201438848920863,24,0.17266187050359713,138,0.9928057553956835,15,0.1079136690647482,11,0.07913669064748201,72,0.5179856115107914,32,0.2302158273381295
session_pre3,formal_ridge_vehicle_context_no_subject,139,0.5923980225494011,28,0.2014388489208633,35,0.2517985611510791,94,0.6762589928057554,71,0.5107913669064749,24,0.17266187050359713,128,0.920863309352518,15,0.1079136690647482,21,0.1510791366906475,71,0.5107913669064749,74,0.5323741007194245
session_pre3,knn_template_context_no_subject,139,0.48631871105741253,28,0.2014388489208633,31,0.22302158273381295,38,0.2733812949640288,66,0.4748201438848921,16,0.11510791366906475,139,1.0,15,0.1079136690647482,14,0.10071942446043165,67,0.48201438848920863,35,0.2517985611510791
session_pre3,peak_scaled_template_context_no_subject,139,0.5281185138461401,28,0.2014388489208633,31,0.22302158273381295,15,0.1079136690647482,68,0.4892086330935252,22,0.15827338129496402,139,1.0,15,0.1079136690647482,11,0.07913669064748201,71,0.5107913669064749,29,0.20863309352517986
