recurrence_rank,event_uid,subject,session_stamp,high_rmse_top20_count,high_rmse_top20_rate,worst_config,worst_model,worst_sample_id,worst_sample_rmse,worst_gt_peak_abs,worst_pred_peak_abs,wrong_side_any,severe_amp_under_any,tail_drift_any,reversal_mismatch_any,multi_segment_mismatch_any,large_response_missed_any
17,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,9,0.6,subject_main,direction_gated_knn_template_no_subject,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre2_label2_old_main,1.3948676586151123,1.3070790767669678,0.8561155796051025,1,1,1,1,0,0
18,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,9,0.6,session_pre1,knn_template_context_no_subject,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635__pre1_label2_event_trigger,1.106117844581604,1.3988850116729736,0.2845655977725982,1,1,1,1,1,1
19,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680,zx,2025_09_27_18_00_08,9,0.9,session_pre3,direction_gated_knn_template_no_subject,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680__pre3_label3_response_coverage,0.9994233846664428,1.3625800609588623,1.0319314002990725,0,0,1,1,0,0
20,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000151555,gzj,2025_09_27_12_28_14,8,0.8,random_main,direction_gated_knn_template_no_subject,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000151555__pre2_label2_old_main,2.056183338165283,1.9486596584320068,1.478743553161621,1,1,1,1,1,1
21,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505,hzh,2025_09_26_21_03_19,8,0.5333333333333333,subject_main,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505__pre2_label2_old_main,1.1107983589172363,1.2440659999847412,0.7981999516487122,1,1,1,1,1,0
22,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,8,0.5333333333333333,subject_main,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre2_label2_old_main,1.107648491859436,1.983918070793152,0.2388658672571182,0,1,1,1,0,1
23,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,2025_09_28_09_49_11,7,0.7,session_pre3,rbf_kernel_ridge_context_no_subject,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre3_label3_response_coverage,0.9159365296363832,1.095893383026123,0.5746318697929382,1,1,1,1,0,0
24,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490,gf,2025_09_26_10_30_12,6,0.6,session_pre3,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490__pre3_label3_response_coverage,1.242457389831543,1.9250980615615845,0.2781349420547485,0,1,1,1,1,1
25,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,6,0.4,subject_main,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre2_label2_old_main,1.1687065362930298,2.043076992034912,0.3568051159381866,0,1,1,1,0,1
26,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195,tyy,2025_09_28_14_44_09,6,0.6,session_pre3,direction_gated_knn_template_no_subject,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195__pre3_label3_response_coverage,1.1598403453826904,0.6916792392730713,1.1274644136428833,1,1,1,1,1,0
27,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000134810,gf,2025_09_26_10_52_57,6,0.6,session_pre3,direction_gated_knn_template_no_subject,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000134810__pre3_label3_response_coverage,1.09685480594635,0.9183930158615112,1.0031867027282717,1,1,1,1,0,0
28,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000337550,hzh,2025_09_27_19_33_25,5,1.0,subject_main,rbf_kernel_ridge_context_no_subject,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000337550__pre2_label2_old_main,3.916294574737549,6.233269691467285,0.2548514902591705,0,1,1,1,1,1
29,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000231185,gzj,2025_09_27_12_28_14,5,1.0,subject_main,direction_gated_knn_template_no_subject,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000231185__pre2_label2_old_main,2.93123459815979,3.3576600551605225,1.2181823253631592,1,1,1,1,0,1
30,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000353715,gzj,2025_09_27_11_41_47,5,1.0,subject_main,direction_gated_knn_template_no_subject,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000353715__pre2_label2_old_main,2.374054193496704,2.2739901542663574,1.2871013879776,1,1,1,1,0,1
