split_strategy,split_name,n_events,instant2s_core_candidate_n,response3s_strict_core_n,long_event_review_n,manual_review_n
session_level_split,test,139,12,40,89,99
session_level_split,train,611,62,188,390,423
session_level_split,val,156,10,42,109,114
subject_level_split,test,239,18,68,158,171
subject_level_split,train,513,54,159,328,354
subject_level_split,val,154,12,43,102,111
default_split,test,139,12,40,89,99
default_split,train,611,62,188,390,423
default_split,val,156,10,42,109,114
