response_task_class,response_task_track,response_task_class_cn,n_events,rate
long_or_unsettled_review,D_long_event_or_unsettled_review,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,588,0.6490066225165563
switch_to_3s_continuing_response_core,B_response3s_core_candidate,2秒后仍有明显变化，优先转为3秒响应覆盖候选,193,0.2130242825607064
instant2s_core_clean,A_instant2s_core_and_3s_ok,2秒即时响应核心样本，2秒和3秒标签都相对稳定,60,0.06622516556291391
instant2s_ok_but_long_event_context,A_instant2s_only_with_long_event_flag,2秒即时响应可用，但完整响应/长事件仍需复核,24,0.026490066225165563
manual_2s_tail_or_anchor_review,C_manual_2s_anchor_or_tail_review,2秒尾段或锚点需复核，暂不进核心训练,24,0.026490066225165563
switch_to_3s_late_peak_core,B_response3s_core_candidate,2秒漏掉后续峰值，优先转为3秒响应覆盖候选,17,0.018763796909492272
