robustness_config_id,window_config_id_check,split_strategy_check,window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,test,direction_gated_knn_template_no_subject,136,0.6762654973488802,0.7720588235294118,0.22794117647058823,0.5897435897435898,0.5164506916395005,1.5368609615530795,0.1323529411764706,0.4053676500916481,0.37180147309075384,0.6168314016780213,0.5073529411764706,0.17647058823529413,0.014705882352941176,0.7647058823529411,0.9558823529411765,1.0644039132526706
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,test,formal_ridge_vehicle_context_no_subject,136,0.6997024610879834,0.7573529411764706,0.2426470588235294,0.0,0.8158983251025134,0.8523147740030189,0.6544117647058824,0.4915073540280847,0.8234926443273092,0.7054157458067707,0.6470588235294118,0.22058823529411764,0.14705882352941177,0.7647058823529411,0.9485294117647058,1.2145756501160394
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,test,knn_template_context_no_subject,136,0.6149982982439469,0.8161764705882353,0.18382352941176472,0.5128205128205128,0.5358920202535742,1.2782281709569712,0.22794117647058823,0.4202573505394599,0.38661764697719586,0.568830973794641,0.4338235294117647,0.19117647058823528,0.022058823529411766,0.7647058823529411,0.9632352941176471,1.0089139530122126
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,test,peak_scaled_template_context_no_subject,136,0.6806917721423669,0.7720588235294118,0.22794117647058823,0.6153846153846154,0.5146624761469224,1.3245353361471714,0.16911764705882354,0.4145955912330571,0.3751838236006306,0.6080892772742492,0.4411764705882353,0.19852941176470587,0.014705882352941176,0.7647058823529411,0.9264705882352942,1.0853984369116956
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,test,rbf_kernel_ridge_context_no_subject,136,0.6130488215036832,0.8382352941176471,0.16176470588235295,0.358974358974359,0.5607264613294426,1.339904950793914,0.3014705882352941,0.45374999743174105,0.31055146904990955,0.5837165184510762,0.4852941176470588,0.15441176470588236,0.0,0.7647058823529411,1.0,1.0187296462711435
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,train,direction_gated_knn_template_no_subject,634,1.0316072529947411e-06,1.0,0.0,1.0,9.424582326473309e-07,1.0000017319508516,0.0,0.00886435273223871,0.0,9.938490140666831e-07,0.0,0.028391167192429023,1.0,0.694006309148265,0.694006309148265,1.696207915303944e-06
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,634,0.6836111664233265,0.750788643533123,0.24921135646687698,0.03773584905660377,0.7240931375498652,1.7346155324369235,0.583596214511041,0.4777444811414469,0.6776340677232514,0.6551766333033254,0.6482649842271293,0.23501577287066247,0.12933753943217666,0.694006309148265,0.9495268138801262,1.257317758935406
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,train,knn_template_context_no_subject,634,7.092576406286126e-07,1.0,0.0,1.0,7.027808440208717e-07,0.9999996573102066,0.0,0.00469242851910907,0.0005283912273611556,6.491067336098128e-07,0.0,0.03470031545741325,1.0,0.694006309148265,0.694006309148265,1.1654094931900212e-06
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,train,peak_scaled_template_context_no_subject,634,0.08719541394811281,1.0,0.0,1.0,0.011073235295674754,0.9986123631439615,0.0,0.0074447947157670275,0.00019716083627393946,0.008570690005094908,0.0,0.031545741324921134,1.0,0.694006309148265,0.694006309148265,0.19482128889280337
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,train,rbf_kernel_ridge_context_no_subject,634,0.4205166627281173,0.8817034700315457,0.11829652996845426,0.6477987421383647,0.39804779360958076,1.3157301486860067,0.17823343848580442,0.3467113567686607,0.24356466825252357,0.42170114848103185,0.3943217665615142,0.14037854889589904,0.04258675078864353,0.694006309148265,0.9684542586750788,0.7116824866420651
