robustness_config_id,window_config_id,split_strategy,val_selected_model,val_selected_test_rmse,best_test_model,best_test_rmse,formal_rmse,selected_rmse_improvement_pct_vs_formal,rbf_test_rmse,rbf_reversal_exact,knn_test_rmse,knn_train_rmse,knn_memory_risk,interpretation_cn
random_main,pre2_label2_old_main,random_event_split,rbf_kernel_ridge_context_no_subject,0.6130488215036832,rbf_kernel_ridge_context_no_subject,0.6130488215036832,0.6997024610879834,12.384355408663339,0.6130488215036832,0.0,0.6149982982439469,7.092576406286126e-07,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
session_pre1,pre1_label2_event_trigger,session_level_split,peak_scaled_template_context_no_subject,0.5393722582099637,rbf_kernel_ridge_context_no_subject,0.5201037741555928,0.6437520400993387,16.214283666311637,0.5201037741555928,0.050359712230215826,0.5254287314973548,3.270470037579181e-06,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
session_pre3,pre3_label3_response_coverage,session_level_split,direction_gated_knn_template_no_subject,0.6584315076992828,knn_template_context_no_subject,0.5902073802492165,0.7284632158336405,9.61362311948924,0.6077056478148962,0.007194244604316547,0.5902073802492165,2.076046974225006e-06,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
subject_main,pre2_label2_old_main,subject_level_split,rbf_kernel_ridge_context_no_subject,0.6097916981485598,knn_template_context_no_subject,0.5979357894118985,0.6727879068913338,9.363457353722756,0.6097916981485598,0.03765690376569038,0.5979357894118985,1.1863582138176063e-06,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
