robustness_config_id,window_config_id_check,split_strategy_check,sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,byx,2025_09_28_17_05_51,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.9096881747245789,1.795423984527588,0.3260536789894104,1.4693703055381775,0.18160260851990437,1,0,0.25,1.4649999737739563,0.5328959971666336,0,0,2,2,1,1,1,1,0,1,1
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,byx,2025_09_28_17_05_51,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.8841791152954102,1.1178799867630005,0.2709416449069977,0.8469383418560028,0.24237095941895548,0,1,0.2849999666213989,0.7200000286102295,0.7762132883071899,1,1,3,2,0,1,1,0,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.19759921729564667,0.34609684348106384,0.13109469413757324,0.2150021493434906,0.37878038071371745,0,1,0.9049999862909317,0.7399999760091305,0.22772487252950668,1,0,1,12,0,0,1,0,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,1.02080500125885,2.1975419521331787,0.403045654296875,1.7944962978363037,0.18340749031236198,1,0,0.09999990463256836,1.7100000083446503,0.15101324021816254,0,0,2,4,0,1,1,1,0,1,1
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.9813991785049438,1.7027480602264404,0.151397243142128,1.5513508170843124,0.0889134726848518,1,0,1.4700000286102295,1.7750000059604645,1.6476145945489407,1,1,2,2,1,1,1,1,0,1,1
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.7096165418624878,1.257859230041504,0.30459433794021606,0.9532648921012878,0.24215296168726747,1,0,0.49000000953674316,1.4299999624490738,0.9101068675518036,1,0,2,3,0,1,1,0,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.2613452970981598,0.9564404487609863,0.5762110352516174,0.3802294135093689,0.6024536457006453,1,0,0.125,0.034999966621398926,0.5165231227874756,1,0,1,2,0,0,1,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.15662294626235962,0.41032660007476807,0.48947441577911377,0.0791478157043457,1.192889799710581,1,0,0.6200000047683716,0.6949999779462814,0.06738719344139099,0,0,1,5,0,0,1,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.21118301153182983,0.7436872720718384,0.5053746700286865,0.23831260204315186,0.6795526681810262,1,0,0.09000003337860107,0.7949999868869781,0.2510031461715698,0,0,3,4,0,1,1,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.5230623483657837,1.1828088760375977,0.3633320927619934,0.8194767832756042,0.3071773471798366,1,0,0.41999995708465576,0.4800000786781311,0.3937250077724457,0,0,7,6,0,1,1,0,0,1,0
