track_id,road_design_module_name,n_samples,mean_peak_abs,large_response_rate,late_peak_rate,unsettled_tail_rate,needs_structure_head_rate
A_instant2s_core,curve1,8,0.2093531470745802,0.125,0.25,0.75,1.0
A_instant2s_core,curve2,5,0.615403163433075,0.2,0.4,0.2,1.0
A_instant2s_core,differentmu_road,23,0.2666710861351179,0.08695652173913043,0.17391304347826086,0.30434782608695654,1.0
A_instant2s_core,fix_road,9,0.5702777571148343,0.3333333333333333,0.6666666666666666,0.5555555555555556,1.0
A_instant2s_core,longstraight,1,0.761661171913147,1.0,0.0,0.0,1.0
A_instant2s_core,middle_section,36,0.6177348275151517,0.4166666666666667,0.3055555555555556,0.19444444444444445,1.0
A_instant2s_core,stop,2,0.08996999263763428,0.0,0.5,1.0,1.0
B_response3s_strict_core,curve1,28,1.0804841071367264,0.17857142857142858,0.39285714285714285,0.10714285714285714,1.0
B_response3s_strict_core,curve2,17,1.1595255136489868,0.23529411764705882,0.23529411764705882,0.058823529411764705,1.0
B_response3s_strict_core,differentmu_road,42,0.6996481620839664,0.07142857142857142,0.19047619047619047,0.21428571428571427,1.0
B_response3s_strict_core,fix_road,38,1.40363972830145,0.34210526315789475,0.10526315789473684,0.05263157894736842,1.0
B_response3s_strict_core,longstraight,7,1.499835729598999,0.42857142857142855,0.42857142857142855,0.0,1.0
B_response3s_strict_core,middle_section,134,1.2623499208755458,0.26119402985074625,0.208955223880597,0.029850746268656716,1.0
B_response3s_strict_core,stop,4,1.457262396812439,0.5,0.25,0.0,1.0
