track_id,n_samples,subject_n,train_n,val_n,test_n,mean_peak_abs,median_peak_abs,large_response_rate,difficult_response_rate,needs_structure_head_rate,late_peak_rate,unsettled_tail_rate,multi_correction_rate,reverse_or_multi_rate,positive_direction_rate,negative_direction_rate
A_instant2s_core,84,16,62,10,12,0.4666408421028228,0.2544686496257782,0.27380952380952384,0.20238095238095238,1.0,0.30952380952380953,0.3333333333333333,0.5595238095238095,0.9166666666666666,0.5714285714285714,0.42857142857142855
B_response3s_strict_core,270,18,188,42,40,1.178414112246699,1.1816757321357727,0.24074074074074073,0.1962962962962963,1.0,0.21851851851851853,0.07037037037037037,0.9296296296296296,0.9888888888888889,0.4777777777777778,0.5222222222222223
