track_id,manifest_morphology,n_samples,mean_peak_abs,large_response_rate,late_peak_rate,unsettled_tail_rate,needs_structure_head_rate
A_instant2s_core,multi_correction,47,0.7226033025282494,0.48936170212765956,0.2978723404255319,0.1702127659574468,1.0
A_instant2s_core,reverse_correction,22,0.19285842742432246,0.0,0.13636363636363635,0.3181818181818182,1.0
A_instant2s_core,single_lobe,15,0.06617267429828644,0.0,0.6,0.8666666666666667,1.0
B_response3s_strict_core,multi_correction,251,1.2411766965610098,0.2549800796812749,0.23107569721115537,0.043824701195219126,1.0
B_response3s_strict_core,reverse_correction,14,0.45323782307761057,0.07142857142857142,0.07142857142857142,0.2857142857142857,1.0
B_response3s_strict_core,single_lobe,5,0.05822598934173584,0.0,0.0,0.8,1.0
