track_id,computed_morphology,n_samples,mean_peak_abs,large_response_rate,late_peak_rate,unsettled_tail_rate,needs_structure_head_rate
A_instant2s_core,multi_correction,47,0.7226033025282494,0.48936170212765956,0.2978723404255319,0.1702127659574468,1.0
A_instant2s_core,reverse_correction,30,0.1543801801900069,0.0,0.3,0.43333333333333335,1.0
A_instant2s_core,single_lobe,7,0.08629573030131203,0.0,0.42857142857142855,1.0,1.0
B_response3s_strict_core,multi_correction,251,1.2411766965610098,0.2549800796812749,0.23107569721115537,0.043824701195219126,1.0
B_response3s_strict_core,reverse_correction,16,0.39766308665275574,0.0625,0.0625,0.3125,1.0
B_response3s_strict_core,single_lobe,3,0.09128336111704509,0.0,0.0,1.0,1.0
