episode_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_absolute_path,vehicle_raw_relative_path,vehicle_raw_size_bytes,vehicle_raw_sha256,read_status,read_error,available_columns,missing_required_columns,row_count,duration_s,time_start_s,time_end_s,sampling_rate_median_hz,episode_count,success_episode_count,event_index_in_session,t_condition_anchor,t_condition_end,t_condition_peak,condition_duration_s,condition_score_peak,condition_score_mean,condition_level,condition_context_cn,window_complete,recommended_input_start_s,recommended_input_end_s,recommended_label_start_s,recommended_label_end_s,vehicle_component_count,roll_evidence,lateral_evidence,is_roll_context,is_lateral_dynamic_context,is_curve_context,is_low_mu_context,is_brake_context,has_brake_response,coordinate_continuity_ok,local_lateral_step_p99,local_lateral_step_max,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window,peak_abs_curvature_window,min_mu_window,median_speed_kmh_window,ay_threshold,yaw_rate_threshold,roll_rate_threshold,roll_angle_threshold,curvature_threshold,t_steer_onset,steer_onset_relation,steer_response_delay_s,steer_amp_threshold,steer_rate_threshold,steer_delta_prepost,steer_rate_peak_near,steer_response_strength,steer_response_score,input_start_already_steering,t_response_peak,steer_peak_delta,has_return,has_countersteer,response_shape,nearest_old_context_table,nearest_old_context_time_s,delta_to_nearest_old_context_s,nearest_old_road_module,nearest_old_risk_class,nearest_old_event_types,nearest_old_v0_2_category,nearest_old_v0_2_category_cn,v0_3_category,v0_3_category_cn,v0_3_reason_cn,recommended_use,new_rule_auto_label,new_rule_reason_cn,new_rule_review_priority,strong_body_attitude_auto,moderate_body_attitude_auto,strong_or_medium_steer_auto,light_steer_auto,coord_and_window_ok_auto,body_attitude_score_simple
V03_txj_2025_09_27_09_06_19_0022,extreme_condition_episodes_v0_3_all_raw,txj,2025_09_27_09_06_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_06_19_vehicle.csv,txj/Entity_Recording_2025_09_27_09_06_19_vehicle.csv,43007426,9dc9b2b49d4887358c963988e6783766b6807729011f0d48f6fe857180b0dd86,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|lanecurvatureXY|zx|x|zx|y,,251947,629.865,0.0,629.865,400.0000000003638,28,0,22,473.805,479.74,475.514,5.935000000000002,8.016038115427744,6.093641908585282,extreme,低附着,True,471.805,473.805,473.805,478.805,3,True,True,True,True,False,True,False,False,False,0.0165899999999998,1.739255,9.20363,0.321465,3.91555,1.00119,1.90066e-09,0.8,67.78725,5.578302568750001,0.311833088125,0.1481351030000003,0.088600155875,0.0025,472.799,before_condition,-1.0060000000000286,1.288137392,8.0,0.7895,12.182400000011084,weak,2.1357004599237537,False,477.11,0.9082694,True,False,return,episode_candidates_v0_6.csv,456.5,17.305000000000007,middle_section,design_regular_road,roll_rate;roll_rate;roll_rate;roll_rate;roll_rate;roll_rate;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,False,True,False,48.59250933333334
V03_zxy_2025_09_28_16_35_30_0006,extreme_condition_episodes_v0_3_all_raw,zxy,2025_09_28_16_35_30,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zxy\Entity_Recording_2025_09_28_16_35_30_vehicle.csv,zxy/Entity_Recording_2025_09_28_16_35_30_vehicle.csv,53018895,fbadaf81b7484d5836511d5b3b2e8e723d4636d2393d37441b44e5c477f8c1b6,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,159738,798.685,0.0,798.685,200.0000000001819,16,0,6,197.02,202.315,199.78,5.294999999999988,11.0,7.493038878548552,extreme,横滚/姿态,True,195.02,197.02,197.02,202.02,4,True,True,True,True,False,False,True,True,False,0.0,,12.5188,2.64155,2.91542,0.577089,,,,2.88852065,0.1517942325000001,0.09473590325,0.072778778,0.0025,197.64,after_condition,0.6199999999999761,2.827434,8.0,2.712244,13.369000000012123,medium,2.630384880161406,False,201.305,-3.13897,False,False,sustained_same_side,episode_candidates_v0_6.csv,185.12,11.900000000000006,middle_section,design_regular_road,roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,47.22028916666667
V03_byx_2025_09_28_17_46_00_0001,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,36573238,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,218967,547.416,0.0,547.416,400.0000000003638,28,0,1,70.95,72.86,71.67,1.9099999999999968,8.271126292601533,5.677712837707842,extreme,低附着,True,68.95,70.95,70.95,75.95,4,True,True,True,True,False,True,True,True,False,0.0195749999999996,1.73767,5.53378,0.373201,3.26267,0.648774,3.88818e-09,0.8,49.1725,4.315949575,0.178925179375,0.10376515225,0.0621691795,0.0025,,none,,2.6424323675,8.0,1.250179,5.829400000005303,none,0.0,False,75.8,1.222603,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,67.74,3.210000000000008,middle_section,design_regular_road,ay;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,False,True,False,38.27135266666667
V03_byx_2025_09_28_17_35_43_0006,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,39016149,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,117174,585.865,0.0,585.865,200.0000000001819,21,0,6,194.335,196.655,195.325,2.319999999999993,8.13262406985185,5.18840018411914,extreme,横滚/姿态,True,192.335,194.335,194.335,199.335,4,True,True,True,True,False,False,True,True,False,0.0,,6.2909,0.46838,2.69699,0.557004,,,,4.28392195,0.17726536,0.1266131655,0.08189279375,0.0025,193.475,before_condition,-0.8600000000000136,4.524363889,8.0,-2.355667,8.883700000008076,weak,1.6311250854591086,False,199.315,-2.445557,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,194.205,0.1299999999999954,curve1,design_curve_context,roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,33.03754666666667
V03_hzh_2025_09_27_19_22_27_0001,extreme_condition_episodes_v0_3_all_raw,hzh,2025_09_27_19_22_27,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv,hzh/Entity_Recording_2025_09_27_19_22_27_vehicle.csv,39700423,a4c313d8f9707d2fd12bcc4421c179cdba5fc8d2e0656371f297b76fe104c6d3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|lanecurvatureXY|zx|x|zx|y,,230782,576.952,0.0,576.952,499.9999999834017,25,0,1,74.017,77.315,75.415,3.298000000000002,9.123019187630032,5.568486340933494,extreme,低附着,True,72.017,74.017,74.017,79.017,4,True,True,True,True,False,True,True,True,False,0.0187749999999999,1.737535,7.13655,0.27678,2.58717,0.67012,3.13419e-09,0.8,51.3202,3.27699496,0.1290525675000001,0.057091581,0.045832866,0.0025,75.007,after_condition,0.9900000000000092,1.797859,8.0,1.759644,9.634199999981371,weak,2.183019161803464,False,76.735,1.665913,True,True,countersteer,episode_candidates_v0_6.csv,73.95,0.066999999999993,middle_section,design_regular_road,roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,32.747460000000004
V03_txj_2025_09_27_08_53_44_0022,extreme_condition_episodes_v0_3_all_raw,txj,2025_09_27_08_53_44,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_53_44_vehicle.csv,txj/Entity_Recording_2025_09_27_08_53_44_vehicle.csv,46172632,45dd2a65495e9fa1bc4319913c4d3559c3fa9fccb8be5b136ce4ceb8ce397910,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|lanecurvatureXY|zx|x|zx|y,,271217,678.045,0.0,678.045,333.3333333412156,35,0,22,454.797,466.687,456.037,11.889999999999986,9.42016740847879,4.598742349121317,extreme,低附着,True,452.797,454.797,454.797,459.797,4,True,True,True,True,False,True,True,True,False,0.0168395,1.733305,7.89796,0.693536,2.65819,0.283769,1.90066e-09,0.8,21.3487,4.695708207407407,0.2304459666666666,0.1407928562962963,0.0874637202222222,0.0025,457.005,after_condition,2.20799999999997,1.08987,8.0,1.08987,0.0179999999999566,weak,1.0022499999999943,False,457.605,1.26572,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,453.99,0.8070000000000164,middle_section,design_regular_road,roll_rate;roll_rate;roll_rate;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,False,True,False,30.74596783333333
V03_byx_2025_09_28_17_25_18_0023,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,23,581.28,585.39,582.77,4.110000000000014,10.05811012152728,7.085997125007266,extreme,弯道/曲率,False,579.28,581.28,581.28,586.28,4,True,True,True,True,True,False,True,True,True,0.0091849999999999,0.0094900000000004,12.4481,0.489195,1.71853,0.865987,0.0182434,1.0,96.045,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,581.169,near_sync,-0.11099999999999,3.102146,8.0,-3.214896,15.428000000014029,medium,2.964845807065638,False,582.335,-3.119601,True,False,return,all_raw_vehicle_instability_candidates_v0_1.csv,554.14,27.139999999999983,differentmu_road,design_high_risk_surface,roll_rate;ay;roll_rate;roll_rate;roll_rate;roll_rate;ay;roll_rate;ay;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,30.081515833333334
V03_byx_2025_09_28_17_35_43_0020,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,39016149,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,117174,585.865,0.0,585.865,200.0000000001819,21,0,20,578.8,584.54,582.395,5.740000000000009,9.301859735059978,6.325816501635611,extreme,横滚/姿态,True,576.8,578.8,578.8,583.8,4,True,True,True,True,False,False,True,True,False,0.0,,14.1615,0.420187,1.55887,0.722319,,,,4.28392195,0.17726536,0.1266131655,0.08189279375,0.0025,579.25,after_condition,0.4500000000000455,3.426608,8.0,-3.466748,9.984000000009074,medium,2.2597142083377757,False,581.19,-3.505491,True,True,countersteer,all_raw_vehicle_instability_candidates_v0_1.csv,568.39,10.409999999999968,differentmu_road,design_high_risk_surface,ay;roll_rate;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,26.952805833333333
V03_lxy_2025_09_28_17_55_52_0014,extreme_condition_episodes_v0_3_all_raw,lxy,2025_09_28_17_55_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv,lxy/Entity_Recording_2025_09_28_17_55_52_vehicle.csv,39582240,d90ab0cfa5c21e51e410d89a6ace5d3c1ffc2848207d57886468a273fc1d3f01,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,237282,593.205,0.0,593.205,250.0000000059117,32,0,14,274.04,275.42,274.879,1.3799999999999957,10.51286907538105,6.158267472273981,extreme,低附着,True,272.04,274.04,274.04,279.04,4,True,True,True,True,False,True,True,True,False,0.039225,1.734685,5.58723,0.604487,1.9446,0.47582,2.21358e-08,0.8,52.1814,4.6317658900000005,0.195955688,0.122677128,0.0710596248,0.0025,276.304,after_condition,2.263999999999953,1.1796666,8.0,1.3332566,10.018000000009147,medium,2.382447803346597,False,276.505,1.211607,True,False,return,episode_candidates_v0_6.csv,273.935,0.1050000000000181,middle_section,design_regular_road,roll_rate;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,26.292631
V03_tyy_2025_09_28_14_57_17_0008,extreme_condition_episodes_v0_3_all_raw,tyy,2025_09_28_14_57_17,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_57_17_vehicle.csv,tyy/Entity_Recording_2025_09_28_14_57_17_vehicle.csv,30004485,dd1127e5cf3742fe46c2d55e839261b79b041c5e7825193aec04e11d57df8d54,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,89334,446.665,0.0,446.665,200.0000000001819,10,0,8,402.99,411.715,408.795,8.724999999999966,11.0,7.776470301758763,extreme,横滚/姿态,True,400.99,402.99,402.99,407.99,4,True,True,True,True,False,False,False,False,False,0.0,,6.40779,0.415212,1.92851,0.533484,,,,2.982869025,0.14739085,0.06685076225,0.04413299725,0.0025,402.885,near_sync,-0.1050000000000181,2.22747299,8.0,-2.145706,20.682100000018803,strong,3.548554090801842,False,403.485,-2.131219,True,True,countersteer,episode_candidates_v0_6.csv,402.875,0.1150000000000091,middle_section,design_regular_road,roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,0,True,True,True,False,False,26.097084666666664
