window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre2_label2_old_main,session_level_split,test,direction_gated_knn_template_no_subject,12,0.5036372595084005,0.4166666666666667,0.5833333333333334,0.2,0.4395358680437009,4.142547097750027,0.4166666666666667,0.23916667451461157,0.33374999766238034,0.11909189191646874,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.75,0.8982187919879175,A_instant2s_core
pre2_label2_old_main,session_level_split,test,formal_ridge_vehicle_context_no_subject,12,0.36344933246610334,0.5833333333333334,0.4166666666666667,0.4,0.3003080729395151,2.965939420638675,0.25,0.34666669617096585,0.4558333287325998,0.08207322319503874,0.25,0.25,0.0,0.5833333333333334,1.0,0.7343699035607092,A_instant2s_core
pre2_label2_old_main,session_level_split,test,history_trend_500ms,12,0.5985773565875961,0.5833333333333334,0.4166666666666667,1.0,0.36177157701846835,2.9250752440822816,0.08333333333333333,1.0054166689515114,0.33583333374311525,0.7045729325036518,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.0,1.0154332084587663,A_instant2s_core
pre2_label2_old_main,session_level_split,test,knn_template_context_no_subject,12,0.4281297770836915,0.6666666666666666,0.3333333333333333,0.6,0.392557209978501,3.7342012931329065,0.3333333333333333,0.43041666472951573,0.4137499933131039,0.09036176946635048,0.4166666666666667,0.08333333333333333,0.25,0.5833333333333334,0.75,0.529857558505908,A_instant2s_core
pre2_label2_old_main,session_level_split,test,peak_scaled_template_context_no_subject,12,0.5914832316195957,0.4166666666666667,0.5833333333333334,0.6,0.3697998871405919,3.5969051432312162,0.3333333333333333,0.32083332786957425,0.4391666641458869,0.15944578172639012,0.5,0.3333333333333333,0.0,0.5833333333333334,0.9166666666666666,1.16901120196636,A_instant2s_core
pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,12,0.33884643787334284,0.75,0.25,0.4,0.3459938205778599,1.6263644402062332,0.4166666666666667,0.3866666580239932,0.4920833346744378,0.07155482777549575,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.9166666666666666,0.4991626598729402,A_instant2s_core
pre2_label2_old_main,session_level_split,test,ridge_rich_context_no_subject,12,0.36379593267241417,0.5833333333333334,0.4166666666666667,0.6,0.3039349149912596,4.047446859137604,0.16666666666666666,0.3762499963243802,0.3816666663624346,0.08456232767396916,0.25,0.25,0.0,0.5833333333333334,1.0,0.6664202337441878,A_instant2s_core
pre2_label2_old_main,session_level_split,test,ridge_rich_history_no_subject,12,0.3638693582240986,0.5833333333333334,0.4166666666666667,0.6,0.3056033384054899,4.21621993493434,0.16666666666666666,0.4091666763027509,0.3212499935179949,0.08609746893246968,0.25,0.25,0.08333333333333333,0.5833333333333334,1.0,0.654612772503568,A_instant2s_core
pre2_label2_old_main,session_level_split,test,ridge_vehicle_history_no_subject,12,0.354122169297349,0.5833333333333334,0.4166666666666667,0.6,0.2756029684096575,3.024521056545737,0.16666666666666666,0.3454166625936826,0.4241666663438082,0.08403346338309348,0.25,0.3333333333333333,0.08333333333333333,0.5833333333333334,1.0,0.6829978395618115,A_instant2s_core
pre2_label2_old_main,session_level_split,test,train_mean_all,12,0.34536402990040527,0.4166666666666667,0.5833333333333334,0.0,0.39098750799894333,0.6403705877484186,0.6666666666666666,0.37958333641290665,0.9295833340535561,0.09862511791288853,0.3333333333333333,0.3333333333333333,0.0,0.5833333333333334,1.0,0.7047858115771443,A_instant2s_core
