window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,source_artifact,comparison_source,model_order,display_name,source_group,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,multi_segment_rate_abs_gap
pre2_label2_old_main,session_level_split,test,direction_gated_knn_template_no_subject,12,0.5036372595084005,0.4166666666666667,0.5833333333333334,0.2,0.4395358680437009,4.142547097750027,0.4166666666666667,0.2391666745146115,0.3337499976623803,0.1190918919164687,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.75,0.8982187919879175,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,formal_ridge_vehicle_context_no_subject,12,0.3634493324661033,0.5833333333333334,0.4166666666666667,0.4,0.3003080729395151,2.965939420638675,0.25,0.3466666961709658,0.4558333287325998,0.0820732231950387,0.25,0.25,0.0,0.5833333333333334,1.0,0.7343699035607092,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,history_trend_500ms,12,0.5985773565875961,0.5833333333333334,0.4166666666666667,1.0,0.3617715770184683,2.9250752440822816,0.0833333333333333,1.0054166689515114,0.3358333337431152,0.7045729325036518,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.0,1.0154332084587665,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,knn_template_context_no_subject,12,0.4281297770836915,0.6666666666666666,0.3333333333333333,0.6,0.392557209978501,3.7342012931329065,0.3333333333333333,0.4304166647295157,0.4137499933131039,0.0903617694663504,0.4166666666666667,0.0833333333333333,0.25,0.5833333333333334,0.75,0.529857558505908,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,peak_scaled_template_context_no_subject,12,0.5914832316195957,0.4166666666666667,0.5833333333333334,0.6,0.3697998871405919,3.596905143231216,0.3333333333333333,0.3208333278695742,0.4391666641458869,0.1594457817263901,0.5,0.3333333333333333,0.0,0.5833333333333334,0.9166666666666666,1.16901120196636,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,12,0.3388464378733428,0.75,0.25,0.4,0.3459938205778599,1.6263644402062332,0.4166666666666667,0.3866666580239932,0.4920833346744378,0.0715548277754957,0.1666666666666666,0.3333333333333333,0.0833333333333333,0.5833333333333334,0.9166666666666666,0.4991626598729402,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,ridge_rich_context_no_subject,12,0.3637959326724141,0.5833333333333334,0.4166666666666667,0.6,0.3039349149912596,4.047446859137604,0.1666666666666666,0.3762499963243802,0.3816666663624346,0.0845623276739691,0.25,0.25,0.0,0.5833333333333334,1.0,0.6664202337441878,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,ridge_rich_history_no_subject,12,0.3638693582240986,0.5833333333333334,0.4166666666666667,0.6,0.3056033384054899,4.21621993493434,0.1666666666666666,0.4091666763027509,0.3212499935179949,0.0860974689324696,0.25,0.25,0.0833333333333333,0.5833333333333334,1.0,0.654612772503568,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,ridge_vehicle_history_no_subject,12,0.354122169297349,0.5833333333333334,0.4166666666666667,0.6,0.2756029684096575,3.024521056545737,0.1666666666666666,0.3454166625936826,0.4241666663438082,0.0840334633830934,0.25,0.3333333333333333,0.0833333333333333,0.5833333333333334,1.0,0.6829978395618115,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
pre2_label2_old_main,session_level_split,test,train_mean_all,12,0.3453640299004052,0.4166666666666667,0.5833333333333334,0.0,0.3909875079989433,0.6403705877484186,0.6666666666666666,0.3795833364129066,0.929583334053556,0.0986251179128885,0.3333333333333333,0.3333333333333333,0.0,0.5833333333333334,1.0,0.7047858115771443,A_instant2s_core,clean_task_vehicle_baselines_v0_1,,,,,,,,,
