robustness_config_id,window_config_id,split_strategy,val_selected_model,val_selected_test_rmse,rbf_test_rmse,knn_test_rmse,knn_train_rmse,knn_memory_risk,interpretation_cn
random_main,pre2_label2_old_main,random_event_split,rbf_kernel_ridge_context_no_subject,0.6130488215036832,0.6130488215036832,0.6149982982439469,7.092576406286126e-07,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
session_pre1,pre1_label2_event_trigger,session_level_split,peak_scaled_template_context_no_subject,0.5393722582099637,0.5201037741555928,0.5254287314973548,3.270470037579181e-06,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
session_pre3,pre3_label3_response_coverage,session_level_split,direction_gated_knn_template_no_subject,0.6584315076992828,0.6077056478148962,0.5902073802492165,2.076046974225006e-06,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
subject_main,pre2_label2_old_main,subject_level_split,rbf_kernel_ridge_context_no_subject,0.6097916981485598,0.6097916981485598,0.5979357894118985,1.1863582138176063e-06,True,KNN 训练集近零误差，仍按模板记忆风险处理；val 选择候选相对 formal 有提升。
