window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,policy_name,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,test,always_rbf_reference,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,always_rbf_reference,0.5336666894389569,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,train,always_rbf_reference,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124188,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core,always_rbf_reference,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,val,always_rbf_reference,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390645,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,always_rbf_reference,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,topk_top1_non_oracle,40,0.5878650132191942,0.9,0.1,0.75,0.5538428585976363,1.2661693704292294,0.25,0.4583749994635582,0.5153750029858202,0.32471419260837137,0.2,0.15,0.275,0.95,0.6,0.71709414927741,B_response3s_strict_core,topk_top1_non_oracle,0.5336666894389569,0.225,0.75,0.6789069643375906,0.054198323780237256,-0.125,0.0,0.03818718493981943
pre3_label3_response_coverage,session_level_split,train,topk_top1_non_oracle,188,0.45143211957618967,0.8936170212765957,0.10638297872340426,0.723404255319149,0.36987009458243847,1.2583734807034734,0.14893617021276595,0.4654255321526781,0.4098936169249739,0.3100961141496961,0.22340425531914893,0.13297872340425532,0.22340425531914893,0.925531914893617,0.6702127659574468,0.6973613610061374,B_response3s_strict_core,topk_top1_non_oracle,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.121321159724394,0.047872340425531915,-0.1914893617021276,0.17666926223011648
pre3_label3_response_coverage,session_level_split,val,topk_top1_non_oracle,42,0.6320666952383984,0.8809523809523809,0.11904761904761904,0.3,0.537378575475443,2.2336217441117983,0.2619047619047619,0.5130952390886488,0.6308333339347016,0.340648207281317,0.2857142857142857,0.09523809523809523,0.21428571428571427,0.9285714285714286,0.5238095238095238,0.9924749185550681,B_response3s_strict_core,topk_top1_non_oracle,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.060584470457890616,0.0,-0.2,0.08154237485764293
pre3_label3_response_coverage,session_level_split,test,broad_oracle_upper_bound,40,0.4109565280258476,0.925,0.075,0.875,0.33393157348036767,1.0829349813495692,0.1,0.35075000673532486,0.4143749978393316,0.2547786533774342,0.1,0.125,0.175,0.95,0.675,0.6043694225919283,B_response3s_strict_core,broad_oracle_upper_bound,0.5336666894389569,0.225,0.75,0.6789069643375906,-0.12271016141310931,-0.15000000000000002,0.125,-0.0745375417456623
pre3_label3_response_coverage,session_level_split,train,broad_oracle_upper_bound,188,0.2831545695564473,0.9308510638297872,0.06914893617021277,0.9574468085106383,0.26517569178596456,0.937508342905736,0.026595744680851064,0.3229787180873942,0.23449468006320456,0.1909498472773424,0.09574468085106383,0.10638297872340426,0.15425531914893617,0.925531914893617,0.7872340425531915,0.4570204305852572,B_response3s_strict_core,broad_oracle_upper_bound,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,-0.04695639029534837,0.010638297872340427,0.042553191489361764,-0.06367166819076375
pre3_label3_response_coverage,session_level_split,val,broad_oracle_upper_bound,42,0.44228531670394744,0.8809523809523809,0.11904761904761904,0.7,0.41795122734992546,2.062412339592991,0.16666666666666666,0.4488095279250826,0.4313095199565093,0.21205959886659687,0.07142857142857142,0.16666666666666666,0.09523809523809523,0.9285714285714286,0.5714285714285714,0.736068166116491,B_response3s_strict_core,broad_oracle_upper_bound,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,-0.12919690807656037,0.0,0.19999999999999996,-0.1748643775809342
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2,40,0.5628856467194151,0.875,0.125,0.625,0.4585095249116421,1.371675368047898,0.175,0.41124999672174456,0.48025000190827993,0.29529504078673197,0.125,0.2,0.2,0.95,0.55,0.6542928064365091,B_response3s_strict_core,logreg_balanced_c0_2,0.5336666894389569,0.225,0.75,0.6789069643375906,0.029218957280458202,-0.1,-0.125,-0.024614157901081457
