policy_name,split,n_samples,oracle_match_rate,rbf_selected_rate,keypoint_selected_rate,branch_selected_rate,unique_selected_models
always_rbf_reference,test,40,0.3,1.0,0.0,0.0,1
always_rbf_reference,train,188,0.6063829787234043,1.0,0.0,0.0,1
always_rbf_reference,val,42,0.35714285714285715,1.0,0.0,0.0,1
broad_oracle_upper_bound,test,40,1.0,0.3,0.125,0.575,5
broad_oracle_upper_bound,train,188,1.0,0.6063829787234043,0.031914893617021274,0.3617021276595745,5
broad_oracle_upper_bound,val,42,1.0,0.35714285714285715,0.14285714285714285,0.5,5
logreg_balanced_c0_2,test,40,0.225,0.225,0.2,0.575,5
logreg_balanced_c0_2,train,188,0.5425531914893617,0.2872340425531915,0.10638297872340426,0.6063829787234043,5
logreg_balanced_c0_2,val,42,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.6428571428571429,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,test,40,0.225,0.375,0.15,0.475,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,train,188,0.5957446808510638,0.46808510638297873,0.0797872340425532,0.4521276595744681,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,val,42,0.2619047619047619,0.5476190476190477,0.09523809523809523,0.35714285714285715,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,test,40,0.2,0.725,0.1,0.175,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,train,188,0.6223404255319149,0.7340425531914894,0.0425531914893617,0.22340425531914893,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.45,val,42,0.30952380952380953,0.8333333333333334,0.023809523809523808,0.14285714285714285,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,test,40,0.225,0.875,0.025,0.1,3
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,train,188,0.6117021276595744,0.8617021276595744,0.026595744680851064,0.11170212765957446,5
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,val,42,0.30952380952380953,0.9047619047619048,0.023809523809523808,0.07142857142857142,4
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,test,40,0.25,0.9,0.0,0.1,2
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,train,188,0.6223404255319149,0.9414893617021277,0.015957446808510637,0.0425531914893617,4
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,val,42,0.3333333333333333,0.9761904761904762,0.0,0.023809523809523808,2
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,test,40,0.225,0.925,0.0,0.075,2
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,train,188,0.6117021276595744,0.9840425531914894,0.005319148936170213,0.010638297872340425,3
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,val,42,0.3333333333333333,0.9761904761904762,0.0,0.023809523809523808,2
