split,confidence_bin,n_samples,mean_top1_prob,top1_matches_best_rate,mean_top1_rmse,mean_bestk_rmse,mean_oracle_gap
test,0.344-0.375,13,0.3635154366493225,0.38461538461538464,0.5136229212467487,0.43911849764677197,0.07450442359997676
test,0.375-0.385,13,0.38026872277259827,0.38461538461538464,0.5443946283597213,0.40195972873614383,0.14243489962357742
test,0.385-0.447,14,0.40413323044776917,0.14285714285714285,0.5734825932553836,0.45912251089300427,0.11436008236237935
train,0.336-0.374,62,0.3602679967880249,0.27419354838709675,0.43939488513335107,0.30978412091011004,0.12961076422324103
train,0.374-0.387,62,0.3813435137271881,0.5,0.3613429581446032,0.28747423209490314,0.07386872604970009
train,0.387-0.463,64,0.4059194326400757,0.5625,0.36270767473615706,0.29527078464161605,0.06743689009454101
val,0.338-0.370,14,0.35436829924583435,0.6428571428571429,0.5218789322035653,0.47598776540585924,0.04589116679770606
val,0.370-0.383,14,0.3770081698894501,0.5714285714285714,0.4897683188319206,0.39792956731149126,0.09183875152042933
val,0.383-0.587,14,0.4118167459964752,0.35714285714285715,0.5947954654693604,0.4434852993914059,0.15131016607795442
