sample_id,event_uid,subject,session_stamp,split,top1_branch,best_branch_oracle,top1_matches_best,top1_prob,prob_margin,branch_spread_mean,branch_spread_peak,rmse_branch0,rmse_branch1,rmse_branch2,rmse_bestk,rmse_top1_branch
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,0,2,0,0.34701928,0.018483877,0.24585636,0.42480898,0.6225227,0.8765181,0.45513037,0.45513037,0.6225227
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,0,0,1,0.38837993,0.032203823,0.22878353,0.4078026,0.2659793,0.32922202,0.49145967,0.2659793,0.2659793
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,2,2,1,0.40466776,0.060604364,0.2484105,0.4048771,0.5585037,0.8623071,0.32821763,0.32821763,0.32821763
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,2,1,0,0.37562755,0.003869325,0.24971178,0.43020067,0.7405899,0.6418457,0.9250205,0.6418457,0.9250205
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,0,0,1,0.44044864,0.10880056,0.24503772,0.4154991,0.36454123,0.41840586,0.57344013,0.36454123,0.36454123
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,2,2,1,0.4078055,0.05940199,0.22237752,0.40211728,0.2633977,0.49197513,0.21464941,0.21464941,0.21464941
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,0,0,1,0.36952415,0.03802389,0.12168916,0.24886583,0.09384407,0.17355987,0.20568475,0.09384407,0.09384407
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,0,2,0,0.4079444,0.04654914,0.2849716,0.52453345,0.48493528,0.86689144,0.20404649,0.20404649,0.48493528
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,1,1,1,0.44567648,0.10042417,0.13249905,0.25498998,0.13857734,0.049953125,0.3732792,0.049953125,0.049953125
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,0,2,0,0.383185,0.0301795,0.16982767,0.34083068,0.616347,0.83242404,0.45174557,0.45174557,0.616347
