sample_id,event_uid,subject,session_stamp,split,road_design_module_name,event_level,road_design_risk_class,gt_peak_abs,is_large_response,is_difficult_peak_top20,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,candidate_model,selector_prob_keypoint,selected_threshold_from_val,selected_model
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,middle_section,extreme_active,design_regular_road,1.944647192955017,1,1,0,0.290416568517685,rf_engineered_shallow,0.31176672247296366,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,middle_section,strong_active,design_regular_road,0.9477140307426452,0,0,0,0.0140996873378753,rf_engineered_shallow,0.549905491306502,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,curve2,extreme_active,design_curve_context,1.3292438983917236,0,0,0,0.3108441084623337,rf_engineered_shallow,0.19541261519471353,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,middle_section,extreme_active,design_regular_road,2.1975419521331787,1,1,0,0.1714264154434204,rf_engineered_shallow,0.3738570706391692,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,curve1,strong_active,design_curve_context,1.7027480602264404,1,0,0,0.5433678179979325,rf_engineered_shallow,0.21002294361792564,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,fix_road,strong_active,design_special_event_segment,0.9564404487609864,0,0,0,0.0612989068031311,rf_engineered_shallow,0.4736663627381721,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,middle_section,instability_extreme,design_regular_road,0.102970004081726,0,0,0,0.0950863054022193,rf_engineered_shallow,0.1233931594643585,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,curve1,strong_active,design_curve_context,1.3950433731079102,0,0,0,0.7730878442525864,rf_engineered_shallow,0.21472994838591353,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,fix_road,instability_extreme,design_special_event_segment,0.0362999439239501,0,0,0,0.1848674411885441,rf_engineered_shallow,0.1283695905205319,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,middle_section,strong_active,design_regular_road,1.3728759288787842,0,0,0,0.3700561225414276,rf_engineered_shallow,0.47695494907836355,0.35,keypoint_residual_vehicle_transformer_no_subject
