sample_id,event_uid,subject,session_stamp,split,road_design_module_name,event_level,road_design_risk_class,gt_peak_abs,is_large_response,is_difficult_peak_top20,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,candidate_model,selector_prob_keypoint,selected_threshold_from_val,selected_model
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,train,differentmu_road,weak,design_high_risk_surface,0.110131174325943,0,0,0,0.0376047305762767,logreg_original_balanced,0.03440990814442441,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,train,middle_section,medium_active,design_regular_road,0.6611310243606567,0,0,0,0.0489151179790496,logreg_original_balanced,0.15774952246588247,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,train,middle_section,strong_active,design_regular_road,0.6585130095481873,0,0,0,0.112093299627304,logreg_original_balanced,0.5893779805980823,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,train,fix_road,strong_active,design_special_event_segment,1.488070011138916,0,0,0,0.0985371768474578,logreg_original_balanced,0.5148843212084623,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,middle_section,strong_active,design_regular_road,1.523326754570007,0,0,0,0.1573789417743683,logreg_original_balanced,0.6126501562826048,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,fix_road,strong_active,design_special_event_segment,1.6385160684585571,1,0,0,0.1921759247779846,logreg_original_balanced,0.6218323417530958,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,train,middle_section,strong_active,design_regular_road,1.178966999053955,0,0,0,0.1741422116756439,logreg_original_balanced,0.6067353531203616,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,train,differentmu_road,instability_medium,design_high_risk_surface,0.1926840245723724,0,0,0,0.0930826775729656,logreg_original_balanced,0.02298626685966191,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,train,fix_road,strong_active,design_special_event_segment,1.8683719635009768,1,1,0,0.2732186913490295,logreg_original_balanced,0.4980086595787954,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,train,middle_section,strong_active,design_regular_road,0.4361581206321716,0,0,0,0.4129576906561851,logreg_original_balanced,0.7350382324260419,0.55,keypoint_residual_vehicle_transformer_no_subject
