selection_outcome,n_samples,mean_selector_prob_keypoint,mean_keypoint_delta_vs_rbf
FN_missed_keypoint_gain,6,0.2320653701259365,-0.17437465985616044
FP_select_keypoint_hurts,13,0.43610149123360437,0.11594925706203164
TN_keep_rbf_correct,10,0.2588394053563656,0.15927443355321882
TP_select_keypoint_correct,11,0.422183141086279,-0.09462135352871631
