s,x,y,curvature,z
0.0,0.09997,8.4995,0.0001078762776271,-0.142634
5.717565480268826,5.814429836753532,8.31107549179449,0.0001607692853175,-0.142634
11.434768453217334,11.51069293140474,8.316276649786182,0.0002115642683953,-0.142634
17.15162490173594,17.206956026055945,8.321477807777876,0.0002073735770058,-0.142634
22.86815030885489,22.903219120707156,8.326678965769569,0.0002031797483165,-0.142634
28.58435966754868,28.59948221535836,8.331880123761263,0.000198982932855,-0.142634
34.30026749055637,34.295745310009565,8.337081281752955,0.0001947832760187,-0.142634
40.01588782021704,39.99200840466077,8.342282439744647,0.0001905809181674,-0.142634
45.731234238319566,45.68827149931198,8.34748359773634,0.0001863759947162,-0.142634
51.44631987596601,51.38453459396319,8.352684755728033,0.0001821686362301,-0.142634
57.16115742344797,57.0807976886144,8.357885913719727,0.0001779589685204,-0.142634
62.875759140135024,62.7770607832656,8.36308707171142,0.0001737471127404,-0.142634
68.59013686437486,68.47332387791681,8.368288229703111,0.0001695331854844,-0.142634
74.30430202340426,74.16958697256801,8.373489387694805,0.0001653172988867,-0.142634
80.01826564327042,79.86585006721923,8.378690545686498,0.0001610995607206,-0.142634
85.73203835876195,85.56211316187043,8.383891703678191,0.0001568800745004,-0.142634
91.4456304233492,91.25837625652164,8.389092861669884,0.0001526589395822,-0.142634
97.159051719133,96.95463935117284,8.394294019661576,0.0001484362512663,-0.142634
102.87231176680166,102.65090244582404,8.39949517765327,0.0001442121009016,-0.142634
108.58541973559564,108.34716554047526,8.404696335644962,0.0001399865759881,-0.142634
114.29838445327928,114.04342863512646,8.409897493636654,0.000135759760282,-0.142634
120.01121441611916,119.73969172977768,8.415098651628348,0.0001315317339012,-0.142634
125.72391779886904,125.43595482442888,8.42029980962004,0.0001273025734307,-0.142634
131.43650246476025,131.1322179190801,8.425500967611734,0.0001230723520289,-0.142634
137.14897597549808,136.8284810137313,8.430702125603426,0.0001188411395344,-0.142634
142.86134560126268,142.5247441083825,8.435903283595119,0.0001146090025736,-0.142634
148.57361833071533,148.2210072030337,8.441104441586813,0.0001103760046671,-0.142634
154.2858008810086,153.91727029768492,8.446305599578505,0.0001061422063394,-0.142634
159.99789970780105,159.6135333923361,8.451506757570199,0.0001019076652273,-0.142634
165.70992101527546,165.30979648698732,8.456707915561891,9.767243618659673e-05,-0.142634
171.42187076616057,171.00605958163854,8.461909073553583,9.343657140286268e-05,-0.142634
177.13375469175642,176.70232267628975,8.467110231545277,8.920012050106116e-05,-0.142634
182.84557830196223,182.3985857709409,8.47231138953697,8.496313065501627e-05,-0.142634
188.5573468953073,188.09484886559216,8.477512547528663,8.072564669553248e-05,-0.142634
194.26906556898467,193.79111196024337,8.482713705520355,7.648771122276646e-05,-0.142634
199.98073922888616,199.48737505489456,8.487914863512048,7.224936471616377e-05,-0.142634
205.6923725996409,205.18363814954577,8.493116021503742,6.801064564348862e-05,-0.142634
211.4039702346549,210.879901244197,8.498317179495434,6.377159057242005e-05,-0.142634
217.1155365261521,216.5761643388482,8.503518337487128,5.9532234284430417e-05,-0.142634
222.827075715218,222.2724274334994,8.50871949547882,0.0001063231475944,-0.142634
228.53859190181169,227.9686905281506,8.513920653470512,0.0001580710955069,-0.142634
234.2512860064215,233.66495362280185,8.519121811462206,9.132972447878272e-05,-0.142634
239.9638030532305,239.361216717453,8.524322969453898,-7.074256567635655e-06,-0.142634
245.67639263102336,245.05747981210425,8.52952412744559,-4.48022244494509e-05,-0.142634
251.3893205952733,250.75374290675543,8.534725285437284,-5.8008654537115965e-05,-0.142634
257.102018657253,256.4500060014066,8.539926443428977,-6.074541367593399e-05,-0.142634
262.8151385618015,262.14626909605784,8.54512760142067,-6.332372541607805e-05,-0.142634
268.5280612097096,267.84253219070905,8.550328759412363,-5.5725740211333646e-05,-0.142634
274.24093397189574,273.53879528536027,8.555529917404055,-2.2364849435943084e-05,-0.142634
279.9533807997133,279.2350583800114,8.560731075395749,1.3032319704529725e-06,-0.142634
285.6658826444586,284.9313214746627,8.565932233387441,-4.736881187115227e-06,-0.142634
291.3775354492772,290.62758456931385,8.571133391379135,-2.6197473766067854e-05,-0.142634
297.0888347250569,296.32384766396507,8.576334549370827,-3.251608730796714e-05,-0.142634
302.8003904298719,302.0201107586163,8.58153570736252,-1.5059203747788822e-05,-0.142634
308.5124106469859,307.7163738532675,8.586736865354213,-1.2555220539677789e-05,-0.142634
314.2236589200538,313.41263694791866,8.591938023345906,-1.8671270089991284e-05,-0.142634
319.9340056495903,319.1089000425699,8.5971391813376,4.681973830255429e-06,-0.142634
325.6428251502974,324.8051631372211,8.602340339329292,3.737269939286689e-05,-0.142634
331.35058554168137,330.5014262318723,8.607541497320984,4.150307340368396e-05,-0.142634
337.0589417388569,336.1976893265235,8.612742655312678,3.619260166835429e-05,-0.142634
342.7675402420733,341.8939524211748,8.61794381330437,3.749920443080636e-05,-0.142634
348.4758159226351,347.59021551582595,8.623144971296064,2.799321271512026e-05,-0.142634
354.18398851894403,353.2864786104772,8.628346129287756,2.6530009068885767e-05,-0.142634
359.8923209360664,358.9827417051283,8.633547287279448,4.741822607530247e-05,-0.142634
365.6008706618329,364.6790047997796,8.638748445271142,5.630466387141292e-05,-0.142634
371.3094910477108,370.3752678944308,8.643949603262834,4.369603764393196e-05,-0.142634
377.0182103020792,376.071530989082,8.649150761254528,3.065815753810272e-05,-0.142634
382.7271584464485,381.7677940837332,8.65435191924622,1.912199271290781e-05,-0.142634
388.4365575955048,387.4640571783844,8.659553077237913,1.04064629734551e-05,-0.142634
394.1467612658666,393.1603202730356,8.664754235229607,9.801960770914e-06,-0.142634
399.8571870047471,398.8565833676868,8.669955393221299,9.303922777369056e-06,-0.142634
405.5676235847576,404.552846462338,8.675156551212993,-2.880149381127025e-06,-0.142634
411.27802025777737,410.24910955698925,8.680357709204685,-2.4817252959159424e-05,-0.142634
416.98746746607145,415.9453726516404,8.685558867196377,-2.987187645660599e-05,-0.142634
422.695874321643,421.6416357462916,8.690760025188071,-1.1258791206822334e-05,-0.142634
428.40493399149966,427.3378988409429,8.695961183179763,3.670286579831977e-06,-0.142634
434.1138146683355,433.03416193559406,8.701162341171456,6.181246181676667e-07,-0.142634
439.8221201453544,438.7304250302452,8.70636349916315,-1.6782192944957466e-05,-0.142634
445.5307658533306,444.4266881248965,8.711564657154842,-2.421168724484576e-05,-0.142634
451.2405459467223,450.1229512195477,8.716765815146536,-3.2429201796533647e-06,-0.142634
456.9508748070675,455.81921431419886,8.721966973138228,3.6203935337754696e-05,-0.142634
462.6640761089487,461.5154774088501,8.72716813112992,7.119632397090779e-05,-0.142634
468.3794218855358,467.2117405035013,8.732369289121614,7.053043977594601e-05,-0.142634
474.0949967807214,472.9080035981525,8.737570447113306,4.543443846971632e-05,-0.142634
479.8103224554375,478.6042666928037,8.742771605105,3.438496735108612e-05,-0.142634
485.5253686150477,484.3005297874549,8.747972763096692,4.002926612458918e-05,-0.142634
491.239882046722,489.99679288210615,8.753173921088385,4.065719399313301e-05,-0.142634
496.9532866542917,495.6930559767573,8.758375079080079,2.367558076791228e-05,-0.142634
502.6658394361639,501.3893190714085,8.76357623707177,1.1576776443522469e-05,-0.142634
508.3777685197289,507.0855821660597,8.768777395063465,1.201364092172395e-05,-0.142634
514.088661765706,512.781845260711,8.773978553055157,1.403115947749138e-06,-0.142634
519.7991202452198,518.4781083553622,8.779179711046849,-5.619235692399408e-06,-0.142634
525.5091680231376,524.1743714500134,8.784380869038543,-3.1480900636669525e-06,-0.142634
531.2183419328866,529.8706345446647,8.789582027030235,-1.7214407412525172e-05,-0.142634
536.9270454031425,535.5668976393159,8.79478318502193,-3.415391510970802e-05,-0.142634
542.6357032951662,541.2631607339671,8.799984343013621,-3.144741382296606e-05,-0.142634
548.343980963975,546.9594238286182,8.805185501005313,-2.2545086097653667e-05,-0.142634
554.0518224376561,552.6556869232694,8.810386658997007,-2.034864512813252e-05,-0.142634
559.7594556008954,558.3519500179207,8.8155878169887,-2.209279699511828e-05,-0.142634
565.4670814027128,564.048213112572,8.820788974980394,-1.900564816105392e-05,-0.142634
571.1751641397047,569.7444762072231,8.825990132972086,6.220424930401501e-06,-0.142634
576.8833215715445,575.4407393018743,8.831191290963778,4.226412076240721e-05,-0.142634
582.591669062378,581.1370023965255,8.836392448955472,3.687322397763255e-05,-0.142634
588.2999409686538,586.8332654911767,8.841593606947164,-1.2037305316403702e-05,-0.142634
594.0098134957713,592.529528585828,8.846794764938856,-4.511313349842167e-05,-0.142634
599.720218506054,598.2257916804791,8.85199592293055,-4.682610749534043e-05,-0.142634
605.4308086984514,603.9220547751304,8.857197080922242,-4.2516577366491006e-05,-0.142634
611.1407478121757,609.6183178697815,8.862398238913936,-4.3749725354943445e-05,-0.142634
616.8496477320347,615.3145809644327,8.867599396905629,-4.139728773238341e-05,-0.142634
622.5574298144841,621.0108440590839,8.87280055489732,-3.50678739102306e-05,-0.142634
628.2632605464429,626.7071071537353,8.878001712889015,-3.9353202953786814e-05,-0.142634
633.9683580313523,632.4033702483864,8.883202870880707,-4.287021469938256e-05,-0.142634
639.672821969746,638.0996333430376,8.8884040288724,-4.43480588918424e-05,-0.142634
645.3766847372561,643.7958964376887,8.893605186864093,-5.3538039961863945e-05,-0.142634
651.0807230134379,649.49215953234,8.898806344855785,-5.67434319803828e-05,-0.142634
656.7847455146443,655.1884226269912,8.90400750284748,-5.013797453272106e-05,-0.142634
662.4887720812,660.8846857216424,8.909208660839171,-4.0983917859052025e-05,-0.142634
668.1926842207746,666.5809488162936,8.914409818830865,-3.3196974540082285e-05,-0.142634
673.8964293869067,672.2772119109449,8.919610976822558,-2.719381551790368e-05,-0.142634
679.5992850696591,677.973475005596,8.92481213481425,-2.234501555660353e-05,-0.142634
685.3011044361633,683.6697381002472,8.930013292805944,-2.532002926956428e-05,-0.142634
691.001954154371,689.3660011948984,8.935214450797636,-3.092297949325498e-05,-0.142634
696.7022931040997,695.0622642895497,8.94041560878933,-2.68079031365427e-05,-0.142634
702.4027418811683,700.7585273842009,8.945616766781022,-2.3130918091929063e-05,-0.142634
708.103246420366,706.454790478852,8.950817924772714,-2.5847304776369908e-05,-0.142634
713.8039319178328,712.1510535735032,8.956019082764408,-2.820436600648714e-05,-0.142634
719.5043510934775,717.8473166681545,8.9612202407561,-3.0506125066686217e-05,-0.142634
725.2044935232884,723.5435797628057,8.966421398747794,-3.1037203165055107e-05,-0.142634
