model_name,split,rmse_steer,rmse_delta_vs_rbf,wrong_side_rate,large_response_recall,difficult_top20_rmse,difficult_rmse_delta_vs_rbf,peak_amp_mae,tail_abs_error_mean,policy_name,selected_model,selection_rule
segment_abs_rf_blend_25,train,0.3426814688149066,0.0125705089631109,0.0531914893617021,0.9361702127659576,0.5529087369268088,0.0322166381507877,0.2856495677285451,0.1032358412630856,stage7g_original_val_best,segment_abs_rf_blend_25,original Stage 7g validation RMSE gate
segment_abs_rf_blend_25,val,0.5611430375456088,-0.010339187234899,0.119047619047619,0.5,0.8880061653466,-0.0229263783508251,0.5038205237083492,0.2006145980263855,stage7g_original_val_best,segment_abs_rf_blend_25,original Stage 7g validation RMSE gate
segment_abs_rf_blend_25,test,0.5361756503958646,0.0025089609569075,0.225,0.75,0.6562837269029899,-0.0226232374346007,0.4202543500810861,0.1793915306683629,stage7g_original_val_best,segment_abs_rf_blend_25,original Stage 7g validation RMSE gate
segment_resid_rf_blend_25,train,0.3377359441246798,0.0076249842728841,0.0691489361702127,0.9574468085106383,0.5378660365664473,0.0171739377904263,0.2775931289379901,0.0961598674964873,stability_penalty_l05,segment_resid_rf_blend_25,score=val_delta+0.5*abs(train_delta-val_delta)
segment_resid_rf_blend_25,val,0.5647047177847895,-0.0067775069957183,0.0714285714285714,0.5,0.9039750658300448,-0.0069574778673804,0.4942828904659975,0.2065779709844805,stability_penalty_l05,segment_resid_rf_blend_25,score=val_delta+0.5*abs(train_delta-val_delta)
segment_resid_rf_blend_25,test,0.5280463307737681,-0.0056203586651889,0.225,0.75,0.6493190971901747,-0.0295878671474159,0.3905755802989006,0.1834656827850267,stability_penalty_l05,segment_resid_rf_blend_25,score=val_delta+0.5*abs(train_delta-val_delta)
segment_resid_rf_blend_25,train,0.3377359441246798,0.0076249842728841,0.0691489361702127,0.9574468085106383,0.5378660365664473,0.0171739377904263,0.2775931289379901,0.0961598674964873,stability_penalty_l10,segment_resid_rf_blend_25,score=val_delta+1.0*abs(train_delta-val_delta)
segment_resid_rf_blend_25,val,0.5647047177847895,-0.0067775069957183,0.0714285714285714,0.5,0.9039750658300448,-0.0069574778673804,0.4942828904659975,0.2065779709844805,stability_penalty_l10,segment_resid_rf_blend_25,score=val_delta+1.0*abs(train_delta-val_delta)
segment_resid_rf_blend_25,test,0.5280463307737681,-0.0056203586651889,0.225,0.75,0.6493190971901747,-0.0295878671474159,0.3905755802989006,0.1834656827850267,stability_penalty_l10,segment_resid_rf_blend_25,score=val_delta+1.0*abs(train_delta-val_delta)
segment_abs_rf_blend_50,train,0.3762383177893478,0.0461273579375521,0.0585106382978723,0.9361702127659576,0.6164112667063134,0.0957191679302924,0.2576874439515411,0.1040808715079812,val_plus_difficult,segment_abs_rf_blend_50,score=val_delta+0.35*difficult_delta; require val nonworse
segment_abs_rf_blend_50,val,0.5631786520998524,-0.0083035726806554,0.119047619047619,0.6,0.8779189278335082,-0.0330136158639169,0.5055105897287527,0.1980594052285942,val_plus_difficult,segment_abs_rf_blend_50,score=val_delta+0.35*difficult_delta; require val nonworse
segment_abs_rf_blend_50,test,0.5512033939335871,0.01753670449463,0.225,0.75,0.6436134614946941,-0.0352935028428964,0.4301857775077223,0.1798797936993651,val_plus_difficult,segment_abs_rf_blend_50,score=val_delta+0.35*difficult_delta; require val nonworse
segment_abs_rf_blend_50,train,0.3762383177893478,0.0461273579375521,0.0585106382978723,0.9361702127659576,0.6164112667063134,0.0957191679302924,0.2576874439515411,0.1040808715079812,val_plus_physical,segment_abs_rf_blend_50,"score combines val RMSE, wrong-side, large recall and difficult RMSE"
segment_abs_rf_blend_50,val,0.5631786520998524,-0.0083035726806554,0.119047619047619,0.6,0.8779189278335082,-0.0330136158639169,0.5055105897287527,0.1980594052285942,val_plus_physical,segment_abs_rf_blend_50,"score combines val RMSE, wrong-side, large recall and difficult RMSE"
segment_abs_rf_blend_50,test,0.5512033939335871,0.01753670449463,0.225,0.75,0.6436134614946941,-0.0352935028428964,0.4301857775077223,0.1798797936993651,val_plus_physical,segment_abs_rf_blend_50,"score combines val RMSE, wrong-side, large recall and difficult RMSE"
