sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rbf_sample_rmse,selected_sample_rmse,gain_over_rbf,selected_better_than_rbf
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470,yyl,2025_09_28_09_49_11,test,0.7447320222854614,0,0,0.2895223498344421,0.2912374138832092,-0.0017150640487670898,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555,gzj,2025_09_27_12_17_12,test,1.19834303855896,0,0,0.3693457245826721,0.372890830039978,-0.003545105457305908,False
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,2025_09_28_09_49_11,test,1.095893383026123,0,0,0.465895801782608,0.4701398015022278,-0.0042439997196198065,False
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,test,0.559203028678894,0,0,0.151004672050476,0.1565651893615722,-0.005560517311096219,False
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885,hzh,2025_09_27_19_44_05,test,1.791234016418457,1,1,0.2645749747753143,0.2713100612163543,-0.006735086441040039,False
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,test,1.1810654401779177,0,0,1.1559497117996216,1.1638977527618408,-0.007948040962219238,False
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255,hzh,2025_09_27_19_44_05,test,1.1740800142288208,0,0,0.2360097914934158,0.2490999400615692,-0.013090148568153409,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,gzj,2025_09_27_12_17_12,test,1.2020080089569092,0,0,0.4786141812801361,0.4917265176773071,-0.013112336397170965,False
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245,hzh,2025_09_27_19_44_05,test,1.2744419574737549,0,0,0.2790119349956512,0.2957934141159057,-0.016781479120254517,False
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450,zx,2025_09_27_18_00_08,test,1.124341607093811,0,0,0.4462907612323761,0.4696971476078033,-0.02340638637542719,False
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680,yyl,2025_09_28_09_49_11,test,1.7699379920959473,1,1,0.2068372964859008,0.231918454170227,-0.0250811576843262,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,test,1.5163418054580688,0,0,0.4370953738689422,0.4690267443656921,-0.03193137049674988,False
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260,hzh,2025_09_26_21_03_19,test,1.102524995803833,0,0,0.357629120349884,0.3911079168319702,-0.03347879648208624,False
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,test,1.3070790767669678,0,0,0.6575250029563904,0.6945536732673645,-0.03702867031097412,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240,gzj,2025_09_27_12_17_12,test,0.7986618280410767,0,0,0.2888490557670593,0.3413057327270508,-0.052456676959991455,False
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,test,1.6784822940826416,1,0,0.6606977581977844,0.7135882377624512,-0.05289047956466675,False
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390,hzh,2025_09_27_19_44_05,test,1.3761889934539795,0,0,0.4599531888961792,0.524952232837677,-0.0649990439414978,False
