exp_id,label_cn,group_cn,seed,status,run_root,test_steer_rmse,primary_rmse,tail_rmse,selection,tail_direction_match,peak_time_abs_err_s,best_epoch,style,teacher_state_mode,response_aux,distill_from,mechanism_hint_cn,physical_sample_count,large_response_count,direction_match_rate,mean_amp_ratio_pred_over_true,large_wrong_side_rate,large_severe_under_rate,large_response_recall,large_mean_amp_ratio
S1,车辆 + 心率,单信号,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S1_2026_20260520_144148,0.3758850363035473,0.2475411765677417,0.3273548421156186,0.8347099391349476,0.4832214765100671,0.6728187919463087,23,False,raw_hr_only,False,,压力、唤醒、负荷的慢变化线索,163,85,0.8711656441717791,1.618847512253882,0.0941176470588235,0.3176470588235294,0.6823529411764706,0.817780690781686
S2,车辆 + 皮电,单信号,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S2_2026_20260520_144148,0.3897515637604295,0.2510927162014398,0.333392580358574,0.8387343814752339,0.4026845637583892,0.68255033557047,30,False,raw_eda_only,False,,紧张、唤醒、认知负荷的慢变化线索,163,85,0.8588957055214724,1.232747228590443,0.1058823529411764,0.2823529411764706,0.7176470588235294,0.9258937873117248
S3,车辆 + 肌电,单信号,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S3_2026_20260520_144148,0.4218136724766608,0.2622653169544951,0.3603424942870968,0.8492154893068087,0.4161073825503356,0.6788590604026846,39,False,raw_emg_only,False,,动作准备、操纵意图、方向盘操作相关线索,163,85,0.8773006134969326,1.679574838812539,0.0823529411764705,0.2352941176470588,0.7647058823529411,0.9093161287532606
SF1,车辆 + 连续风格 + 心率,单信号+风格,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF1_2026_20260520_144844,0.3718782473066059,0.2767137568569023,0.3158395690780958,0.8243664618595185,0.4295302013422818,0.6785234899328859,26,True,raw_hr_only,False,,风格之外的唤醒/压力线索,163,85,0.8220858895705522,1.6994430687809374,0.1058823529411764,0.2588235294117647,0.7411764705882353,0.8453097096703558
SF2,车辆 + 连续风格 + 皮电,单信号+风格,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF2_2026_20260520_144844,0.3328643857708555,0.2343599853674637,0.2701374610367187,0.7832208051451595,0.4161073825503356,0.7026845637583892,26,True,raw_eda_only,False,,风格之外的慢变化紧张线索,163,85,0.8650306748466258,1.216413235659768,0.0705882352941176,0.3294117647058823,0.6705882352941176,0.7457085248696964
SF3,车辆 + 连续风格 + 肌电,单信号+风格,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF3_2026_20260520_144844,0.350463843340679,0.2540482991068755,0.3485841379647812,0.825009304199381,0.4429530201342282,0.6100671140939598,25,True,raw_emg_only,False,,风格之外的动作准备或操纵意图,163,85,0.852760736196319,1.9111431194755224,0.1058823529411764,0.388235294117647,0.611764705882353,0.7469190576960013
A1,车辆 + 连续风格 + 肌电 + 响应类型辅助,响应类型辅助,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_A1_2026_20260520_144844,0.3529931481948991,0.2342612750128211,0.2781167213723763,0.7872019323750169,0.4832214765100671,0.6406040268456377,40,True,raw_emg_only,True,,肌电帮助响应类型判断,163,85,0.8895705521472392,0.9343216465491434,0.0941176470588235,0.4,0.6,0.7788864518784522
A2,车辆 + 连续风格 + 非脑电生理 + 响应类型辅助,响应类型辅助,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_A2_2026_20260520_145847,0.3688993177248482,0.2527197219068872,0.3314141381419445,0.8022180168856982,0.4966442953020134,0.5536912751677853,32,True,raw_physio_no_eeg,True,,非脑电生理帮助状态/困难样本判断,163,85,0.8466257668711656,1.4150431421634595,0.0941176470588235,0.3764705882352941,0.6235294117647059,0.7660938272965048
B0,车辆-only 粗细双头,基准,2026,completed,F:\data_set_process\data_process\tmp\event_conditioned_runs\V05_SERVER_ALIGNED_SUBJECT_FAIR09_vehicle_only_seed2026_20260520_120144,0.3386161116556341,0.21838691970645982,0.31054963914665,0.8205527760285015,0.46308724832214765,0.6953020134228187,26,False,,False,,车辆历史和道路/事件上下文基准,163,85,0.901840490797546,1.5038843423277992,0.08235294117647059,0.27058823529411763,0.7294117647058823,0.8318684993699
B1,车辆 + 连续风格,基准,2026,completed,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_B1_2026_20260520_144148,0.3769457281470936,0.2471496822287472,0.2914969610525357,0.7764460691105322,0.4161073825503356,0.6630872483221477,29,True,,False,,个体长期驾驶差异,163,85,0.852760736196319,1.1817396729718437,0.1294117647058823,0.388235294117647,0.611764705882353,0.70969485439395
