signal,mode,status,kept_samples,dropped_by_old_loader,train_samples,val_samples,test_samples,context_dim_after_append,component_names,all_missing_names,min_component_valid_ratio_train,future_window_risk_note
HR,raw_hr_only,ok,1376,12,953,260,163,6,physio_raw_hr,,0.9181532004197271,使用旧流程按锚点前窗口构造的生理上下文；本轮作为输入窗口生理特征验证，不使用标签窗口统计。
EDA,raw_eda_only,ok,1376,12,953,260,163,7,physio_raw_eda_tonic|physio_raw_eda_phasic,,0.8677859391395593,使用旧流程按锚点前窗口构造的生理上下文；本轮作为输入窗口生理特征验证，不使用标签窗口统计。
EMG,raw_emg_only,ok,1376,12,953,260,163,6,physio_raw_emg_rms,,0.9181532004197271,使用旧流程按锚点前窗口构造的生理上下文；本轮作为输入窗口生理特征验证，不使用标签窗口统计。
EEG,raw_eeg_only,ok,1376,12,953,260,163,13,eeg_raw_alpha_asym|eeg_raw_occ_ta_beta|eeg_raw_frontal_ta_beta|eeg_raw_temporal_ta_beta|eeg_raw_occ_alpha_abs|eeg_raw_temporal_gamma_rel|eeg_raw_occ_gamma_rel|eeg_raw_frontal_gamma_rel,,0.7974816369359916,使用旧流程按锚点前窗口构造的生理上下文；本轮作为输入窗口生理特征验证，不使用标签窗口统计。
HR+EDA+EMG,raw_physio_no_eeg,ok,1376,12,953,260,163,9,physio_raw_hr|physio_raw_eda_tonic|physio_raw_eda_phasic|physio_raw_emg_rms,,0.8677859391395593,使用旧流程按锚点前窗口构造的生理上下文；本轮作为输入窗口生理特征验证，不使用标签窗口统计。
HR+EDA+EMG+EEG,raw_physio,ok,1376,12,953,260,163,17,physio_raw_hr|physio_raw_eda_tonic|physio_raw_eda_phasic|physio_raw_emg_rms|physio_raw_alpha_asym|physio_raw_occ_ta_beta|physio_raw_frontal_ta_beta|physio_raw_temporal_ta_beta|physio_raw_occ_alpha_abs|physio_raw_temporal_gamma_rel|physio_raw_occ_gamma_rel|physio_raw_frontal_gamma_rel,,0.7974816369359916,使用旧流程按锚点前窗口构造的生理上下文；本轮作为输入窗口生理特征验证，不使用标签窗口统计。
