event_level,n_samples,mean_rmse,wrong_side_rate,large_response_missed_rate,severe_amp_under_rate,multi_segment_missed_rate,multi_segment_overpred_rate,multi_segment_mismatch_rate,reversal_mismatch_rate,tail_drift_rate,high_rmse_top20pct_rate
extreme_active,32,0.8114495640620589,0.21875,0.53125,0.65625,0.03125,0.28125,0.3125,0.90625,0.65625,0.5625
strong_active,66,0.47121469608762045,0.24242424242424243,0.09090909090909091,0.696969696969697,0.030303030303030304,0.2727272727272727,0.30303030303030304,0.8787878787878788,0.6363636363636364,0.10606060606060606
medium_active,20,0.44298281632363795,0.15,0.0,0.5,0.0,0.2,0.2,0.9,0.6,0.1
instability_medium,6,0.36682580411434174,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.16666666666666666
instability_strong,3,0.3530234023928642,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0
weak,10,0.21303344890475273,0.2,0.0,0.3,0.1,0.4,0.5,1.0,0.5,0.0
instability_extreme,2,0.08544361591339106,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0
