road_type_anchor,n_samples,mean_rmse,wrong_side_rate,large_response_missed_rate,severe_amp_under_rate,multi_segment_missed_rate,multi_segment_overpred_rate,multi_segment_mismatch_rate,reversal_mismatch_rate,tail_drift_rate,high_rmse_top20pct_rate
design_curve_context,4,0.5860643535852432,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.25
curve,29,0.563359736368574,0.3793103448275862,0.13793103448275862,0.5862068965517241,0.0,0.3448275862068966,0.3448275862068966,0.9655172413793104,0.6896551724137931,0.2413793103448276
straight,99,0.5224152975010149,0.1717171717171717,0.1919191919191919,0.6363636363636364,0.04040404040404041,0.25252525252525254,0.29292929292929293,0.8787878787878788,0.6060606060606061,0.20202020202020202
design_high_risk_surface,4,0.1962781604379415,0.5,0.0,0.25,0.0,0.25,0.25,1.0,0.75,0.0
design_special_event_segment,2,0.1179772317409515,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
design_regular_road,1,0.0655877441167831,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
