sample_id,event_uid,subject,session_stamp,road_type_anchor,event_level,instability_role,road_design_module_name,road_design_risk_class,road_design_mapping_reliability,old_v400_road_type_mode,old_v400_phase_mode,eval_label_morphology,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_ratio_pred_over_gt,wrong_side,large_response_recalled,severe_amp_under,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,is_difficult_peak_top20,high_rmse_top20pct,wrong_side_flag,large_response_missed_flag,severe_amp_under_flag,multi_segment_missed_flag,multi_segment_overpred_flag,multi_segment_mismatch_flag,reversal_mismatch_flag,tail_drift_flag,zero_crossing_mismatch_flag,peak_time_large_error_flag,onset_delay_large_error_flag,formal_error_flag_count,primary_error_type,old_deep_sample_rmse,old_deep_pred_peak_abs,old_deep_wrong_side,old_deep_large_response_recalled,old_deep_severe_amp_under,old_deep_tail_drift_risk,old_deep_reversal_count_exact,old_deep_pred_multi_segment,formal_minus_old_deep_rmse,formal_better_than_old_deep,shared_with_old_deep_bad_top20pct,old_deep_high_rmse_top20pct,high_rmse_threshold_test_p80,old_deep_high_rmse_threshold_test_p80
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,straight,strong_active,instability_ay_roll,curve2,design_curve_context,very_low,straight,primary,multi_correction,1.0219638347625732,1.3070790767669678,0.2835496068000793,0.2169337814674788,1,0,1,0.1000000238418579,1.4950000569224358,1.0536759495735168,1,1,2,7,0,1,1,0,0,True,True,False,True,False,False,False,True,True,True,False,True,7,01_wrong_side,0.8774242997169495,0.522927463054657,0,0,1,0,0,0,0.14453953504562378,False,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,straight,extreme_active,instability_ay_roll,fix_road,design_special_event_segment,low,straight,secondary,multi_correction,0.9944385290145874,1.983918070793152,0.4341292679309845,0.218824191544071,0,0,1,0.2899999618530273,1.1150000244379044,1.6418085545301435,1,0,2,4,0,1,1,1,1,True,False,True,True,False,False,False,True,True,False,False,True,6,02_large_response_missed,1.0913639068603516,0.4203241169452667,0,0,1,1,0,0,-0.09692537784576416,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,gzj,2025_09_27_11_38_49,straight,extreme_active,instability_ay_roll,middle_section,design_regular_road,high,straight,secondary,multi_correction,0.95443594455719,1.7081509828567505,0.5624557137489319,0.3292775166796252,0,0,1,0.5450000762939453,0.9950000271201134,0.7430377900600433,0,0,5,4,0,1,1,1,1,True,False,True,True,False,False,False,True,False,False,True,True,6,02_large_response_missed,1.1305590867996216,0.4788715243339538,0,0,1,0,0,0,-0.17612314224243153,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505,hzh,2025_09_26_21_03_19,straight,extreme_active,instability_ay_roll,curve1,design_curve_context,high,straight,secondary,reverse_correction,0.9052053093910216,1.2440659999847412,0.5672976970672607,0.4560028946006231,0,0,1,0.3999999761581421,0.1100000143051147,1.416883498430252,1,1,1,74,0,0,1,0,0,True,False,False,True,False,True,True,True,True,True,False,False,7,03_severe_amp_under,0.7682239413261414,1.2791035175323486,0,1,0,1,1,0,0.13698136806488026,False,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,straight,extreme_active,instability_roll_only,fix_road,design_special_event_segment,low,straight,primary,single_lobe,0.8981170654296875,3.1211791038513184,0.8660197854042053,0.2774655848283737,0,0,1,0.0,0.0499999523162841,2.255159318447113,1,1,0,78,0,0,1,1,1,True,False,True,True,False,True,True,True,True,True,False,False,8,02_large_response_missed,1.217949151992798,0.1057589203119278,0,0,1,1,1,0,-0.3198320865631106,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,straight,extreme_active,instability_ay_roll,middle_section,design_regular_road,high,straight,secondary,multi_correction,0.878023624420166,1.4929579496383667,0.1644827425479889,0.11017238803533,1,0,1,1.0699999928474426,1.880000002682209,0.7953548971563578,1,0,2,5,0,1,1,1,0,True,True,True,True,False,False,False,True,True,False,True,True,8,01_wrong_side,0.8627064824104309,0.1419431865215301,0,0,1,0,0,0,0.015317142009735107,False,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680__pre2_label2_old_main,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680,yyl,2025_09_28_09_49_11,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,very_low,straight,primary,multi_correction,0.8624502420425415,1.7699379920959473,0.509444534778595,0.2878318545924395,0,0,1,0.2549999952316284,1.0100000202655792,0.471477597951889,0,0,2,2,1,1,1,1,1,True,False,True,True,False,False,False,False,False,False,False,True,4,02_large_response_missed,1.0367671251296997,0.4130291044712066,0,0,1,0,0,0,-0.1743168830871582,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195,tyy,2025_09_28_14_44_09,curve,medium_active,instability_ay_roll,curve1,design_curve_context,very_low,curve,secondary,multi_correction,0.8517546057701111,0.6916792392730713,1.5261279344558716,2.206409919227552,0,0,0,0.3650000095367431,0.0850000008940696,1.656223177909851,1,0,2,82,0,1,1,0,0,True,False,False,False,False,False,False,True,True,False,False,False,3,06_reversal_mismatch,0.6451289653778076,0.6121243834495544,0,0,0,0,0,0,0.20662564039230347,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,straight,extreme_active,instability_ay_roll,curve1,design_curve_context,high,straight,secondary,reverse_correction,0.8431969881057739,1.3988850116729736,0.6347696185112,0.4537682605892371,0,0,1,0.8650000095367432,0.1750000119209289,1.503318339586258,1,1,1,99,0,0,1,1,0,True,False,True,True,False,True,True,True,True,True,True,False,9,02_large_response_missed,0.5018771886825562,0.9849032759666444,0,1,0,0,0,0,0.3413197994232178,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,hzh,2025_09_26_21_03_19,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,high,straight,secondary,reverse_correction,0.8404521942138672,1.6409621238708496,0.2870816588401794,0.174947157319503,1,0,1,0.7049999833106995,1.7650000005960464,0.5251524597406387,0,0,1,2,0,0,1,1,1,True,True,True,True,False,True,True,True,False,False,True,True,9,01_wrong_side,0.9705393314361572,0.2180151492357254,1,0,1,0,0,0,-0.13008713722229004,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885,hzh,2025_09_27_19_44_05,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,high,straight,secondary,multi_correction,0.8213043212890625,1.791234016418457,0.5231658816337585,0.2920700906963681,0,0,1,0.0450000762939453,0.9299999475479126,1.087116837501526,1,0,2,2,1,1,1,1,1,True,False,True,True,False,False,False,False,True,False,False,True,5,02_large_response_missed,0.968109667301178,0.5010513067245483,0,0,1,1,0,0,-0.14680534601211548,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000128910__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000128910,hzh,2025_09_27_19_44_05,curve,extreme_active,instability_ay_roll,curve1,design_curve_context,high,curve,secondary,multi_correction,0.8149586915969849,1.6067509651184082,0.261443942785263,0.1627159083523539,0,0,1,0.0149999856948852,1.715000003576279,1.3433617651462555,1,0,2,12,0,1,1,1,1,True,False,True,True,False,False,False,True,True,False,False,True,6,02_large_response_missed,0.4889902770519256,1.2394943237304688,0,1,0,0,0,1,0.32596841454505926,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005,tyy,2025_09_28_14_44_09,curve,extreme_active,instability_ay_roll,curve1,design_curve_context,very_low,curve,secondary,multi_correction,0.8054671287536621,1.7652308940887451,0.2739698886871338,0.1552034295369409,0,0,1,1.0850000381469729,1.2549999952316284,0.2244459986686706,0,0,3,2,0,1,1,1,1,True,False,True,True,False,False,False,True,False,False,True,True,6,02_large_response_missed,0.927384912967682,0.342151790857315,1,0,1,0,0,0,-0.12191778421401989,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,straight,extreme_active,instability_ay_roll,middle_section,design_regular_road,very_low,straight,secondary,multi_correction,0.7953636050224304,2.461432933807373,1.1514979600906372,0.4678161018628636,0,0,1,0.4550000429153442,0.0100000500679016,0.9261270761489868,0,0,2,8,0,1,1,1,1,True,False,True,True,False,False,False,True,False,False,False,False,4,02_large_response_missed,1.1891183853149414,0.9052056670188904,0,0,1,0,0,1,-0.393754780292511,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,straight,strong_active,instability_ay_roll,fix_road,design_special_event_segment,low,straight,primary,multi_correction,0.7630838751792908,1.5163418054580688,0.3297016620635986,0.2174322839856015,0,0,1,0.2250000238418579,1.2900000140070915,1.0725392401218414,1,0,2,5,0,1,1,1,0,True,False,True,True,False,False,False,True,True,False,False,True,6,02_large_response_missed,0.9393287897109984,0.5125293731689453,0,0,1,1,0,0,-0.17624491453170765,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre2_label2_old_main,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,curve,extreme_active,instability_ay_roll,curve1,design_curve_context,low,curve,secondary,reverse_correction,0.7605409026145935,1.0152596235275269,0.2116797864437103,0.2084981826699927,1,0,1,0.755000114440918,0.5450000166893005,1.1350766569375992,1,1,1,9,0,0,1,0,0,True,True,False,True,False,True,True,True,True,True,True,True,10,01_wrong_side,0.7143563032150269,0.1242896616458892,0,0,1,1,0,0,0.04618459939956665,False,False,False,0.7532525897026062,0.7252965450286866
