control_name,split,n_seeds,rmse_mean,rmse_std,wrong_side_rate_mean,large_response_recall_mean,difficult_top20_rmse_mean
within_subject_shuffle,test,5,0.5365337867372172,0.005492022373318358,0.215,0.75,0.6802940400143298
within_subject_shuffle,val,5,0.5713540231158786,0.0008826939760785905,0.10952380952380951,0.5,0.9136513619767259
global_shuffle,test,5,0.5342915213747712,0.0018011150628191037,0.22000000000000003,0.75,0.681358884246897
global_shuffle,val,5,0.5718189957309255,0.0009200481835150318,0.10476190476190475,0.5,0.9127818576183119
road_balanced_shuffle,test,5,0.5375818511564475,0.004321638952867868,0.225,0.75,0.6871431573300987
road_balanced_shuffle,val,5,0.5707031600199778,0.002156369263089175,0.1,0.5,0.9066205734079821
