control_name,seed,selected_alpha,same_subject_rate,same_session_rate,same_road_module_rate
within_subject_shuffle,20260513,10000.0,1.0,0.46296296296296297,0.4074074074074074
within_subject_shuffle,20260514,1000.0,1.0,0.4740740740740741,0.36666666666666664
within_subject_shuffle,20260515,10000.0,1.0,0.45555555555555555,0.4185185185185185
within_subject_shuffle,20260516,10000.0,1.0,0.4666666666666667,0.3814814814814815
within_subject_shuffle,20260517,10000.0,1.0,0.5111111111111111,0.3888888888888889
global_shuffle,20260513,10000.0,0.06666666666666667,0.044444444444444446,0.31851851851851853
global_shuffle,20260514,10000.0,0.11851851851851852,0.07407407407407407,0.3296296296296296
global_shuffle,20260515,1000.0,0.10740740740740741,0.02962962962962963,0.32222222222222224
global_shuffle,20260516,10000.0,0.13333333333333333,0.06666666666666667,0.31851851851851853
global_shuffle,20260517,10000.0,0.1,0.037037037037037035,0.32592592592592595
road_balanced_shuffle,20260513,10000.0,0.16666666666666666,0.09259259259259259,1.0
road_balanced_shuffle,20260514,1000.0,0.21851851851851853,0.14814814814814814,1.0
road_balanced_shuffle,20260515,10000.0,0.13703703703703704,0.08148148148148149,1.0
road_balanced_shuffle,20260516,1000.0,0.17037037037037037,0.12222222222222222,1.0
road_balanced_shuffle,20260517,10000.0,0.14074074074074075,0.1,1.0
