subject,保守/弱操作极限样本,核心极限样本,次级训练样本,正常弯道或普通操控,边界复核样本,需要复核
byx,26,63,0,0,2,30
cwh,45,44,0,0,5,18
gf,19,51,0,0,4,19
gzj,19,83,2,0,6,21
hzh,54,89,0,0,0,27
jy,31,40,0,0,2,27
lx,12,18,0,0,1,6
lxy,13,47,0,1,1,21
rjy,19,58,0,0,3,12
txj,27,56,0,2,7,23
tyy,12,47,0,0,1,11
xst,5,12,0,0,0,2
yyl,21,59,1,0,1,15
yzy,24,61,0,0,2,16
zdq,19,39,0,0,1,25
zt,8,13,0,0,1,4
zx,18,129,0,0,3,38
zxy,34,64,1,0,5,20
