episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn
rec_v1_byx_2025_09_28_17_15_52_0016,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,16,395.72,397.545,1.8249999999999886,396.705,396.7,,396.705,396.335,缺少一方起点,,极强,1,4.0,4.0,0.5230793656777313,无明显操作,坐标风险高,True,False,False,True,0.2,130.16608823529413,1.111460882352941,0.06214942352941177,0.049833014705882354,0.01676215,0.7489004705882353,1.290010207612494,0.0,1.5886470588235397,3.4281797058823527,393.72,399.545,middle_section,连续超车负荷事件段,398.952,2.319499999999948,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_15_52_0022,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,22,520.305,533.76,13.455000000000041,520.87,520.865,525.29,520.87,529.96,车辆先变化,4.4249999999999545,极强,5,4.0,4.0,4.0,方向盘快速操作,窗口截断,False,True,True,True,1.0,77.03158235294117,10.12682294117647,0.6270879705882353,0.9835533823529412,0.16217679411764707,6.117184411764706,10.80802301039045,0.583678,67.45392647058824,3.1090841176470585,518.305,533.76,,,499.91,-27.122500000000002,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_25_18_0000,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,0,0.0,1.364,1.364,0.989,0.024,,0.989,0.909,缺少一方起点,,极强,2,4.0,4.0,0.7477802293558586,无明显操作,窗口截断,True,False,True,False,0.8,4.154828333333333,0.3229370952380952,0.02893698095238095,0.9641164047619047,0.08546224999999999,1.0081504047619048,3.62993463718822,0.014285714285714284,6.676526883333333,0.029052152619047616,0.0,3.364,middle_section,连续超车负荷事件段,0.0,-0.682,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_25_18_0001,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,1,36.2,39.25,3.049999999999997,36.525,36.51,,36.525,38.749,缺少一方起点,,极强,1,4.0,4.0,0.6092866958452201,无明显操作,坐标风险高,True,False,False,True,0.8,139.8492857142857,2.478740238095238,0.08215095952380952,0.07483211904761904,0.032194566666666674,0.6733106428571428,2.957648242628281,0.0,3.247000000000014,3.4064138095238095,34.2,41.25,middle_section,连续超车负荷事件段,40.145,2.4200000000000017,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_25_18_0005,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,5,159.28,161.115,1.835000000000008,159.579,159.565,159.304,159.579,159.67,驾驶员先动,-0.2609999999999957,极强,1,4.0,4.0,2.82145227664941,制动为主,坐标风险高,True,False,False,True,0.8,106.31026190476189,1.0165595238095237,0.03485446428571429,0.01806800238095238,0.01414060476190476,0.045723571428571474,0.5118445578232262,0.25146811428571425,18.536092857142847,3.4705376190476187,157.28,163.115,,,156.303,-3.8944999999999936,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_25_18_0012,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,12,360.39,363.23,2.840000000000032,362.075,362.06,360.714,362.075,361.425,驾驶员先动,-1.3460000000000036,极强,1,4.0,4.0,3.2,制动为主,坐标风险高,True,False,False,True,0.8,113.34995238095237,2.0701292857142857,0.0995502238095238,0.10904435714285715,0.03036782619047619,0.774369238095238,3.5949594501092275,0.428235,22.663119047619034,3.411559761904762,358.39,365.23,curve2,弯道路段,360.403,-1.4069999999999823,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_25_18_0015,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,15,440.98,446.735,5.7549999999999955,442.044,442.03,441.009,442.044,441.405,驾驶员先动,-1.0209999999999582,极强,1,4.0,4.0,2.5767195767195776,制动为主,坐标风险高,True,False,False,True,0.4,100.13449047619046,0.5421982619047618,0.023572864285714284,0.016554161904761902,0.007530884999999999,0.30186307380952376,2.440767868495084,0.22332800000000005,50.43015714285714,3.482102857142857,438.98,448.735,middle_section|stop,前向急停|连续超车负荷事件段,444.649,0.791499999999985,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_25_18_0022,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,22,576.97,585.39,8.419999999999959,577.22,577.205,581.149,577.22,583.844,车辆先变化,3.94399999999996,极强,5,4.0,4.0,4.0,方向盘快速操作,窗口截断,False,True,True,True,1.0,93.75365,11.657822619047618,0.46818907142857136,3.616837380952381,1.149200476190476,3.7861154761904765,38.653435375131735,0.2754860714285714,54.67373571428571,13.900699285714284,574.97,585.39,,,555.487,-25.693000000000097,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0003,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,3,90.82,92.905,2.085000000000008,90.83,90.825,90.94,90.83,91.045,车辆先变化,0.11499999999999488,极强,1,4.0,4.0,1.2605764268710113,弱操作,坐标风险高,True,False,False,True,0.8,84.0724205882353,2.8668258823529413,0.1392245588235294,0.12241426470588236,0.0392764,0.9504858911764705,3.0157908304497516,0.0,0.39749411764705656,3.427089705882353,88.82,94.905,,,95.405,3.542500000000004,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0006,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,6,117.005,123.215,6.210000000000008,117.015,117.01,121.7,117.015,121.705,车辆先变化,4.689999999999998,极强,1,4.0,4.0,1.018909003287258,弱操作,坐标风险高,True,False,False,True,0.8,127.5365,3.4327411764705884,0.11202920588235293,0.11009129411764706,0.045554399999999995,1.252253,2.4376280276823192,0.0,10.276558823529413,3.4311894117647057,115.005,125.215,,,113.755,-6.355000000000004,review,需要复核,窗口/坐标风险,人工复核后再决定
