subject,session_stamp,vehicle_file,status,error,row_count,duration_s,sampling_rate_median_hz,episode_count,available_columns
cwh,2025_09_26_20_06_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,ok,,201793,504.48,200.0000000001819,21,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,ok,,263709,659.27,400.0000000003638,19,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gf,2025_09_26_10_18_49,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_18_49_vehicle.csv,ok,,233533,583.83,400.0000000003638,18,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gf,2025_09_26_10_30_12,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_30_12_vehicle.csv,ok,,226398,565.995,200.0000000001819,19,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gf,2025_09_26_10_40_59,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_40_59_vehicle.csv,ok,,236531,591.325,200.0000000001819,17,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gf,2025_09_26_10_52_57,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,ok,,247324,618.31,250.00000000591172,20,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gzj,2025_09_27_11_38_49,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,ok,,34472,86.18,200.00000000000426,5,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gzj,2025_09_27_11_41_47,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,ok,,256629,641.57,200.0000000001819,27,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gzj,2025_09_27_11_53_25,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_53_25_vehicle.csv,ok,,237776,594.44,200.0000000001819,29,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gzj,2025_09_27_12_04_23,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_04_23_vehicle.csv,ok,,125652,314.13,200.0000000001819,16,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
