episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn
rec_v1_byx_2025_09_28_17_05_51_0014,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,14,372.595,380.475,7.8799999999999955,372.81,372.805,373.065,372.81,374.165,车辆先变化,0.2599999999999909,极强,5,4.0,4.0,3.2249126353305106,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,110.15510294117647,5.670134411764706,0.2655552647058823,0.2821775294117647,0.07993549999999999,2.656245882352941,7.064446193768239,0.355766,20.217352941176472,3.4652720588235293,370.595,382.475,stop,前向急停,375.01,-1.525000000000034,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0018,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,18,483.875,503.375,19.5,484.72,484.68,486.16,484.72,497.57,车辆先变化,1.4800000000000182,极强,5,4.0,4.0,2.522584656280676,方向盘快速操作,正常,False,True,True,True,1.0,106.13525000000001,6.987259411764706,0.2966505588235294,0.8128716764705882,0.09832989411764706,3.1354420588235294,5.525936851214515,0.0,20.19149999999999,3.7281770588235292,481.875,505.375,differentmu_road,低附着路段,492.111,-1.51400000000001,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0001,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,1,58.765,66.935,8.170000000000002,60.1,59.735,59.56,60.1,60.69,驾驶员先动,-0.17499999999999716,极强,5,4.0,4.0,3.437745208397382,方向盘快速操作,正常,True,False,True,True,0.8,116.35942647058823,5.972417941176471,0.2838782941176471,0.3990869705882353,0.08275757352941177,2.9834494117647052,8.478113840827348,0.0,4.546176470588222,3.4383182352941173,56.765,68.935,middle_section,连续超车负荷事件段,60.485,-2.365000000000002,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0003,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,3,87.33,96.895,9.564999999999998,87.695,87.635,88.085,87.695,91.72,车辆先变化,0.44999999999998863,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,123.58698529411764,5.890348529411765,0.2711843823529412,0.39782185294117645,0.08074494117647059,3.3588708823529414,12.251311401382566,0.0,6.526499999999999,3.456401176470588,85.33,98.895,curve1|middle_section,弯道路段|连续超车负荷事件段,92.0,-0.11249999999999716,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0006,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,6,130.485,147.41,16.924999999999983,130.5,130.495,133.485,130.5,141.915,车辆先变化,2.990000000000009,极强,5,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,True,True,True,0.8,89.0715294117647,13.603026470588235,0.7816950294117646,1.3972270588235296,0.31295073529411765,5.07837588235294,13.346413840843471,0.0,22.91365294117648,3.637906764705882,128.485,149.41,curve1,弯道路段,141.975,3.0275000000000034,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0007,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,7,163.885,200.55,36.66500000000002,164.405,164.14,164.05,164.405,168.225,驾驶员先动,-0.08999999999997499,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,139.83451470588233,7.268710882352941,0.3290892941176471,0.5341413529411765,0.09725512647058823,3.647189117647059,17.282746712797532,0.0,24.79855882352939,3.465107058823529,161.885,202.55,fix_road|middle_section,施工/维修变道/道路受限|连续超车负荷事件段,175.805,-6.412499999999994,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0009,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,9,215.935,230.875,14.939999999999998,215.945,215.94,218.96,215.945,221.455,车辆先变化,3.0200000000000102,极强,3,4.0,4.0,2.2915267503437278,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,106.61264705882353,4.435997352941177,0.19485070588235293,0.26387726470588235,0.06009504117647059,2.2672115588235293,5.65132768166149,0.0,13.549294117647065,3.4624294117647056,213.935,232.875,fix_road,施工/维修变道/道路受限,229.895,6.490000000000009,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0010,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,10,262.35,284.1,21.75,266.145,264.065,262.365,266.145,262.455,驾驶员先动,-1.6999999999999886,极强,5,4.0,4.0,3.2,方向盘快速操作,正常,False,True,True,True,1.0,97.34434117647058,6.0913602941176475,0.28474617647058825,0.28735485294117646,0.08222066176470588,2.4381614705882355,5.533153460212647,0.463063,53.42396764705882,3.4888291176470587,260.35,286.1,curve2|middle_section,弯道路段|连续超车负荷事件段,267.205,-6.020000000000039,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0012,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,12,291.995,304.345,12.350000000000023,293.525,293.395,293.255,293.525,294.26,驾驶员先动,-0.13999999999998636,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,106.81949999999999,7.486069705882352,0.6184020882352942,0.9525342058823529,0.10645597058823529,4.0023197058823525,14.21667266437279,0.0,38.33620882352943,3.3678670588235295,289.995,306.345,curve2,弯道路段,298.395,0.2249999999999659,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0013,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,13,323.015,326.365,3.3500000000000227,323.045,323.04,323.12,323.045,324.045,车辆先变化,0.07999999999998408,极强,5,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,121.40017647058824,6.153391176470588,0.40595679411764707,0.5880721176470589,0.08465876470588235,3.4635435294117642,15.898484775076945,0.0,6.727823529411765,3.466971764705882,321.015,328.365,middle_section,连续超车负荷事件段,324.755,0.06499999999999773,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
