split,n_samples,selector_keypoint_rate,oracle_keypoint_rate,selector_choice_accuracy,mean_selector_regret,median_selector_regret,mean_oracle_gain_over_rbf,n_selector_misselected
test,40,0.275,0.425,0.55,0.0591225229203701,0.0,0.052177147939801216,18
train,188,0.2872340425531915,0.0851063829787234,0.7446808510638298,0.047165331133502596,0.0,0.003516460194232616,48
val,42,0.3333333333333333,0.40476190476190477,0.5476190476190477,0.055156469699882325,0.0,0.054786997891607736,19
