seed,outer_fold,inner_fold,fit_windows,valid_windows,fit_subjects,valid_subjects,subject_overlap,recording_overlap
20260904,1,1,135397,68052,17,9,0,0
20260904,1,2,136232,67217,17,9,0,0
20260904,1,3,135269,68180,18,8,0,0
20260904,2,1,134691,67483,16,9,0,0
20260904,2,2,134706,67468,17,8,0,0
20260904,2,3,134951,67223,17,8,0,0
20260904,3,1,135413,67144,17,8,0,0
20260904,3,2,135309,67248,17,8,0,0
20260904,3,3,134392,68165,16,9,0,0
