seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260902,1,all_continuous,hold,steer_deg,100641,9.683025360107422,25.459707260131836,16.32120132446289
20260902,1,all_continuous,hold,brake,100641,0.014714946039021015,0.06170611083507538,0.024924054741859436
20260902,1,all_continuous,hold,accelerator,100641,0.055438604205846786,0.11435414105653763,0.07968135178089142
20260902,1,all_continuous,hold,speed_kmh,100641,1.462834358215332,2.7830326557159424,2.756098747253418
20260902,1,all_continuous,hold,action_macro,100641,1.1132253408432007,3.3005897998809814,1.7854493856430054
20260902,1,all_continuous,linear,steer_deg,100641,14.182589530944824,39.14942169189453,27.943796157836914
20260902,1,all_continuous,linear,brake,100641,0.04322630539536476,0.08119188249111176,0.05714701861143112
20260902,1,all_continuous,linear,accelerator,100641,0.07164238393306732,0.13283686339855194,0.11240632086992264
20260902,1,all_continuous,linear,speed_kmh,100641,0.5310869812965393,1.8125967979431152,1.1692956686019897
20260902,1,all_continuous,linear,action_macro,100641,1.7112984657287598,4.864915370941162,2.9932751655578613
20260902,1,all_continuous,extra_trees,steer_deg,100641,7.766732215881348,18.98494529724121,12.261970520019531
20260902,1,all_continuous,extra_trees,brake,100641,0.01618805155158043,0.05435213819146156,0.027092350646853447
20260902,1,all_continuous,extra_trees,accelerator,100641,0.062287092208862305,0.10939250141382217,0.09272399544715881
20260902,1,all_continuous,extra_trees,speed_kmh,100641,0.4712301194667816,1.291031837463379,1.0049560070037842
20260902,1,all_continuous,extra_trees,action_macro,100641,1.0409501791000366,2.606752634048462,1.616240382194519
20260902,1,all_continuous,transformer,steer_deg,100641,8.099275588989258,20.035566329956055,12.74000072479248
20260902,1,all_continuous,transformer,brake,100641,0.016424765810370445,0.05832647159695625,0.02639460377395153
20260902,1,all_continuous,transformer,accelerator,100641,0.057774536311626434,0.1105336844921112,0.0820937529206276
20260902,1,all_continuous,transformer,speed_kmh,100641,0.5976661443710327,1.7196725606918335,1.2087072134017944
20260902,1,all_continuous,transformer,action_macro,100641,1.0346139669418335,2.7267086505889893,1.5725889205932617
