seed,fold,kind,channel,center,scale,train_finite_values
20260903,1,input,steer_deg,-5.03934907913208,34.821529388427734,8137960
20260903,1,input,brake,-0.003549753688275814,0.09835892170667648,8137960
20260903,1,input,accelerator,0.2511036992073059,0.20850084722042084,8137960
20260903,1,input,speed_kmh,95.4107437133789,35.14226531982422,8137960
20260903,1,input,ax,0.09398065507411957,1.000543475151062,8137960
20260903,1,input,ay,-0.06208927929401398,1.5855244398117065,8137960
20260903,1,input,yaw_rate,-0.004914974328130484,0.11674957722425461,6427497
20260903,1,input,roll,-0.0010112144518643618,0.07142284512519836,8137960
20260903,1,input,roll_rate,-0.00023667991627007723,0.10680345445871353,6427497
20260903,1,input,curvature,-9.378941467730328e-05,0.002786512253805995,8137960
20260903,1,target,steer_deg,0.0,20.326671600341797,4068980
20260903,1,target,brake,0.0,0.056593846529722214,4068980
20260903,1,target,accelerator,0.0,0.09722214937210083,4068980
20260903,1,target,speed_kmh,0.0,2.408867359161377,4068980
20260903,2,input,steer_deg,-6.604907512664795,39.53450012207031,8086960
20260903,2,input,brake,-0.0012888696510344744,0.10317970812320709,8086960
20260903,2,input,accelerator,0.28261488676071167,0.2327258437871933,8086960
20260903,2,input,speed_kmh,97.0931396484375,36.17258071899414,8086960
20260903,2,input,ax,0.12243901938199997,1.0641624927520752,8086960
20260903,2,input,ay,-0.05812808498740196,1.7048214673995972,8086960
20260903,2,input,yaw_rate,-0.005365817807614803,0.1313600391149521,6762255
20260903,2,input,roll,-0.0008082722779363394,0.06306303292512894,8086960
20260903,2,input,roll_rate,-0.00037389210774563253,0.11754165589809418,6762255
20260903,2,input,curvature,-4.0903552871895954e-05,0.0026992522180080414,8086960
20260903,2,target,steer_deg,0.0,22.944215774536133,4043480
20260903,2,target,brake,0.0,0.061415642499923706,4043480
20260903,2,target,accelerator,0.0,0.10216974467039108,4043480
20260903,2,target,speed_kmh,0.0,2.618136167526245,4043480
20260903,3,input,steer_deg,-6.085318088531494,39.554508209228516,8102280
20260903,3,input,brake,-0.00198834715411067,0.09495595842599869,8102280
20260903,3,input,accelerator,0.2935434579849243,0.2445523887872696,8102280
20260903,3,input,speed_kmh,97.4847412109375,36.293724060058594,8102280
20260903,3,input,ax,0.1299406886100769,1.064239263534546,8102280
20260903,3,input,ay,-0.05932830274105072,1.7202249765396118,8102280
20260903,3,input,yaw_rate,-0.0063395872712135315,0.13353309035301208,6115076
20260903,3,input,roll,-0.0020112101919949055,0.07624708116054535,8102280
20260903,3,input,roll_rate,-0.0002925354929175228,0.12455904483795166,6115076
20260903,3,input,curvature,-6.0218837461434305e-05,0.002461422234773636,8102280
20260903,3,target,steer_deg,0.0,23.101259231567383,4051140
20260903,3,target,brake,0.0,0.056884463876485825,4051140
20260903,3,target,accelerator,0.0,0.10986078530550003,4051140
20260903,3,target,speed_kmh,0.0,2.5847344398498535,4051140
