seed,fold,model,epoch,loss,residual
20260903,1,transformer,1,0.23657739686900647,False
20260903,1,transformer,2,0.21408850462170811,False
20260903,1,transformer,3,0.20681220510993933,False
20260903,1,transformer,4,0.20182391060345006,False
20260903,1,transformer,5,0.19758540533763103,False
20260903,1,et_transformer_residual,1,0.2248641534205447,True
20260903,1,et_transformer_residual,2,0.19694892816748114,True
20260903,1,et_transformer_residual,3,0.19452662653789457,True
20260903,1,et_transformer_residual,4,0.19277061493888928,True
20260903,2,transformer,1,0.2205343067808189,False
20260903,2,transformer,2,0.19858291744847226,False
20260903,2,transformer,3,0.19126850327843903,False
20260903,2,transformer,4,0.18527583733242942,False
20260903,2,transformer,5,0.18059663880848048,False
20260903,2,et_transformer_residual,1,0.20406951165901765,True
20260903,2,et_transformer_residual,2,0.1808029461376045,True
20260903,2,et_transformer_residual,3,0.17868429899922192,True
20260903,2,et_transformer_residual,4,0.17702960083839367,True
20260903,3,transformer,1,0.22500325045044617,False
20260903,3,transformer,2,0.2024766171010471,False
20260903,3,transformer,3,0.19570189096860538,False
20260903,3,transformer,4,0.19089892149601842,False
20260903,3,transformer,5,0.18723372613152225,False
20260903,3,et_transformer_residual,1,0.21289768810538506,True
20260903,3,et_transformer_residual,2,0.18678898154705484,True
20260903,3,et_transformer_residual,3,0.18430779155053617,True
20260903,3,et_transformer_residual,4,0.18276880906100545,True
