seed,fold,model,epoch,loss,residual
20260904,1,transformer,1,0.23704912436097764,False
20260904,1,transformer,2,0.213454679355285,False
20260904,1,transformer,3,0.20562323812706187,False
20260904,1,transformer,4,0.19966304653011158,False
20260904,1,transformer,5,0.19537481935913514,False
20260904,1,et_transformer_residual,1,0.22403575780127877,True
20260904,1,et_transformer_residual,2,0.19717031661106602,True
20260904,1,et_transformer_residual,3,0.19469793726410362,True
20260904,1,et_transformer_residual,4,0.19285929864509688,True
20260904,2,transformer,1,0.22135794404854048,False
20260904,2,transformer,2,0.19860486226269305,False
20260904,2,transformer,3,0.19160217266577295,False
20260904,2,transformer,4,0.18669743246580361,False
20260904,2,transformer,5,0.18273278198562357,False
20260904,2,et_transformer_residual,1,0.20639151870529043,True
20260904,2,et_transformer_residual,2,0.1812979187429114,True
20260904,2,et_transformer_residual,3,0.17874596159838294,True
20260904,2,et_transformer_residual,4,0.1770797310489015,True
20260904,3,transformer,1,0.23067068148575398,False
20260904,3,transformer,2,0.20470376156956901,False
20260904,3,transformer,3,0.1970768240017012,False
20260904,3,transformer,4,0.1919138253729241,False
20260904,3,transformer,5,0.1878807736378957,False
20260904,3,et_transformer_residual,1,0.20786532282633055,True
20260904,3,et_transformer_residual,2,0.18606319938277657,True
20260904,3,et_transformer_residual,3,0.18405057230409522,True
20260904,3,et_transformer_residual,4,0.1826216589644781,True
